s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Chad,TD,Bahr el Gazel,bahr-el-gazel,Moussoro,moussoro
Chad,TD,Batha Region,batha-region,Ati,ati
Chad,TD,Batha Region,batha-region,Oum Hadjer,oum-hadjer
Chad,TD,Borkou,borkou,Faya-Largeau,faya-largeau
Chad,TD,Ennedi Region,ennedi-region,Ennedi Region,ennedi-region
Chad,TD,Ennedi-Est,ennedi-est,Ennedi-Est,ennedi-est
Chad,TD,Ennedi-Ouest,ennedi-ouest,Fada,fada
Chad,TD,Guera Region,guera-region,Bitkine,bitkine
Chad,TD,Guera Region,guera-region,Melfi,melfi
Chad,TD,Guera Region,guera-region,Mongo,mongo
Chad,TD,Hadjer-Lamis,hadjer-lamis,Bokoro,bokoro
Chad,TD,Hadjer-Lamis,hadjer-lamis,Massaguet,massaguet
Chad,TD,Hadjer-Lamis,hadjer-lamis,Massakory,massakory
Chad,TD,Kanem Region,kanem-region,Mao,mao
Chad,TD,Lac Region,lac-region,Bol,bol
Chad,TD,Logone Occidental Region,logone-occidental-region,Beinamar,beinamar
Chad,TD,Logone Occidental Region,logone-occidental-region,Benoy,benoy
Chad,TD,Logone Occidental Region,logone-occidental-region,Lac Wey,lac-wey
Chad,TD,Logone Occidental Region,logone-occidental-region,Moundou,moundou
Chad,TD,Logone Oriental Region,logone-oriental-region,Bebedja,bebedja
Chad,TD,Logone Oriental Region,logone-oriental-region,Beboto,beboto
Chad,TD,Logone Oriental Region,logone-oriental-region,Doba,doba
Chad,TD,Mandoul Region,mandoul-region,Goundi,goundi
Chad,TD,Mandoul Region,mandoul-region,Koumra,koumra
Chad,TD,Mandoul Region,mandoul-region,Moissala,moissala
Chad,TD,Mayo-Kebbi Est Region,mayo-kebbi-est-region,Bongor,bongor
Chad,TD,Mayo-Kebbi Est Region,mayo-kebbi-est-region,Gounou Gaya,gounou-gaya
Chad,TD,Mayo-Kebbi Est Region,mayo-kebbi-est-region,Guelendeng,guelendeng
Chad,TD,Mayo-Kebbi Ouest Region,mayo-kebbi-ouest-region,Mboursou Lere,mboursou-lere
Chad,TD,Mayo-Kebbi Ouest Region,mayo-kebbi-ouest-region,Pala,pala
Chad,TD,Moyen-Chari Region,moyen-chari-region,Kyabe,kyabe
Chad,TD,Moyen-Chari Region,moyen-chari-region,Sarh,sarh
Chad,TD,N'Djamena,ndjamena,N'Djamena,ndjamena
Chad,TD,Ouaddai Region,ouaddai-region,Abeche,abeche
Chad,TD,Ouaddai Region,ouaddai-region,Adre,adre
Chad,TD,Ouaddai Region,ouaddai-region,Goz Beida,goz-beida
Chad,TD,Salamat Region,salamat-region,Am Timan,am-timan
Chad,TD,Sila Region,sila-region,Goz Beida,goz-beida
Chad,TD,Tandjile Region,tandjile-region,Bere,bere
Chad,TD,Tandjile Region,tandjile-region,Kelo,kelo
Chad,TD,Tandjile Region,tandjile-region,Lai,lai
Chad,TD,Tibesti Region,tibesti-region,Aozou,aozou
Chad,TD,Wadi Fira Region,wadi-fira-region,Biltine,biltine
Chad,TD,Wadi Fira Region,wadi-fira-region,Iriba,iriba
