s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Togo,togo,TG,Centrale Region,centrale-region,Sokode,sokode
Togo,togo,TG,Centrale Region,centrale-region,Sotouboua,sotouboua
Togo,togo,TG,Centrale Region,centrale-region,Tchamba,tchamba
Togo,togo,TG,Kara Region,kara-region,Bafilo,bafilo
Togo,togo,TG,Kara Region,kara-region,Bassar,bassar
Togo,togo,TG,Kara Region,kara-region,Kande,kande
Togo,togo,TG,Kara Region,kara-region,Kara,kara
Togo,togo,TG,Kara Region,kara-region,Niamtougou,niamtougou
Togo,togo,TG,Kara Region,kara-region,Pagouda,pagouda
Togo,togo,TG,Kara Region,kara-region,Prefecture de Bassar,prefecture-de-bassar
Togo,togo,TG,Maritime,maritime,Aneho,aneho
Togo,togo,TG,Maritime,maritime,Lome,lome
Togo,togo,TG,Maritime,maritime,Tabligbo,tabligbo
Togo,togo,TG,Maritime,maritime,Tsevie,tsevie
Togo,togo,TG,Maritime,maritime,Vogan,vogan
Togo,togo,TG,Plateaux Region,plateaux-region,Amlame,amlame
Togo,togo,TG,Plateaux Region,plateaux-region,Atakpame,atakpame
Togo,togo,TG,Plateaux Region,plateaux-region,Badou,badou
Togo,togo,TG,Plateaux Region,plateaux-region,Kpalime,kpalime
Togo,togo,TG,Plateaux Region,plateaux-region,Notse,notse
Togo,togo,TG,Savanes Region,savanes-region,Dapaong,dapaong
Togo,togo,TG,Savanes Region,savanes-region,Sansanne-Mango,sansanne-mango
