s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amnat Charoen,amnat-charoen
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Chanuman,amphoe-chanuman
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Hua Taphan,amphoe-hua-taphan
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Lue Amnat,amphoe-lue-amnat
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Mueang Amnat Charoen,amphoe-mueang-amnat-charoen
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Pathum Ratchawongsa,amphoe-pathum-ratchawongsa
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Phana,amphoe-phana
Thailand,thailand,TH,Amnat Charoen,amnat-charoen,Amphoe Senangkhanikhom,amphoe-senangkhanikhom
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Chaiyo,amphoe-chaiyo
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Mueang Ang Thong,amphoe-mueang-ang-thong
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Pa Mok,amphoe-pa-mok
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Pho Thong,amphoe-pho-thong
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Sawaeng Ha,amphoe-sawaeng-ha
Thailand,thailand,TH,Ang Thong,ang-thong,Amphoe Wiset Chai Chan,amphoe-wiset-chai-chan
Thailand,thailand,TH,Ang Thong,ang-thong,Ang Thong,ang-thong
Thailand,thailand,TH,Ang Thong,ang-thong,Ban Thai Tan,ban-thai-tan
Thailand,thailand,TH,Ang Thong,ang-thong,Chaiyo,chaiyo
Thailand,thailand,TH,Ang Thong,ang-thong,Pho Thong,pho-thong
Thailand,thailand,TH,Ang Thong,ang-thong,Wiset Chaichan,wiset-chaichan
Thailand,thailand,TH,Bangkok,bangkok,Bang Bon,bang-bon
Thailand,thailand,TH,Bangkok,bangkok,Bang Kapi,bang-kapi
Thailand,thailand,TH,Bangkok,bangkok,Bang Khae,bang-khae
Thailand,thailand,TH,Bangkok,bangkok,Bang Khen,bang-khen
Thailand,thailand,TH,Bangkok,bangkok,Bang Kho laen,bang-kho-laen
Thailand,thailand,TH,Bangkok,bangkok,Bang Khun thain,bang-khun-thain
Thailand,thailand,TH,Bangkok,bangkok,Bang Na,bang-na
Thailand,thailand,TH,Bangkok,bangkok,Bang Phlat,bang-phlat
Thailand,thailand,TH,Bangkok,bangkok,Bang Rak,bang-rak
Thailand,thailand,TH,Bangkok,bangkok,Bang Sue,bang-sue
Thailand,thailand,TH,Bangkok,bangkok,Bangkok,bangkok
Thailand,thailand,TH,Bangkok,bangkok,Bangkok Noi,bangkok-noi
Thailand,thailand,TH,Bangkok,bangkok,Bangkok Yai,bangkok-yai
Thailand,thailand,TH,Bangkok,bangkok,Bueng Kum,bueng-kum
Thailand,thailand,TH,Bangkok,bangkok,Chatu Chak,chatu-chak
Thailand,thailand,TH,Bangkok,bangkok,Chom Thong,chom-thong
Thailand,thailand,TH,Bangkok,bangkok,Din Daeng,din-daeng
Thailand,thailand,TH,Bangkok,bangkok,Don Mueang,don-mueang
Thailand,thailand,TH,Bangkok,bangkok,Dusit,dusit
Thailand,thailand,TH,Bangkok,bangkok,Huai Khwang,huai-khwang
Thailand,thailand,TH,Bangkok,bangkok,Khan Na Yao,khan-na-yao
Thailand,thailand,TH,Bangkok,bangkok,Khlong Sam Wa,khlong-sam-wa
Thailand,thailand,TH,Bangkok,bangkok,Khlong San,khlong-san
Thailand,thailand,TH,Bangkok,bangkok,Khlong Toei,khlong-toei
Thailand,thailand,TH,Bangkok,bangkok,Lak Si,lak-si
Thailand,thailand,TH,Bangkok,bangkok,Lat Krabang,lat-krabang
Thailand,thailand,TH,Bangkok,bangkok,Lat Phrao,lat-phrao
Thailand,thailand,TH,Bangkok,bangkok,Min Buri,min-buri
Thailand,thailand,TH,Bangkok,bangkok,Nong Chok,nong-chok
Thailand,thailand,TH,Bangkok,bangkok,Nong Khaem,nong-khaem
Thailand,thailand,TH,Bangkok,bangkok,Parthum Wan,parthum-wan
Thailand,thailand,TH,Bangkok,bangkok,Phasi Charoen,phasi-charoen
Thailand,thailand,TH,Bangkok,bangkok,Phaya Thai,phaya-thai
Thailand,thailand,TH,Bangkok,bangkok,Phra Khanong,phra-khanong
Thailand,thailand,TH,Bangkok,bangkok,Phra Nakhon,phra-nakhon
