s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Darband,darband
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Hisor,hisor
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Karakenja,karakenja
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Khodzha-Maston,khodzha-maston
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Novobod,novobod
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Obigarm,obigarm
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Rasht,rasht
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Roghun,roghun
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Shahrinav,shahrinav
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Tagob,tagob
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Tursunzoda,tursunzoda
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Vahdat,vahdat
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Vahdat District,vahdat-district
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Varzob,varzob
Tajikistan,TJ,districts of Republican Subordination,districts-of-republican-subordination,Varzob District,varzob-district
Tajikistan,TJ,Gorno-Badakhshan Autonomous Province,gorno-badakhshan-autonomous-province,Ishqoshim,ishqoshim
Tajikistan,TJ,Gorno-Badakhshan Autonomous Province,gorno-badakhshan-autonomous-province,Khorugh,khorugh
Tajikistan,TJ,Gorno-Badakhshan Autonomous Province,gorno-badakhshan-autonomous-province,Murghob,murghob
Tajikistan,TJ,Gorno-Badakhshan Autonomous Province,gorno-badakhshan-autonomous-province,Nohiyai Shughnon,nohiyai-shughnon
Tajikistan,TJ,Khatlon Province,khatlon-province,Abdurahmoni Jomi,abdurahmoni-jomi
Tajikistan,TJ,Khatlon Province,khatlon-province,Boshchorbogh,boshchorbogh
Tajikistan,TJ,Khatlon Province,khatlon-province,Bustonqala,bustonqala
Tajikistan,TJ,Khatlon Province,khatlon-province,Chubek,chubek
Tajikistan,TJ,Khatlon Province,khatlon-province,Danghara,danghara
Tajikistan,TJ,Khatlon Province,khatlon-province,Dusti,dusti
Tajikistan,TJ,Khatlon Province,khatlon-province,Farkhor,farkhor
Tajikistan,TJ,Khatlon Province,khatlon-province,Gharavuti,gharavuti
Tajikistan,TJ,Khatlon Province,khatlon-province,Jilikul,jilikul
Tajikistan,TJ,Khatlon Province,khatlon-province,Kirov,kirov
Tajikistan,TJ,Khatlon Province,khatlon-province,Kolkhozobod,kolkhozobod
Tajikistan,TJ,Khatlon Province,khatlon-province,Kulob,kulob
Tajikistan,TJ,Khatlon Province,khatlon-province,Moskovskiy,moskovskiy
Tajikistan,TJ,Khatlon Province,khatlon-province,Muminobod,muminobod
Tajikistan,TJ,Khatlon Province,khatlon-province,Nohiyai Kolkhozobod,nohiyai-kolkhozobod
Tajikistan,TJ,Khatlon Province,khatlon-province,Nohiyai Panj,nohiyai-panj
Tajikistan,TJ,Khatlon Province,khatlon-province,Nohiyai Vakhsh,nohiyai-vakhsh
Tajikistan,TJ,Khatlon Province,khatlon-province,Norak,norak
Tajikistan,TJ,Khatlon Province,khatlon-province,Orzu,orzu
Tajikistan,TJ,Khatlon Province,khatlon-province,Panj,panj
Tajikistan,TJ,Khatlon Province,khatlon-province,Qurghonteppa,qurghonteppa
Tajikistan,TJ,Khatlon Province,khatlon-province,Shahritus,shahritus
Tajikistan,TJ,Khatlon Province,khatlon-province,Sovet,sovet
Tajikistan,TJ,Khatlon Province,khatlon-province,Tartiki,tartiki
Tajikistan,TJ,Khatlon Province,khatlon-province,Vakhsh,vakhsh
Tajikistan,TJ,Khatlon Province,khatlon-province,Vose,vose
Tajikistan,TJ,Khatlon Province,khatlon-province,Yovon,yovon
Tajikistan,TJ,Sughd Province,sughd-province,Adrasmon,adrasmon
Tajikistan,TJ,Sughd Province,sughd-province,Ayni,ayni
Tajikistan,TJ,Sughd Province,sughd-province,Buston,buston
Tajikistan,TJ,Sughd Province,sughd-province,Chkalov,chkalov
Tajikistan,TJ,Sughd Province,sughd-province,Ghafurov,ghafurov
Tajikistan,TJ,Sughd Province,sughd-province,Isfara,isfara
Tajikistan,TJ,Sughd Province,sughd-province,Istaravshan,istaravshan
Tajikistan,TJ,Sughd Province,sughd-province,Khujand,khujand
Tajikistan,TJ,Sughd Province,sughd-province,Kim,kim
Tajikistan,TJ,Sughd Province,sughd-province,Konibodom,konibodom
Tajikistan,TJ,Sughd Province,sughd-province,Konsoy,konsoy
Tajikistan,TJ,Sughd Province,sughd-province,Neftobod,neftobod
Tajikistan,TJ,Sughd Province,sughd-province,Nohiyai Konibodom,nohiyai-konibodom
Tajikistan,TJ,Sughd Province,sughd-province,Nov,nov
Tajikistan,TJ,Sughd Province,sughd-province,Oltintopkan,oltintopkan
Tajikistan,TJ,Sughd Province,sughd-province,Pakhtakoron,pakhtakoron
Tajikistan,TJ,Sughd Province,sughd-province,Palos,palos
Tajikistan,TJ,Sughd Province,sughd-province,Panjakent,panjakent
Tajikistan,TJ,Sughd Province,sughd-province,Proletar,proletar
Tajikistan,TJ,Sughd Province,sughd-province,Quruqsoy,quruqsoy
Tajikistan,TJ,Sughd Province,sughd-province,Shaydon,shaydon
Tajikistan,TJ,Sughd Province,sughd-province,Shurob,shurob
Tajikistan,TJ,Sughd Province,sughd-province,Taboshar,taboshar
Tajikistan,TJ,Sughd Province,sughd-province,Vorukh,vorukh
