s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Turkmenistan,TM,Ahal Region,ahal-region,Abadan,abadan
Turkmenistan,TM,Ahal Region,ahal-region,Annau,annau
Turkmenistan,TM,Ahal Region,ahal-region,Arcabil,arcabil
Turkmenistan,TM,Ahal Region,ahal-region,Baharly,baharly
Turkmenistan,TM,Ahal Region,ahal-region,Kaka,kaka
Turkmenistan,TM,Ahal Region,ahal-region,Tejen,tejen
Turkmenistan,TM,Ashgabat,ashgabat,Ashgabat,ashgabat
Turkmenistan,TM,Balkan Region,balkan-region,Balkanabat,balkanabat
Turkmenistan,TM,Balkan Region,balkan-region,Bereket,bereket
Turkmenistan,TM,Balkan Region,balkan-region,Gumdag,gumdag
Turkmenistan,TM,Balkan Region,balkan-region,Magtymguly,magtymguly
Turkmenistan,TM,Balkan Region,balkan-region,Serdar,serdar
Turkmenistan,TM,Balkan Region,balkan-region,Turkmenbasy,turkmenbasy
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Akdepe,akdepe
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Boldumsaz,boldumsaz
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Dasoguz,dasoguz
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Koneurgench,koneurgench
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Tagta,tagta
Turkmenistan,TM,Dasoguz Region,dasoguz-region,Yylanly,yylanly
Turkmenistan,TM,Lebap Region,lebap-region,Atamyrat,atamyrat
Turkmenistan,TM,Lebap Region,lebap-region,Farap,farap
Turkmenistan,TM,Lebap Region,lebap-region,Gazojak,gazojak
Turkmenistan,TM,Lebap Region,lebap-region,Gowurdak,gowurdak
Turkmenistan,TM,Lebap Region,lebap-region,Sayat,sayat
Turkmenistan,TM,Lebap Region,lebap-region,Turkmenabat,turkmenabat
Turkmenistan,TM,Mary Region,mary-region,Bayramaly,bayramaly
Turkmenistan,TM,Mary Region,mary-region,Mary,mary
Turkmenistan,TM,Mary Region,mary-region,Serhetabat,serhetabat
Turkmenistan,TM,Mary Region,mary-region,Seydi,seydi
Turkmenistan,TM,Mary Region,mary-region,Yoloten,yoloten
