s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Tunisia,tunisia,TN,Ariana Governorate,ariana-governorate,Ariana,ariana
Tunisia,tunisia,TN,Ariana Governorate,ariana-governorate,Galaat el Andeless,galaat-el-andeless
Tunisia,tunisia,TN,Ben Arous Governorate,ben-arous-governorate,Ben Arous,ben-arous
Tunisia,tunisia,TN,Ben Arous Governorate,ben-arous-governorate,Hammam Lif,hammam-lif
Tunisia,tunisia,TN,Ben Arous Governorate,ben-arous-governorate,Hammam-Lif,hammam-lif
Tunisia,tunisia,TN,Ben Arous Governorate,ben-arous-governorate,La Sebala du Mornag,la-sebala-du-mornag
Tunisia,tunisia,TN,Ben Arous Governorate,ben-arous-governorate,Rades,rades
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Al Matlin,al-matlin
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Bizerte,bizerte
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Bizerte Sud,bizerte-sud
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Douar Tindja,douar-tindja
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,El Alia,el-alia
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Mateur,mateur
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Menzel Abderhaman,menzel-abderhaman
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Menzel Bourguiba,menzel-bourguiba
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Menzel Jemil,menzel-jemil
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Rafraf,rafraf
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Rhar el Melah,rhar-el-melah
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Sejenane,sejenane
Tunisia,tunisia,TN,Bizerte Governorate,bizerte-governorate,Zahanah,zahanah
Tunisia,tunisia,TN,Gabes Governorate,gabes-governorate,Bou Attouche,bou-attouche
Tunisia,tunisia,TN,Gabes Governorate,gabes-governorate,El Hamma,el-hamma
Tunisia,tunisia,TN,Gabes Governorate,gabes-governorate,Gabes,gabes
Tunisia,tunisia,TN,Gabes Governorate,gabes-governorate,Matmata,matmata
Tunisia,tunisia,TN,Gafsa Governorate,gafsa-governorate,Ar Rudayyif,ar-rudayyif
Tunisia,tunisia,TN,Gafsa Governorate,gafsa-governorate,As Sanad,as-sanad
Tunisia,tunisia,TN,Gafsa Governorate,gafsa-governorate,Gafsa,gafsa
Tunisia,tunisia,TN,Gafsa Governorate,gafsa-governorate,Metlaoui,metlaoui
Tunisia,tunisia,TN,Gafsa Governorate,gafsa-governorate,Mutamadiyat ar Rudayyif,mutamadiyat-ar-rudayyif
Tunisia,tunisia,TN,Jendouba Governorate,jendouba-governorate,Fernana,fernana
Tunisia,tunisia,TN,Jendouba Governorate,jendouba-governorate,Jendouba,jendouba
Tunisia,tunisia,TN,Jendouba Governorate,jendouba-governorate,Oued Meliz,oued-meliz
Tunisia,tunisia,TN,Jendouba Governorate,jendouba-governorate,Tabarka,tabarka
Tunisia,tunisia,TN,Kairouan Governorate,kairouan-governorate,Haffouz,haffouz
Tunisia,tunisia,TN,Kairouan Governorate,kairouan-governorate,Kairouan,kairouan
Tunisia,tunisia,TN,Kairouan Governorate,kairouan-governorate,Sbikha,sbikha
Tunisia,tunisia,TN,Kasserine Governorate,kasserine-governorate,Kasserine,kasserine
Tunisia,tunisia,TN,Kasserine Governorate,kasserine-governorate,Rohia,rohia
Tunisia,tunisia,TN,Kasserine Governorate,kasserine-governorate,Sbiba,sbiba
Tunisia,tunisia,TN,Kasserine Governorate,kasserine-governorate,Thala,thala
Tunisia,tunisia,TN,Kassrine,kassrine,Beja,beja
Tunisia,tunisia,TN,Kassrine,kassrine,Delegation de Beja Nord,delegation-de-beja-nord
Tunisia,tunisia,TN,Kassrine,kassrine,Goubellat,goubellat
Tunisia,tunisia,TN,Kassrine,kassrine,Medjez el Bab,medjez-el-bab
Tunisia,tunisia,TN,Kassrine,kassrine,Tabursuq,tabursuq
Tunisia,tunisia,TN,Kassrine,kassrine,Testour,testour
Tunisia,tunisia,TN,Kebili Governorate,kebili-governorate,Douz,douz
