s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Turkey,turkey,TR,Adana Province,adana-province,Adana,adana
Turkey,turkey,TR,Adana Province,adana-province,Aladag,aladag
Turkey,turkey,TR,Adana Province,adana-province,Bahce,bahce
Turkey,turkey,TR,Adana Province,adana-province,Ceyhan,ceyhan
Turkey,turkey,TR,Adana Province,adana-province,Cukurova,cukurova
Turkey,turkey,TR,Adana Province,adana-province,Feke,feke
Turkey,turkey,TR,Adana Province,adana-province,Imamoglu,imamoglu
Turkey,turkey,TR,Adana Province,adana-province,Karaisal,karaisal
Turkey,turkey,TR,Adana Province,adana-province,Karatas,karatas
Turkey,turkey,TR,Adana Province,adana-province,Kozan,kozan
Turkey,turkey,TR,Adana Province,adana-province,Pozant,pozant
Turkey,turkey,TR,Adana Province,adana-province,Saimbeyli,saimbeyli
Turkey,turkey,TR,Adana Province,adana-province,Sarcam,sarcam
Turkey,turkey,TR,Adana Province,adana-province,Seyhan,seyhan
Turkey,turkey,TR,Adana Province,adana-province,Tufanbeyli,tufanbeyli
Turkey,turkey,TR,Adana Province,adana-province,Yumurtalk,yumurtalk
Turkey,turkey,TR,Adana Province,adana-province,Yuregir,yuregir
Turkey,turkey,TR,Adyaman Province,adyaman-province,Adyaman,adyaman
Turkey,turkey,TR,Adyaman Province,adyaman-province,Aralk Ilcesi,aralk-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Besni,besni
Turkey,turkey,TR,Adyaman Province,adyaman-province,Besni Ilcesi,besni-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Celikhan,celikhan
Turkey,turkey,TR,Adyaman Province,adyaman-province,Celikhan Ilcesi,celikhan-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Gerger,gerger
Turkey,turkey,TR,Adyaman Province,adyaman-province,Gerger Ilcesi,gerger-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Golbas,golbas
Turkey,turkey,TR,Adyaman Province,adyaman-province,Golbas Ilcesi,golbas-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Kahta,kahta
Turkey,turkey,TR,Adyaman Province,adyaman-province,Kahta Ilcesi,kahta-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Merkez,merkez
Turkey,turkey,TR,Adyaman Province,adyaman-province,Samsat,samsat
Turkey,turkey,TR,Adyaman Province,adyaman-province,Samsat Ilcesi,samsat-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Sincik,sincik
Turkey,turkey,TR,Adyaman Province,adyaman-province,Sincik Ilcesi,sincik-ilcesi
Turkey,turkey,TR,Adyaman Province,adyaman-province,Tut,tut
Turkey,turkey,TR,Adyaman Province,adyaman-province,Tut Ilcesi,tut-ilcesi
Turkey,turkey,TR,Afyonkarahisar Province,afyonkarahisar-province,Afyonkarahisar,afyonkarahisar
Turkey,turkey,TR,Afyonkarahisar Province,afyonkarahisar-province,Basmakc,basmakc
Turkey,turkey,TR,Afyonkarahisar Province,afyonkarahisar-province,Basmakc Ilcesi,basmakc-ilcesi
Turkey,turkey,TR,Afyonkarahisar Province,afyonkarahisar-province,Bayat,bayat
