s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Arusha,arusha
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Kingori,kingori
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Kiratu,kiratu
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Longido,longido
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Mbuguni,mbuguni
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Merelani,merelani
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Meru,meru
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Monduli,monduli
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Mto wa Mbu,mto-wa-mbu
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Namanga,namanga
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Ngorongoro,ngorongoro
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Nkoaranga,nkoaranga
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Poli,poli
Tanzania,tanzania,TZ,Arusha Region,arusha-region,Usa River,usa-river
Tanzania,tanzania,TZ,Dar es Salaam Region,dar-es-salaam-region,Dar es Salaam,dar-es-salaam
Tanzania,tanzania,TZ,Dar es Salaam Region,dar-es-salaam-region,Magomeni,magomeni
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Dodoma,dodoma
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Kibakwe,kibakwe
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Kisasa,kisasa
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Kondoa,kondoa
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Kongwa,kongwa
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Mpwapwa,mpwapwa
Tanzania,tanzania,TZ,Dodoma Region,dodoma-region,Msanga,msanga
Tanzania,tanzania,TZ,Geita Region,geita-region,Buseresere,buseresere
Tanzania,tanzania,TZ,Geita Region,geita-region,Chato,chato
Tanzania,tanzania,TZ,Geita Region,geita-region,Geita,geita
Tanzania,tanzania,TZ,Geita Region,geita-region,Kasamwa,kasamwa
Tanzania,tanzania,TZ,Geita Region,geita-region,Katoro,katoro
