s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Uganda,UG,Abim District,abim-district,Abim District,abim-district
Uganda,UG,Adjumani District,adjumani-district,Adjumani District,adjumani-district
Uganda,UG,Agago District,agago-district,Agago District,agago-district
Uganda,UG,Alebtong District,alebtong-district,Alebtong District,alebtong-district
Uganda,UG,Amolatar District,amolatar-district,Amolatar District,amolatar-district
Uganda,UG,Amudat District,amudat-district,Amudat District,amudat-district
Uganda,UG,Amuria District,amuria-district,Amuria District,amuria-district
Uganda,UG,Amuru District,amuru-district,Amuru District,amuru-district
Uganda,UG,Apac District,apac-district,Apac District,apac-district
Uganda,UG,Arua District,arua-district,Arua District,arua-district
Uganda,UG,Budaka District,budaka-district,Budaka District,budaka-district
Uganda,UG,Bududa District,bududa-district,Bududa District,bududa-district
Uganda,UG,Bugiri District,bugiri-district,Bugiri District,bugiri-district
Uganda,UG,Buhweju District,buhweju-district,Buhweju District,buhweju-district
Uganda,UG,Buikwe District,buikwe-district,Buikwe District,buikwe-district
Uganda,UG,Bukedea District,bukedea-district,Bukedea District,bukedea-district
Uganda,UG,Bukomansimbi District,bukomansimbi-district,Bukomansimbi District,bukomansimbi-district
Uganda,UG,Bukwo District,bukwo-district,Bukwo District,bukwo-district
Uganda,UG,Bulambuli District,bulambuli-district,Bulambuli District,bulambuli-district
Uganda,UG,Buliisa District,buliisa-district,Buliisa District,buliisa-district
Uganda,UG,Bundibugyo District,bundibugyo-district,Bundibugyo District,bundibugyo-district
Uganda,UG,Bunyangabu District,bunyangabu-district,Bunyangabu District,bunyangabu-district
Uganda,UG,Bushenyi District,bushenyi-district,Bushenyi District,bushenyi-district
Uganda,UG,Busia District,busia-district,Busia District,busia-district
Uganda,UG,Butaleja District,butaleja-district,Butaleja District,butaleja-district
Uganda,UG,Butambala District,butambala-district,Butambala District,butambala-district
Uganda,UG,Butebo District,butebo-district,Butebo District,butebo-district
Uganda,UG,Buvuma District,buvuma-district,Buvuma District,buvuma-district
Uganda,UG,Buyende District,buyende-district,Buyende District,buyende-district
Uganda,UG,Central Region,central-region,Bukomansimbi District,bukomansimbi-district
Uganda,UG,Central Region,central-region,Buvuma District,buvuma-district
Uganda,UG,Central Region,central-region,Bweyogerere,bweyogerere
Uganda,UG,Central Region,central-region,Byakabanda,byakabanda
Uganda,UG,Central Region,central-region,Entebbe,entebbe
Uganda,UG,Central Region,central-region,Gomba District,gomba-district
Uganda,UG,Central Region,central-region,Kajansi,kajansi
Uganda,UG,Central Region,central-region,Kampala,kampala
Uganda,UG,Central Region,central-region,Kampala District,kampala-district
Uganda,UG,Central Region,central-region,Kanoni,kanoni
Uganda,UG,Central Region,central-region,Kayunga,kayunga
Uganda,UG,Central Region,central-region,Kiboga,kiboga
