s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
United States,united-states,US,Alabama,alabama,Abbeville,abbeville
United States,united-states,US,Alabama,alabama,Adamsville,adamsville
United States,united-states,US,Alabama,alabama,Alabaster,alabaster
United States,united-states,US,Alabama,alabama,Albertville,albertville
United States,united-states,US,Alabama,alabama,Alexander City,alexander-city
United States,united-states,US,Alabama,alabama,Alexandria,alexandria
United States,united-states,US,Alabama,alabama,Aliceville,aliceville
United States,united-states,US,Alabama,alabama,Andalusia,andalusia
United States,united-states,US,Alabama,alabama,Anniston,anniston
United States,united-states,US,Alabama,alabama,Arab,arab
United States,united-states,US,Alabama,alabama,Argo,argo
United States,united-states,US,Alabama,alabama,Ashford,ashford
United States,united-states,US,Alabama,alabama,Ashland,ashland
United States,united-states,US,Alabama,alabama,Ashville,ashville
United States,united-states,US,Alabama,alabama,Athens,athens
United States,united-states,US,Alabama,alabama,Atmore,atmore
United States,united-states,US,Alabama,alabama,Attalla,attalla
United States,united-states,US,Alabama,alabama,Auburn,auburn
United States,united-states,US,Alabama,alabama,Autauga County,autauga-county
United States,united-states,US,Alabama,alabama,Baldwin County,baldwin-county
United States,united-states,US,Alabama,alabama,Ballplay,ballplay
United States,united-states,US,Alabama,alabama,Barbour County,barbour-county
United States,united-states,US,Alabama,alabama,Bay Minette,bay-minette
United States,united-states,US,Alabama,alabama,Bayou La Batre,bayou-la-batre
United States,united-states,US,Alabama,alabama,Bear Creek,bear-creek
United States,united-states,US,Alabama,alabama,Berry,berry
United States,united-states,US,Alabama,alabama,Bessemer,bessemer
United States,united-states,US,Alabama,alabama,Bibb County,bibb-county
United States,united-states,US,Alabama,alabama,Birmingham,birmingham
United States,united-states,US,Alabama,alabama,Blount County,blount-county
United States,united-states,US,Alabama,alabama,Blountsville,blountsville
United States,united-states,US,Alabama,alabama,Blue Ridge,blue-ridge
United States,united-states,US,Alabama,alabama,Boaz,boaz
United States,united-states,US,Alabama,alabama,Brent,brent
United States,united-states,US,Alabama,alabama,Brewton,brewton
United States,united-states,US,Alabama,alabama,Bridgeport,bridgeport
United States,united-states,US,Alabama,alabama,Brighton,brighton
United States,united-states,US,Alabama,alabama,Brook Highland,brook-highland
United States,united-states,US,Alabama,alabama,Brookside,brookside
United States,united-states,US,Alabama,alabama,Brookwood,brookwood
United States,united-states,US,Alabama,alabama,Brundidge,brundidge
United States,united-states,US,Alabama,alabama,Bullock County,bullock-county
United States,united-states,US,Alabama,alabama,Butler,butler
United States,united-states,US,Alabama,alabama,Butler County,butler-county
United States,united-states,US,Alabama,alabama,Bynum,bynum
United States,united-states,US,Alabama,alabama,Cahaba Heights,cahaba-heights
United States,united-states,US,Alabama,alabama,Calera,calera
United States,united-states,US,Alabama,alabama,Calhoun County,calhoun-county
United States,united-states,US,Alabama,alabama,Camden,camden
United States,united-states,US,Alabama,alabama,Carbon Hill,carbon-hill
United States,united-states,US,Alabama,alabama,Carlisle-Rockledge,carlisle-rockledge
United States,united-states,US,Alabama,alabama,Carrollton,carrollton
United States,united-states,US,Alabama,alabama,Cedar Bluff,cedar-bluff
United States,united-states,US,Alabama,alabama,Center Point,center-point
United States,united-states,US,Alabama,alabama,Centre,centre
United States,united-states,US,Alabama,alabama,Centreville,centreville
United States,united-states,US,Alabama,alabama,Chalkville,chalkville
United States,united-states,US,Alabama,alabama,Chambers County,chambers-county
United States,united-states,US,Alabama,alabama,Chatom,chatom
United States,united-states,US,Alabama,alabama,Chelsea,chelsea
United States,united-states,US,Alabama,alabama,Cherokee,cherokee
United States,united-states,US,Alabama,alabama,Cherokee County,cherokee-county
United States,united-states,US,Alabama,alabama,Chickasaw,chickasaw
United States,united-states,US,Alabama,alabama,Childersburg,childersburg
United States,united-states,US,Alabama,alabama,Chilton County,chilton-county
United States,united-states,US,Alabama,alabama,Choccolocco,choccolocco
United States,united-states,US,Alabama,alabama,Choctaw County,choctaw-county
United States,united-states,US,Alabama,alabama,Citronelle,citronelle
United States,united-states,US,Alabama,alabama,Clanton,clanton
United States,united-states,US,Alabama,alabama,Clarke County,clarke-county
United States,united-states,US,Alabama,alabama,Clay,clay
United States,united-states,US,Alabama,alabama,Clay County,clay-county
United States,united-states,US,Alabama,alabama,Clayton,clayton
United States,united-states,US,Alabama,alabama,Cleburne County,cleburne-county
United States,united-states,US,Alabama,alabama,Cleveland,cleveland
United States,united-states,US,Alabama,alabama,Clio,clio
United States,united-states,US,Alabama,alabama,Coaling,coaling
United States,united-states,US,Alabama,alabama,Coffee County,coffee-county
United States,united-states,US,Alabama,alabama,Colbert County,colbert-county
United States,united-states,US,Alabama,alabama,Collinsville,collinsville
United States,united-states,US,Alabama,alabama,Columbiana,columbiana
United States,united-states,US,Alabama,alabama,Concord,concord
United States,united-states,US,Alabama,alabama,Conecuh County,conecuh-county
United States,united-states,US,Alabama,alabama,Coosa County,coosa-county
United States,united-states,US,Alabama,alabama,Coosada,coosada
United States,united-states,US,Alabama,alabama,Cordova,cordova
United States,united-states,US,Alabama,alabama,Cottonwood,cottonwood
United States,united-states,US,Alabama,alabama,Covington County,covington-county
United States,united-states,US,Alabama,alabama,Cowarts,cowarts
United States,united-states,US,Alabama,alabama,Crenshaw County,crenshaw-county
United States,united-states,US,Alabama,alabama,Creola,creola
United States,united-states,US,Alabama,alabama,Crossville,crossville
United States,united-states,US,Alabama,alabama,Cullman,cullman
United States,united-states,US,Alabama,alabama,Cullman County,cullman-county
United States,united-states,US,Alabama,alabama,Dadeville,dadeville
United States,united-states,US,Alabama,alabama,Dale County,dale-county
United States,united-states,US,Alabama,alabama,Daleville,daleville
United States,united-states,US,Alabama,alabama,Dallas County,dallas-county
United States,united-states,US,Alabama,alabama,Danville,danville
United States,united-states,US,Alabama,alabama,Daphne,daphne
United States,united-states,US,Alabama,alabama,Dauphin Island,dauphin-island
United States,united-states,US,Alabama,alabama,Deatsville,deatsville
United States,united-states,US,Alabama,alabama,Decatur,decatur
United States,united-states,US,Alabama,alabama,DeKalb County,dekalb-county
United States,united-states,US,Alabama,alabama,Demopolis,demopolis
United States,united-states,US,Alabama,alabama,Dixiana,dixiana
United States,united-states,US,Alabama,alabama,Dora,dora
United States,united-states,US,Alabama,alabama,Dothan,dothan
United States,united-states,US,Alabama,alabama,Double Springs,double-springs
United States,united-states,US,Alabama,alabama,East Brewton,east-brewton
United States,united-states,US,Alabama,alabama,East Florence,east-florence
United States,united-states,US,Alabama,alabama,Eclectic,eclectic
United States,united-states,US,Alabama,alabama,Elba,elba
United States,united-states,US,Alabama,alabama,Elberta,elberta
United States,united-states,US,Alabama,alabama,Elmore,elmore
United States,united-states,US,Alabama,alabama,Elmore County,elmore-county
United States,united-states,US,Alabama,alabama,Emerald Mountain,emerald-mountain
United States,united-states,US,Alabama,alabama,Enterprise,enterprise
United States,united-states,US,Alabama,alabama,Escambia County,escambia-county
United States,united-states,US,Alabama,alabama,Etowah County,etowah-county
United States,united-states,US,Alabama,alabama,Eufaula,eufaula
United States,united-states,US,Alabama,alabama,Eutaw,eutaw
United States,united-states,US,Alabama,alabama,Evergreen,evergreen
United States,united-states,US,Alabama,alabama,Fairfield,fairfield
United States,united-states,US,Alabama,alabama,Fairhope,fairhope
United States,united-states,US,Alabama,alabama,Falkville,falkville
United States,united-states,US,Alabama,alabama,Fayette,fayette
United States,united-states,US,Alabama,alabama,Fayette County,fayette-county
United States,united-states,US,Alabama,alabama,Fayetteville,fayetteville
United States,united-states,US,Alabama,alabama,Flint City,flint-city
United States,united-states,US,Alabama,alabama,Flomaton,flomaton
United States,united-states,US,Alabama,alabama,Florala,florala
United States,united-states,US,Alabama,alabama,Florence,florence
United States,united-states,US,Alabama,alabama,Foley,foley
United States,united-states,US,Alabama,alabama,Forestdale,forestdale
United States,united-states,US,Alabama,alabama,Fort Deposit,fort-deposit
United States,united-states,US,Alabama,alabama,Fort Payne,fort-payne
United States,united-states,US,Alabama,alabama,Fort Rucker,fort-rucker
United States,united-states,US,Alabama,alabama,Franklin County,franklin-county
United States,united-states,US,Alabama,alabama,Frisco City,frisco-city
United States,united-states,US,Alabama,alabama,Fultondale,fultondale
United States,united-states,US,Alabama,alabama,Fyffe,fyffe
United States,united-states,US,Alabama,alabama,Gadsden,gadsden
United States,united-states,US,Alabama,alabama,Gardendale,gardendale
United States,united-states,US,Alabama,alabama,Geneva,geneva
United States,united-states,US,Alabama,alabama,Geneva County,geneva-county
United States,united-states,US,Alabama,alabama,Georgiana,georgiana
United States,united-states,US,Alabama,alabama,Glencoe,glencoe
United States,united-states,US,Alabama,alabama,Good Hope,good-hope
United States,united-states,US,Alabama,alabama,Goodwater,goodwater
United States,united-states,US,Alabama,alabama,Gordo,gordo
United States,united-states,US,Alabama,alabama,Grand Bay,grand-bay
United States,united-states,US,Alabama,alabama,Grayson Valley,grayson-valley
United States,united-states,US,Alabama,alabama,Graysville,graysville
United States,united-states,US,Alabama,alabama,Greene County,greene-county
United States,united-states,US,Alabama,alabama,Greensboro,greensboro
United States,united-states,US,Alabama,alabama,Greenville,greenville
United States,united-states,US,Alabama,alabama,Grove Hill,grove-hill
United States,united-states,US,Alabama,alabama,Guin,guin
United States,united-states,US,Alabama,alabama,Gulf Shores,gulf-shores
United States,united-states,US,Alabama,alabama,Guntersville,guntersville
United States,united-states,US,Alabama,alabama,Hackleburg,hackleburg
United States,united-states,US,Alabama,alabama,Hale County,hale-county
United States,united-states,US,Alabama,alabama,Haleyville,haleyville
United States,united-states,US,Alabama,alabama,Hamilton,hamilton
United States,united-states,US,Alabama,alabama,Hanceville,hanceville
United States,united-states,US,Alabama,alabama,Harpersville,harpersville
United States,united-states,US,Alabama,alabama,Hartford,hartford
United States,united-states,US,Alabama,alabama,Hartselle,hartselle
United States,united-states,US,Alabama,alabama,Harvest,harvest
United States,united-states,US,Alabama,alabama,Hayden,hayden
United States,united-states,US,Alabama,alabama,Hayneville,hayneville
United States,united-states,US,Alabama,alabama,Hazel Green,hazel-green
United States,united-states,US,Alabama,alabama,Headland,headland
United States,united-states,US,Alabama,alabama,Heflin,heflin
United States,united-states,US,Alabama,alabama,Helena,helena
United States,united-states,US,Alabama,alabama,Henagar,henagar
United States,united-states,US,Alabama,alabama,Henry County,henry-county
United States,united-states,US,Alabama,alabama,Highland Lakes,highland-lakes
United States,united-states,US,Alabama,alabama,Hokes Bluff,hokes-bluff
United States,united-states,US,Alabama,alabama,Holt,holt
United States,united-states,US,Alabama,alabama,Holtville,holtville
United States,united-states,US,Alabama,alabama,Homewood,homewood
United States,united-states,US,Alabama,alabama,Hoover,hoover
United States,united-states,US,Alabama,alabama,Houston County,houston-county
United States,united-states,US,Alabama,alabama,Hueytown,hueytown
United States,united-states,US,Alabama,alabama,Huguley,huguley
United States,united-states,US,Alabama,alabama,Huntsville,huntsville
