s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Andijon,andijon
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Andijon Tumani,andijon-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Asaka,asaka
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Asaka Tumani,asaka-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Baliqchi Tumani,baliqchi-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Boz Tumani,boz-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Buloqboshi Tumani,buloqboshi-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Izboskan Tumani,izboskan-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Jalolkuduk Tumani,jalolkuduk-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Khujaobod Tumani,khujaobod-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Marhamat,marhamat
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Marhamat Tumani,marhamat-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Oltinkul Tumani,oltinkul-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Pakhtaobod Tumani,pakhtaobod-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Paxtaobod,paxtaobod
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Qorgontepa,qorgontepa
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Qurghontepa Tumani,qurghontepa-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Shahrikhon Tumani,shahrikhon-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Shahrixon,shahrixon
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Ulugnor Tumani,ulugnor-tumani
Uzbekistan,uzbekistan,UZ,Andijan Region,andijan-region,Xojaobod,xojaobod
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Bukhara,bukhara
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Galaosiyo,galaosiyo
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Gazli,gazli
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Ghijduwon,ghijduwon
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Karakul,karakul
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Kogon,kogon
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Olot,olot
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Peshku Tumani,peshku-tumani
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Qorakol,qorakol
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Qorovulbozor,qorovulbozor
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Romiton,romiton
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Shofirkon,shofirkon
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Wobkent,wobkent
Uzbekistan,uzbekistan,UZ,Bukhara Region,bukhara-region,Wobkent Tumani,wobkent-tumani
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Beshariq,beshariq
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Fergana,fergana
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Hamza,hamza
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Kirguli,kirguli
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Margilon,margilon
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Oltiariq,oltiariq
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Qoqon,qoqon
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Quva,quva
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Quvasoy,quvasoy
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Rishton,rishton
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Shohimardon,shohimardon
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Sox Tumani,sox-tumani
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Toshloq,toshloq
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Yangi Margilon,yangi-margilon
Uzbekistan,uzbekistan,UZ,Fergana Region,fergana-region,Yaypan,yaypan
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Dashtobod,dashtobod
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Dustlik,dustlik
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Gagarin,gagarin
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Jizzax,jizzax
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Paxtakor,paxtakor
Uzbekistan,uzbekistan,UZ,Jizzakh Region,jizzakh-region,Zomin,zomin
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Beruniy,beruniy
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Kegeyli Shahar,kegeyli-shahar
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Khujayli,khujayli
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Manghit,manghit
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Muynoq,muynoq
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Novyy Turtkul,novyy-turtkul
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Nukus,nukus
Uzbekistan,uzbekistan,UZ,Karakalpakstan,karakalpakstan,Oltinkol,oltinkol
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Chortoq,chortoq
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Chust,chust
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Haqqulobod,haqqulobod
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Kosonsoy,kosonsoy
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Namangan,namangan
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Pop,pop
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Torqaorgon,torqaorgon
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Toshbuloq,toshbuloq
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Uchqurghon Shahri,uchqurghon-shahri
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Uychi,uychi
Uzbekistan,uzbekistan,UZ,Namangan Region,namangan-region,Yangiqorgon,yangiqorgon
Uzbekistan,uzbekistan,UZ,Navoiy Region,navoiy-region,Navoiy,navoiy
Uzbekistan,uzbekistan,UZ,Navoiy Region,navoiy-region,Nurota,nurota
Uzbekistan,uzbekistan,UZ,Navoiy Region,navoiy-region,Qiziltepa,qiziltepa
Uzbekistan,uzbekistan,UZ,Navoiy Region,navoiy-region,Yangirabot,yangirabot
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Beshkent,beshkent
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Chiroqchi,chiroqchi
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Guzor,guzor
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Kitob,kitob
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Koson,koson
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Muborak,muborak
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Nishon Tumani,nishon-tumani
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Qarshi,qarshi
Uzbekistan,uzbekistan,UZ,Qashqadaryo Region,qashqadaryo-region,Shahrisabz,shahrisabz
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Bulungur,bulungur
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Charxin,charxin
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Chelak,chelak
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Daxbet,daxbet
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Ishtixon,ishtixon
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Jomboy,jomboy
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Juma,juma
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Kattaqorgon,kattaqorgon
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Oqtosh,oqtosh
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Payshanba,payshanba
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Samarkand,samarkand
Uzbekistan,uzbekistan,UZ,Samarqand Region,samarqand-region,Urgut,urgut
Uzbekistan,uzbekistan,UZ,Sirdaryo Region,sirdaryo-region,Guliston,guliston
Uzbekistan,uzbekistan,UZ,Sirdaryo Region,sirdaryo-region,Sirdaryo,sirdaryo
Uzbekistan,uzbekistan,UZ,Sirdaryo Region,sirdaryo-region,Yangiyer,yangiyer
Uzbekistan,uzbekistan,UZ,Surxondaryo Region,surxondaryo-region,Boysun,boysun
Uzbekistan,uzbekistan,UZ,Surxondaryo Region,surxondaryo-region,Denov,denov
Uzbekistan,uzbekistan,UZ,Surxondaryo Region,surxondaryo-region,Shorchi,shorchi
Uzbekistan,uzbekistan,UZ,Surxondaryo Region,surxondaryo-region,Tirmiz,tirmiz
Uzbekistan,uzbekistan,UZ,Tashkent,tashkent,Bektemir,bektemir
Uzbekistan,uzbekistan,UZ,Tashkent,tashkent,Tashkent,tashkent
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Angren,angren
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Bekobod,bekobod
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Boka,boka
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Chinoz,chinoz
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Chirchiq,chirchiq
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Gazalkent,gazalkent
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Iskandar,iskandar
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Kyzyldzhar,kyzyldzhar
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Ohangaron,ohangaron
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Olmaliq,olmaliq
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Parkent,parkent
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Piskent,piskent
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Qibray,qibray
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Salor,salor
Uzbekistan,uzbekistan,UZ,Tashkent Region,tashkent-region,Tuytepa,tuytepa
