s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Venezuela,venezuela,VE,Amazonas,amazonas,Maroa,maroa
Venezuela,venezuela,VE,Amazonas,amazonas,Municipio Autonomo Alto Orinoco,municipio-autonomo-alto-orinoco
Venezuela,venezuela,VE,Amazonas,amazonas,Puerto Ayacucho,puerto-ayacucho
Venezuela,venezuela,VE,Amazonas,amazonas,San Carlos de Rio Negro,san-carlos-de-rio-negro
Venezuela,venezuela,VE,Amazonas,amazonas,San Fernando de Atabapo,san-fernando-de-atabapo
Venezuela,venezuela,VE,Amazonas,amazonas,San Juan de Manapiare,san-juan-de-manapiare
Venezuela,venezuela,VE,Anzoategui,anzoategui,Anaco,anaco
Venezuela,venezuela,VE,Anzoategui,anzoategui,Aragua de Barcelona,aragua-de-barcelona
Venezuela,venezuela,VE,Anzoategui,anzoategui,Barcelona,barcelona
Venezuela,venezuela,VE,Anzoategui,anzoategui,Cantaura,cantaura
Venezuela,venezuela,VE,Anzoategui,anzoategui,El Tigre,el-tigre
Venezuela,venezuela,VE,Anzoategui,anzoategui,Municipio Jose Gregorio Monagas,municipio-jose-gregorio-monagas
Venezuela,venezuela,VE,Anzoategui,anzoategui,Onoto,onoto
Venezuela,venezuela,VE,Anzoategui,anzoategui,Puerto La Cruz,puerto-la-cruz
Venezuela,venezuela,VE,Anzoategui,anzoategui,Puerto Piritu,puerto-piritu
Venezuela,venezuela,VE,Anzoategui,anzoategui,San Jose de Guanipa,san-jose-de-guanipa
Venezuela,venezuela,VE,Apure,apure,Apure,apure
Venezuela,venezuela,VE,Aragua,aragua,Cagua,cagua
Venezuela,venezuela,VE,Aragua,aragua,El Limon,el-limon
Venezuela,venezuela,VE,Aragua,aragua,La Victoria,la-victoria
Venezuela,venezuela,VE,Aragua,aragua,Las Tejerias,las-tejerias
Venezuela,venezuela,VE,Aragua,aragua,Maracay,maracay
Venezuela,venezuela,VE,Aragua,aragua,Palo Negro,palo-negro
Venezuela,venezuela,VE,Aragua,aragua,San Mateo,san-mateo
Venezuela,venezuela,VE,Aragua,aragua,Santa Rita,santa-rita
Venezuela,venezuela,VE,Aragua,aragua,Turmero,turmero
Venezuela,venezuela,VE,Aragua,aragua,Villa de Cura,villa-de-cura
Venezuela,venezuela,VE,Barinas,barinas,Alto Barinas,alto-barinas
