s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Samoa,WS,A'ana,aana,Fasitoouta,fasitoouta
Samoa,WS,A'ana,aana,Leulumoega,leulumoega
Samoa,WS,A'ana,aana,Nofoalii,nofoalii
Samoa,WS,A'ana,aana,Satapuala,satapuala
Samoa,WS,Aiga-i-le-Tai,aiga-i-le-tai,Mulifanua,mulifanua
Samoa,WS,Atua,atua,Falefa,falefa
Samoa,WS,Atua,atua,Lotofaga,lotofaga
Samoa,WS,Atua,atua,Lufilufi,lufilufi
Samoa,WS,Atua,atua,Solosolo,solosolo
Samoa,WS,Fa'asaleleaga,faasaleleaga,Fa'asaleleaga,faasaleleaga
Samoa,WS,Gaga'emauga,gagaemauga,Gaga'emauga,gagaemauga
Samoa,WS,Gaga'ifomauga,gagaifomauga,Matavai,matavai
Samoa,WS,Gaga'ifomauga,gagaifomauga,Safotu,safotu
Samoa,WS,Palauli,palauli,Gataivai,gataivai
Samoa,WS,Palauli,palauli,Vailoa,vailoa
Samoa,WS,Satupa'itea,satupaitea,Satupa'itea,satupaitea
Samoa,WS,Tuamasaga,tuamasaga,Afega,afega
Samoa,WS,Tuamasaga,tuamasaga,Apia,apia
Samoa,WS,Tuamasaga,tuamasaga,Malie,malie
Samoa,WS,Tuamasaga,tuamasaga,Vailima,vailima
Samoa,WS,Tuamasaga,tuamasaga,Vaiusu,vaiusu
Samoa,WS,Va'a-o-Fonoti,vaa-o-fonoti,Samamea,samamea
Samoa,WS,Vaisigano,vaisigano,Asau,asau
