s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Zimbabwe,ZW,Bulawayo Province,bulawayo-province,Bulawayo,bulawayo
Zimbabwe,ZW,Harare Province,harare-province,Chitungwiza,chitungwiza
Zimbabwe,ZW,Harare Province,harare-province,Epworth,epworth
Zimbabwe,ZW,Harare Province,harare-province,Harare,harare
Zimbabwe,ZW,Manicaland,manicaland,Buhera District,buhera-district
Zimbabwe,ZW,Manicaland,manicaland,Chimanimani,chimanimani
Zimbabwe,ZW,Manicaland,manicaland,Chimanimani District,chimanimani-district
Zimbabwe,ZW,Manicaland,manicaland,Chipinge,chipinge
Zimbabwe,ZW,Manicaland,manicaland,Chipinge District,chipinge-district
Zimbabwe,ZW,Manicaland,manicaland,Dorowa Mining Lease,dorowa-mining-lease
Zimbabwe,ZW,Manicaland,manicaland,Headlands,headlands
Zimbabwe,ZW,Manicaland,manicaland,Makoni District,makoni-district
Zimbabwe,ZW,Manicaland,manicaland,Mutare,mutare
Zimbabwe,ZW,Manicaland,manicaland,Mutare District,mutare-district
Zimbabwe,ZW,Manicaland,manicaland,Mutasa District,mutasa-district
Zimbabwe,ZW,Manicaland,manicaland,Nyanga,nyanga
Zimbabwe,ZW,Manicaland,manicaland,Nyanga District,nyanga-district
Zimbabwe,ZW,Manicaland,manicaland,Nyazura,nyazura
Zimbabwe,ZW,Manicaland,manicaland,Odzi,odzi
Zimbabwe,ZW,Manicaland,manicaland,Penhalonga,penhalonga
Zimbabwe,ZW,Manicaland,manicaland,Rusape,rusape
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Bindura,bindura
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Bindura District,bindura-district
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Centenary,centenary
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Centenary District,centenary-district
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Concession,concession
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Glendale,glendale
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Guruve District,guruve-district
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Mazowe,mazowe
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Mazowe District,mazowe-district
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Mount Darwin,mount-darwin
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Mvurwi,mvurwi
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Rushinga District,rushinga-district
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Shamva,shamva
Zimbabwe,ZW,Mashonaland Central Province,mashonaland-central-province,Shamva District,shamva-district
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Beatrice,beatrice
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Chivhu,chivhu
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Goromonzi District,goromonzi-district
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Macheke,macheke
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Marondera,marondera
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Marondera District,marondera-district
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Mudzi District,mudzi-district
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Murehwa,murehwa
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Murehwa District,murehwa-district
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Mutoko,mutoko
Zimbabwe,ZW,Mashonaland East Province,mashonaland-east-province,Ruwa,ruwa
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Banket,banket
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Chakari,chakari
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Chegutu,chegutu
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Chegutu District,chegutu-district
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Chinhoyi,chinhoyi
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Chirundu,chirundu
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Hurungwe District,hurungwe-district
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Kadoma,kadoma
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Kadoma District,kadoma-district
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Kariba,kariba
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Kariba District,kariba-district
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Karoi,karoi
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Makonde District,makonde-district
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Mhangura,mhangura
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Norton,norton
Zimbabwe,ZW,Mashonaland West Province,mashonaland-west-province,Raffingora,raffingora
Zimbabwe,ZW,Masvingo Province,masvingo-province,Bikita District,bikita-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Chiredzi,chiredzi
Zimbabwe,ZW,Masvingo Province,masvingo-province,Chiredzi District,chiredzi-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Chivi District,chivi-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Gutu District,gutu-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Mashava,mashava
Zimbabwe,ZW,Masvingo Province,masvingo-province,Masvingo,masvingo
Zimbabwe,ZW,Masvingo Province,masvingo-province,Masvingo District,masvingo-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Mwenezi District,mwenezi-district
Zimbabwe,ZW,Masvingo Province,masvingo-province,Zvishavane,zvishavane
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Binga,binga
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Binga District,binga-district
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Bubi District,bubi-district
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Dete,dete
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Hwange,hwange
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Hwange District,hwange-district
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Inyati,inyati
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Kamativi Mine,kamativi-mine
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Lupane,lupane
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Lupane District,lupane-district
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Nkayi District,nkayi-district
Zimbabwe,ZW,Matabeleland North Province,matabeleland-north-province,Victoria Falls,victoria-falls
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Beitbridge,beitbridge
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Beitbridge District,beitbridge-district
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Esigodini,esigodini
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Filabusi,filabusi
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Gwanda,gwanda
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Gwanda District,gwanda-district
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Insiza,insiza
Zimbabwe,ZW,Matabeleland South Province,matabeleland-south-province,Insiza District,insiza-district
