s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Abu Dhabi Island and Internal Islands City,abu-dhabi-island-and-internal-islands-city
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Abu Dhabi Municipality,abu-dhabi-municipality
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Al Ain City,al-ain-city
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Al Ain Municipality,al-ain-municipality
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Al Dhafra,al-dhafra
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Al Shamkhah City,al-shamkhah-city
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Ar Ruways,ar-ruways
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Bani Yas City,bani-yas-city
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Khalifah A City,khalifah-a-city
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Musaffah,musaffah
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Muzayri,muzayri
United Arab Emirates,united-arab-emirates,AE,Abu Dhabi Emirate,abu-dhabi-emirate,Zayed City,zayed-city
United Arab Emirates,united-arab-emirates,AE,Ajman Emirate,ajman-emirate,Ajman,ajman
United Arab Emirates,united-arab-emirates,AE,Ajman Emirate,ajman-emirate,Ajman City,ajman-city
United Arab Emirates,united-arab-emirates,AE,Ajman Emirate,ajman-emirate,Manama,manama
United Arab Emirates,united-arab-emirates,AE,Ajman Emirate,ajman-emirate,Masfout,masfout
United Arab Emirates,united-arab-emirates,AE,Dubai,dubai,Dubai,dubai
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Al Fujairah City,al-fujairah-city
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Al Fujairah Municipality,al-fujairah-municipality
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Dibba Al Fujairah Municipality,dibba-al-fujairah-municipality
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Dibba Al-Fujairah,dibba-al-fujairah
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Dibba Al-Hisn,dibba-al-hisn
United Arab Emirates,united-arab-emirates,AE,Fujairah,fujairah,Reef Al Fujairah City,reef-al-fujairah-city
United Arab Emirates,united-arab-emirates,AE,Ras al-Khaimah,ras-al-khaimah,Ras Al Khaimah,ras-al-khaimah
United Arab Emirates,united-arab-emirates,AE,Ras al-Khaimah,ras-al-khaimah,Ras Al Khaimah City,ras-al-khaimah-city
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Adh Dhayd,adh-dhayd
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Al Batayih,al-batayih
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Al Hamriyah,al-hamriyah
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Al Madam,al-madam
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Dhaid,dhaid
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Dibba Al Hesn,dibba-al-hesn
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Kalba,kalba
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Khawr Fakkan,khawr-fakkan
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Khor Fakkan,khor-fakkan
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Milehah,milehah
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Murbah,murbah
United Arab Emirates,united-arab-emirates,AE,Sharjah Emirate,sharjah-emirate,Sharjah,sharjah
United Arab Emirates,united-arab-emirates,AE,Umm al-Quwain,umm-al-quwain,Umm AL Quwain,umm-al-quwain
United Arab Emirates,united-arab-emirates,AE,Umm al-Quwain,umm-al-quwain,Umm Al Quwain City,umm-al-quwain-city
