s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Ashkasham,ashkasham
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Fayzabad,fayzabad
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Jurm,jurm
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Khandud,khandud
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Raghistan,raghistan
Afghanistan,afghanistan,AF,Badakhshan,badakhshan,Wakhan,wakhan
Afghanistan,afghanistan,AF,Badghis,badghis,Ghormach,ghormach
Afghanistan,afghanistan,AF,Badghis,badghis,Qala i Naw,qala-i-naw
Afghanistan,afghanistan,AF,Baghlan,baghlan,Baghlan,baghlan
Afghanistan,afghanistan,AF,Baghlan,baghlan,Hukumati Dahanah-ye Ghori,hukumati-dahanah-ye-ghori
Afghanistan,afghanistan,AF,Baghlan,baghlan,Nahrin,nahrin
Afghanistan,afghanistan,AF,Baghlan,baghlan,Pul-e Khumri,pul-e-khumri
Afghanistan,afghanistan,AF,Balkh,balkh,Balkh,balkh
Afghanistan,afghanistan,AF,Balkh,balkh,Dowlatabad,dowlatabad
Afghanistan,afghanistan,AF,Balkh,balkh,Khulm,khulm
Afghanistan,afghanistan,AF,Balkh,balkh,Lab-Sar,lab-sar
Afghanistan,afghanistan,AF,Balkh,balkh,Mazar-e Sharif,mazar-e-sharif
Afghanistan,afghanistan,AF,Balkh,balkh,Qarchi Gak,qarchi-gak
Afghanistan,afghanistan,AF,Bamyan,bamyan,Bamyan,bamyan
Afghanistan,afghanistan,AF,Bamyan,bamyan,Panjab,panjab
Afghanistan,afghanistan,AF,Daykundi,daykundi,Nili,nili
Afghanistan,afghanistan,AF,Farah,farah,Farah,farah
Afghanistan,afghanistan,AF,Faryab,faryab,Andkhoy,andkhoy
Afghanistan,afghanistan,AF,Faryab,faryab,Maymana,maymana
Afghanistan,afghanistan,AF,Ghazni,ghazni,Ghazni,ghazni
Afghanistan,afghanistan,AF,Ghor,ghor,Fayroz Koh,fayroz-koh
Afghanistan,afghanistan,AF,Ghor,ghor,Shahrak,shahrak
Afghanistan,afghanistan,AF,Helmand,helmand,Alaqahdari Dishu,alaqahdari-dishu
Afghanistan,afghanistan,AF,Helmand,helmand,Gereshk,gereshk
Afghanistan,afghanistan,AF,Helmand,helmand,Lashkar Gah,lashkar-gah
Afghanistan,afghanistan,AF,Helmand,helmand,Markaz-e Hukumat-e Darweshan,markaz-e-hukumat-e-darweshan
Afghanistan,afghanistan,AF,Helmand,helmand,Sangin,sangin
Afghanistan,afghanistan,AF,Herat,herat,Chahar Burj,chahar-burj
Afghanistan,afghanistan,AF,Herat,herat,Ghoriyan,ghoriyan
Afghanistan,afghanistan,AF,Herat,herat,Herat,herat
Afghanistan,afghanistan,AF,Herat,herat,Kafir Qala,kafir-qala
Afghanistan,afghanistan,AF,Herat,herat,Karukh,karukh
Afghanistan,afghanistan,AF,Herat,herat,Kuhsan,kuhsan
Afghanistan,afghanistan,AF,Herat,herat,Kushk,kushk
Afghanistan,afghanistan,AF,Herat,herat,Qarah Bagh,qarah-bagh
Afghanistan,afghanistan,AF,Herat,herat,Shindand,shindand
Afghanistan,afghanistan,AF,Herat,herat,Tir Pul,tir-pul
Afghanistan,afghanistan,AF,Herat,herat,Zindah Jan,zindah-jan
Afghanistan,afghanistan,AF,Jowzjan,jowzjan,Aqchah,aqchah
Afghanistan,afghanistan,AF,Jowzjan,jowzjan,Darzab,darzab
Afghanistan,afghanistan,AF,Jowzjan,jowzjan,Qarqin,qarqin
Afghanistan,afghanistan,AF,Jowzjan,jowzjan,Shibirghan,shibirghan
Afghanistan,afghanistan,AF,Kabul,kabul,Kabul,kabul
Afghanistan,afghanistan,AF,Kabul,kabul,Mir Bachah Kot,mir-bachah-kot
Afghanistan,afghanistan,AF,Kabul,kabul,Paghman,paghman
Afghanistan,afghanistan,AF,Kandahar,kandahar,Kandahar,kandahar
Afghanistan,afghanistan,AF,Kapisa,kapisa,Sidqabad,sidqabad
Afghanistan,afghanistan,AF,Khost,khost,Khost,khost
Afghanistan,afghanistan,AF,Kunar,kunar,Asadabad,asadabad
Afghanistan,afghanistan,AF,Kunar,kunar,Asmar,asmar
Afghanistan,afghanistan,AF,Kunduz Province,kunduz-province,Dasht-e Archi,dasht-e-archi
Afghanistan,afghanistan,AF,Kunduz Province,kunduz-province,Imam Sahib,imam-sahib
Afghanistan,afghanistan,AF,Kunduz Province,kunduz-province,Khanabad,khanabad
Afghanistan,afghanistan,AF,Kunduz Province,kunduz-province,Kunduz,kunduz
Afghanistan,afghanistan,AF,Kunduz Province,kunduz-province,Qarawul,qarawul
Afghanistan,afghanistan,AF,Laghman,laghman,Mehtar Lam,mehtar-lam
Afghanistan,afghanistan,AF,Logar,logar,Baraki Barak,baraki-barak
Afghanistan,afghanistan,AF,Logar,logar,Hukumati Azrah,hukumati-azrah
Afghanistan,afghanistan,AF,Logar,logar,Pul-e Alam,pul-e-alam
Afghanistan,afghanistan,AF,Nangarhar,nangarhar,Basawul,basawul
Afghanistan,afghanistan,AF,Nangarhar,nangarhar,Jalalabad,jalalabad
Afghanistan,afghanistan,AF,Nangarhar,nangarhar,Markaz-e Woluswali-ye Achin,markaz-e-woluswali-ye-achin
Afghanistan,afghanistan,AF,Nimruz,nimruz,Khash,khash
Afghanistan,afghanistan,AF,Nimruz,nimruz,Mirabad,mirabad
Afghanistan,afghanistan,AF,Nimruz,nimruz,Rudbar,rudbar
Afghanistan,afghanistan,AF,Nimruz,nimruz,Zaranj,zaranj
Afghanistan,afghanistan,AF,Nuristan,nuristan,Parun,parun
Afghanistan,afghanistan,AF,Paktia,paktia,Gardez,gardez
Afghanistan,afghanistan,AF,Paktika,paktika,Sarobi,sarobi
Afghanistan,afghanistan,AF,Paktika,paktika,Zarah Sharan,zarah-sharan
Afghanistan,afghanistan,AF,Paktika,paktika,Zarghun Shahr,zarghun-shahr
Afghanistan,afghanistan,AF,Panjshir,panjshir,Bazarak,bazarak
Afghanistan,afghanistan,AF,Parwan,parwan,Charikar,charikar
Afghanistan,afghanistan,AF,Parwan,parwan,Jabal os Saraj,jabal-os-saraj
Afghanistan,afghanistan,AF,Samangan,samangan,Aibak,aibak
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Chiras,chiras
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Larkird,larkird
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Qalah-ye Shahr,qalah-ye-shahr
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Sang-e Charak,sang-e-charak
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Sar-e Pul,sar-e-pul
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Tagaw-Bay,tagaw-bay
Afghanistan,afghanistan,AF,Sar-e Pol,sar-e-pol,Tukzar,tukzar
Afghanistan,afghanistan,AF,Takhar,takhar,Art Khwajah,art-khwajah
Afghanistan,afghanistan,AF,Takhar,takhar,Taloqan,taloqan
Afghanistan,afghanistan,AF,Urozgan,urozgan,Tarinkot,tarinkot
Afghanistan,afghanistan,AF,Urozgan,urozgan,Uruzgan,uruzgan
Afghanistan,afghanistan,AF,Zabul,zabul,Qalat,qalat
