s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Angola,angola,AO,Bengo Province,bengo-province,Caxito,caxito
Angola,angola,AO,Benguela Province,benguela-province,Benguela,benguela
Angola,angola,AO,Benguela Province,benguela-province,Catumbela,catumbela
Angola,angola,AO,Benguela Province,benguela-province,Lobito,lobito
Angola,angola,AO,Bie Province,bie-province,Camacupa,camacupa
Angola,angola,AO,Bie Province,bie-province,Catabola,catabola
Angola,angola,AO,Bie Province,bie-province,Chissamba,chissamba
Angola,angola,AO,Bie Province,bie-province,Cuito,cuito
Angola,angola,AO,Cabinda Province,cabinda-province,Cabinda,cabinda
Angola,angola,AO,Cuando Cubango Province,cuando-cubango-province,Menongue,menongue
Angola,angola,AO,Cuanza Norte Province,cuanza-norte-province,Camabatela,camabatela
Angola,angola,AO,Cuanza Norte Province,cuanza-norte-province,Ndalatando,ndalatando
Angola,angola,AO,Cuanza Sul,cuanza-sul,Quibala,quibala
Angola,angola,AO,Cuanza Sul,cuanza-sul,Sumbe,sumbe
Angola,angola,AO,Cuanza Sul,cuanza-sul,Uacu Cungo,uacu-cungo
Angola,angola,AO,Cunene Province,cunene-province,Ondjiva,ondjiva
Angola,angola,AO,Huambo Province,huambo-province,Caala,caala
Angola,angola,AO,Huambo Province,huambo-province,Chela,chela
Angola,angola,AO,Huambo Province,huambo-province,Huambo,huambo
Angola,angola,AO,Huambo Province,huambo-province,Longonjo,longonjo
Angola,angola,AO,Huila Province,huila-province,Caconda,caconda
Angola,angola,AO,Huila Province,huila-province,Caluquembe,caluquembe
Angola,angola,AO,Huila Province,huila-province,Chibia,chibia
Angola,angola,AO,Huila Province,huila-province,Chicomba,chicomba
Angola,angola,AO,Huila Province,huila-province,Chipindo,chipindo
Angola,angola,AO,Huila Province,huila-province,Cuvango,cuvango
Angola,angola,AO,Huila Province,huila-province,Gambos,gambos
Angola,angola,AO,Huila Province,huila-province,Humpata,humpata
Angola,angola,AO,Huila Province,huila-province,Jamba,jamba
Angola,angola,AO,Huila Province,huila-province,Lubango,lubango
Angola,angola,AO,Huila Province,huila-province,Matala,matala
Angola,angola,AO,Huila Province,huila-province,Quilengues,quilengues
Angola,angola,AO,Huila Province,huila-province,Quipungo,quipungo
Angola,angola,AO,Luanda Province,luanda-province,Belas,belas
Angola,angola,AO,Luanda Province,luanda-province,Icolo e Bengo,icolo-e-bengo
Angola,angola,AO,Luanda Province,luanda-province,Luanda,luanda
Angola,angola,AO,Lunda Norte Province,lunda-norte-province,Lucapa,lucapa
Angola,angola,AO,Lunda Sul Province,lunda-sul-province,Cazaji,cazaji
Angola,angola,AO,Lunda Sul Province,lunda-sul-province,Saurimo,saurimo
Angola,angola,AO,Malanje Province,malanje-province,Malanje,malanje
Angola,angola,AO,Moxico Province,moxico-province,Leua,leua
Angola,angola,AO,Moxico Province,moxico-province,Luau,luau
Angola,angola,AO,Moxico Province,moxico-province,Luena,luena
Angola,angola,AO,Moxico Province,moxico-province,Lumeje,lumeje
Angola,angola,AO,Uige Province,uige-province,Uige,uige
Angola,angola,AO,Zaire Province,zaire-province,Mbanza Congo,mbanza-congo
Angola,angola,AO,Zaire Province,zaire-province,N'zeto,nzeto
Angola,angola,AO,Zaire Province,zaire-province,Soio,soio
