s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Bosnian Podrinje Canton,bosnian-podrinje-canton,Bosnian Podrinje Canton,bosnian-podrinje-canton
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Brcko District,brcko-district,Brcko,brcko
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Brcko District,brcko-district,Brka,brka
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Canton 10,canton-10,Canton 10,canton-10
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Central Bosnia Canton,central-bosnia-canton,Central Bosnia Canton,central-bosnia-canton
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Banovici,banovici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Barice,barice
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bihac,bihac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bijela,bijela
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bila,bila
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Blagaj,blagaj
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bosanska Krupa,bosanska-krupa
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bosanski Petrovac,bosanski-petrovac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bosansko Grahovo,bosansko-grahovo
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Breza,breza
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Bugojno,bugojno
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Busovaca,busovaca
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Buzim,buzim
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Capljina,capljina
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Cazin,cazin
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Celic,celic
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Cim,cim
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Citluk,citluk
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Coralici,coralici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Crnici,crnici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Divicani,divicani
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Dobrinje,dobrinje
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Domaljevac,domaljevac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Donja Dubica,donja-dubica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Donja Mahala,donja-mahala
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Donja Meia,donja-meia
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Donji Vakuf,donji-vakuf
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Dreznica,dreznica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Drinovci,drinovci
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Drvar,drvar
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Dubrave Donje,dubrave-donje
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Dubrave Gornje,dubrave-gornje
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Dubravica,dubravica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Fojnica,fojnica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Glamoc,glamoc
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gnojnica,gnojnica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gorazde,gorazde
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gorica,gorica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornja Breza,gornja-breza
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornja Koprivna,gornja-koprivna
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornja Tuzla,gornja-tuzla
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornje Mostre,gornje-mostre
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornje Zivinice,gornje-zivinice
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gornji Vakuf,gornji-vakuf
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gostovici,gostovici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gracanica,gracanica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gradacac,gradacac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Gromiljak,gromiljak
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Grude,grude
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Hadzici,hadzici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Hercegovacko-Neretvanski Kanton,hercegovacko-neretvanski-kanton
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Hotonj,hotonj
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Ilici,ilici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Ilijas,ilijas
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Izacic,izacic
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Jablanica,jablanica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Jajce,jajce
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Jelah,jelah
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Jezerski,jezerski
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kacuni,kacuni
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kakanj,kakanj
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kanton Sarajevo,kanton-sarajevo
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Karadaglije,karadaglije
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kiseljak,kiseljak
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kladanj,kladanj
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kljuc,kljuc
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kobilja Glava,kobilja-glava
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kocerin,kocerin
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Konjic,konjic
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Kovaci,kovaci
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Lijesnica,lijesnica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Livno,livno
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Ljubuski,ljubuski
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Lokvine,lokvine
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Lukavac,lukavac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Lukavica,lukavica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Maglaj,maglaj
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Mahala,mahala
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Mala Kladusa,mala-kladusa
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Malesici,malesici
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Mionica,mionica
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Mostar,mostar
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Mramor,mramor
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Neum,neum
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Novi Seher,novi-seher
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Novi Travnik,novi-travnik
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Odzak,odzak
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Olovo,olovo
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Omanjska,omanjska
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Orahovica Donja,orahovica-donja
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Orasac,orasac
Bosnia and Herzegovina,bosnia-and-herzegovina,BA,Federation of Bosnia and Herzegovina,federation-of-bosnia-and-herzegovina,Orasje,orasje
