s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Burkina Faso,burkina-faso,BF,Bale Province,bale-province,Bale Province,bale-province
Burkina Faso,burkina-faso,BF,Bam Province,bam-province,Bam Province,bam-province
Burkina Faso,burkina-faso,BF,Banwa Province,banwa-province,Banwa Province,banwa-province
Burkina Faso,burkina-faso,BF,Bazega Province,bazega-province,Bazega Province,bazega-province
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Barani,barani
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Boromo,boromo
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Dedougou,dedougou
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Nouna,nouna
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province de la Kossi,province-de-la-kossi
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province des Bale,province-des-bale
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province des Banwa,province-des-banwa
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Mouhoun,province-du-mouhoun
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Nayala,province-du-nayala
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Sourou,province-du-sourou
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Salanso,salanso
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Toma,toma
Burkina Faso,burkina-faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Tougan,tougan
Burkina Faso,burkina-faso,BF,Bougouriba Province,bougouriba-province,Bougouriba Province,bougouriba-province
Burkina Faso,burkina-faso,BF,Boulgou,boulgou,Boulgou,boulgou
