s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Bansko,bansko
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Belitsa,belitsa
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Blagoevgrad,blagoevgrad
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Garmen,garmen
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Gotse Delchev,gotse-delchev
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Hadzhidimovo,hadzhidimovo
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Kolarovo,kolarovo
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Kresna,kresna
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Bansko,obshtina-bansko
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Belitsa,obshtina-belitsa
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Blagoevgrad,obshtina-blagoevgrad
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Garmen,obshtina-garmen
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Gotse Delchev,obshtina-gotse-delchev
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Kresna,obshtina-kresna
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Petrich,obshtina-petrich
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Razlog,obshtina-razlog
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Sandanski,obshtina-sandanski
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Satovcha,obshtina-satovcha
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Simitli,obshtina-simitli
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Strumyani,obshtina-strumyani
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Yakoruda,obshtina-yakoruda
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Petrich,petrich
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Razlog,razlog
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Sandanski,sandanski
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Satovcha,satovcha
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Simitli,simitli
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Stara Kresna,stara-kresna
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Strumyani,strumyani
Bulgaria,bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Yakoruda,yakoruda
Bulgaria,bulgaria,BG,Burgas Province,burgas-province,Aheloy,aheloy
Bulgaria,bulgaria,BG,Burgas Province,burgas-province,Ahtopol,ahtopol
Bulgaria,bulgaria,BG,Burgas Province,burgas-province,Aytos,aytos
Bulgaria,bulgaria,BG,Burgas Province,burgas-province,Bata,bata
