s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Brazil,brazil,BR,Acre,acre,Acrelandia,acrelandia
Brazil,brazil,BR,Acre,acre,Assis Brasil,assis-brasil
Brazil,brazil,BR,Acre,acre,Brasileia,brasileia
Brazil,brazil,BR,Acre,acre,Bujari,bujari
Brazil,brazil,BR,Acre,acre,Capixaba,capixaba
Brazil,brazil,BR,Acre,acre,Cruzeiro do Sul,cruzeiro-do-sul
Brazil,brazil,BR,Acre,acre,Epitaciolandia,epitaciolandia
Brazil,brazil,BR,Acre,acre,Feijo,feijo
Brazil,brazil,BR,Acre,acre,Jordao,jordao
Brazil,brazil,BR,Acre,acre,Mancio Lima,mancio-lima
Brazil,brazil,BR,Acre,acre,Manoel Urbano,manoel-urbano
Brazil,brazil,BR,Acre,acre,Marechal Thaumaturgo,marechal-thaumaturgo
Brazil,brazil,BR,Acre,acre,Placido de Castro,placido-de-castro
Brazil,brazil,BR,Acre,acre,Porto Acre,porto-acre
Brazil,brazil,BR,Acre,acre,Porto Walter,porto-walter
Brazil,brazil,BR,Acre,acre,Rio Branco,rio-branco
Brazil,brazil,BR,Acre,acre,Rodrigues Alves,rodrigues-alves
Brazil,brazil,BR,Acre,acre,Santa Rosa do Purus,santa-rosa-do-purus
Brazil,brazil,BR,Acre,acre,Sena Madureira,sena-madureira
Brazil,brazil,BR,Acre,acre,Senador Guiomard,senador-guiomard
Brazil,brazil,BR,Acre,acre,Tarauaca,tarauaca
Brazil,brazil,BR,Acre,acre,Xapuri,xapuri
Brazil,brazil,BR,Alagoas,alagoas,Agua Branca,agua-branca
Brazil,brazil,BR,Alagoas,alagoas,Anadia,anadia
Brazil,brazil,BR,Alagoas,alagoas,Arapiraca,arapiraca
Brazil,brazil,BR,Alagoas,alagoas,Atalaia,atalaia
Brazil,brazil,BR,Alagoas,alagoas,Barra de Santo Antonio,barra-de-santo-antonio
