s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Botswana,botswana,BW,Central District,central-district,Gobojango,gobojango
Botswana,botswana,BW,Central District,central-district,Gweta,gweta
Botswana,botswana,BW,Central District,central-district,Kalamare,kalamare
Botswana,botswana,BW,Central District,central-district,Letlhakane,letlhakane
Botswana,botswana,BW,Central District,central-district,Letsheng,letsheng
Botswana,botswana,BW,Central District,central-district,Maapi,maapi
Botswana,botswana,BW,Central District,central-district,Machaneng,machaneng
Botswana,botswana,BW,Central District,central-district,Mahalapye,mahalapye
Botswana,botswana,BW,Central District,central-district,Makobeng,makobeng
Botswana,botswana,BW,Central District,central-district,Makwata,makwata
Botswana,botswana,BW,Central District,central-district,Mathakola,mathakola
Botswana,botswana,BW,Central District,central-district,Mathambgwane,mathambgwane
Botswana,botswana,BW,Central District,central-district,Mathathane,mathathane
Botswana,botswana,BW,Central District,central-district,Maunatlala,maunatlala
Botswana,botswana,BW,Central District,central-district,Mogapi,mogapi
Botswana,botswana,BW,Central District,central-district,Moijabana,moijabana
Botswana,botswana,BW,Central District,central-district,Mookane,mookane
Botswana,botswana,BW,Central District,central-district,Mopipi,mopipi
Botswana,botswana,BW,Central District,central-district,Mosetse,mosetse
Botswana,botswana,BW,Central District,central-district,Nata,nata
Botswana,botswana,BW,Central District,central-district,Orapa,orapa
Botswana,botswana,BW,Central District,central-district,Palapye,palapye
Botswana,botswana,BW,Central District,central-district,Pilikwe,pilikwe
Botswana,botswana,BW,Central District,central-district,Rakops,rakops
Botswana,botswana,BW,Central District,central-district,Ramokgonami,ramokgonami
Botswana,botswana,BW,Central District,central-district,Ratholo,ratholo
Botswana,botswana,BW,Central District,central-district,Sefophe,sefophe
Botswana,botswana,BW,Central District,central-district,Serowe,serowe
Botswana,botswana,BW,Central District,central-district,Sua,sua
Botswana,botswana,BW,Central District,central-district,Tamasane,tamasane
Botswana,botswana,BW,Central District,central-district,Tobane,tobane
Botswana,botswana,BW,Central District,central-district,Tonota,tonota
Botswana,botswana,BW,Ghanzi District,ghanzi-district,Dekar,dekar
Botswana,botswana,BW,Ghanzi District,ghanzi-district,Ghanzi,ghanzi
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Hukuntsi,hukuntsi
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Kang,kang
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Lehututu,lehututu
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Manyana,manyana
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Tshabong,tshabong
Botswana,botswana,BW,Kgalagadi District,kgalagadi-district,Werda,werda
Botswana,botswana,BW,Kgatleng District,kgatleng-district,Bokaa,bokaa
Botswana,botswana,BW,Kgatleng District,kgatleng-district,Mmathubudukwane,mmathubudukwane
Botswana,botswana,BW,Kgatleng District,kgatleng-district,Mochudi,mochudi
Botswana,botswana,BW,Kgatleng District,kgatleng-district,Pilane,pilane
Botswana,botswana,BW,Kweneng District,kweneng-district,Botlhapatlou,botlhapatlou
Botswana,botswana,BW,Kweneng District,kweneng-district,Dutlwe,dutlwe
Botswana,botswana,BW,Kweneng District,kweneng-district,Gabane,gabane
Botswana,botswana,BW,Kweneng District,kweneng-district,Gaphatshwe,gaphatshwe
Botswana,botswana,BW,Kweneng District,kweneng-district,Khudumelapye,khudumelapye
Botswana,botswana,BW,Kweneng District,kweneng-district,Lenchwe Le Tau,lenchwe-le-tau
Botswana,botswana,BW,Kweneng District,kweneng-district,Letlhakeng,letlhakeng
Botswana,botswana,BW,Kweneng District,kweneng-district,Metsemotlhaba,metsemotlhaba
Botswana,botswana,BW,Kweneng District,kweneng-district,Mmopone,mmopone
Botswana,botswana,BW,Kweneng District,kweneng-district,Mogoditshane,mogoditshane
Botswana,botswana,BW,Kweneng District,kweneng-district,Molepolole,molepolole
Botswana,botswana,BW,Kweneng District,kweneng-district,Nkoyaphiri,nkoyaphiri
Botswana,botswana,BW,Kweneng District,kweneng-district,Thamaga,thamaga
Botswana,botswana,BW,Ngamiland,ngamiland,Ngamiland,ngamiland
Botswana,botswana,BW,North-East District,north-east-district,Dukwe,dukwe
Botswana,botswana,BW,North-East District,north-east-district,Makaleng,makaleng
Botswana,botswana,BW,North-East District,north-east-district,Masunga,masunga
Botswana,botswana,BW,North-East District,north-east-district,Sebina,sebina
Botswana,botswana,BW,North-West District,north-west-district,Maun,maun
Botswana,botswana,BW,North-West District,north-west-district,Nokaneng,nokaneng
Botswana,botswana,BW,North-West District,north-west-district,Pandamatenga,pandamatenga
Botswana,botswana,BW,North-West District,north-west-district,Sehithwa,sehithwa
Botswana,botswana,BW,North-West District,north-west-district,Shakawe,shakawe
Botswana,botswana,BW,South-East District,south-east-district,Gaborone,gaborone
Botswana,botswana,BW,South-East District,south-east-district,Janeng,janeng
Botswana,botswana,BW,South-East District,south-east-district,Kopong,kopong
Botswana,botswana,BW,South-East District,south-east-district,Otse,otse
Botswana,botswana,BW,South-East District,south-east-district,Ramotswa,ramotswa
Botswana,botswana,BW,Southern District,southern-district,Kanye,kanye
Botswana,botswana,BW,Southern District,southern-district,Khakhea,khakhea
Botswana,botswana,BW,Southern District,southern-district,Mosopa,mosopa
Botswana,botswana,BW,Southern District,southern-district,Sekoma,sekoma
