s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Canada,canada,CA,Alberta,alberta,Airdrie,airdrie
Canada,canada,CA,Alberta,alberta,Athabasca,athabasca
Canada,canada,CA,Alberta,alberta,Banff,banff
Canada,canada,CA,Alberta,alberta,Barrhead,barrhead
Canada,canada,CA,Alberta,alberta,Bassano,bassano
Canada,canada,CA,Alberta,alberta,Beaumont,beaumont
Canada,canada,CA,Alberta,alberta,Beaverlodge,beaverlodge
Canada,canada,CA,Alberta,alberta,Black Diamond,black-diamond
Canada,canada,CA,Alberta,alberta,Blackfalds,blackfalds
Canada,canada,CA,Alberta,alberta,Bon Accord,bon-accord
Canada,canada,CA,Alberta,alberta,Bonnyville,bonnyville
Canada,canada,CA,Alberta,alberta,Bow Island,bow-island
Canada,canada,CA,Alberta,alberta,Brooks,brooks
Canada,canada,CA,Alberta,alberta,Calgary,calgary
Canada,canada,CA,Alberta,alberta,Calmar,calmar
Canada,canada,CA,Alberta,alberta,Camrose,camrose
Canada,canada,CA,Alberta,alberta,Canmore,canmore
Canada,canada,CA,Alberta,alberta,Cardston,cardston
Canada,canada,CA,Alberta,alberta,Carstairs,carstairs
Canada,canada,CA,Alberta,alberta,Chestermere,chestermere
Canada,canada,CA,Alberta,alberta,Claresholm,claresholm
Canada,canada,CA,Alberta,alberta,Coaldale,coaldale
Canada,canada,CA,Alberta,alberta,Coalhurst,coalhurst
Canada,canada,CA,Alberta,alberta,Cochrane,cochrane
Canada,canada,CA,Alberta,alberta,Cold Lake,cold-lake
Canada,canada,CA,Alberta,alberta,Crossfield,crossfield
Canada,canada,CA,Alberta,alberta,Devon,devon
Canada,canada,CA,Alberta,alberta,Didsbury,didsbury
Canada,canada,CA,Alberta,alberta,Drayton Valley,drayton-valley
Canada,canada,CA,Alberta,alberta,Edmonton,edmonton
Canada,canada,CA,Alberta,alberta,Edson,edson
Canada,canada,CA,Alberta,alberta,Elk Point,elk-point
Canada,canada,CA,Alberta,alberta,Fairview,fairview
Canada,canada,CA,Alberta,alberta,Falher,falher
Canada,canada,CA,Alberta,alberta,Fort Macleod,fort-macleod
Canada,canada,CA,Alberta,alberta,Fort McMurray,fort-mcmurray
Canada,canada,CA,Alberta,alberta,Fort Saskatchewan,fort-saskatchewan
Canada,canada,CA,Alberta,alberta,Fox Creek,fox-creek
Canada,canada,CA,Alberta,alberta,Gibbons,gibbons
Canada,canada,CA,Alberta,alberta,Grand Centre,grand-centre
Canada,canada,CA,Alberta,alberta,Grande Cache,grande-cache
Canada,canada,CA,Alberta,alberta,Grande Prairie,grande-prairie
Canada,canada,CA,Alberta,alberta,Grimshaw,grimshaw
Canada,canada,CA,Alberta,alberta,Hanna,hanna
Canada,canada,CA,Alberta,alberta,Heritage Pointe,heritage-pointe
Canada,canada,CA,Alberta,alberta,High Level,high-level
Canada,canada,CA,Alberta,alberta,High Prairie,high-prairie
Canada,canada,CA,Alberta,alberta,High River,high-river
Canada,canada,CA,Alberta,alberta,Hinton,hinton
Canada,canada,CA,Alberta,alberta,Irricana,irricana
Canada,canada,CA,Alberta,alberta,Jasper Park Lodge,jasper-park-lodge
Canada,canada,CA,Alberta,alberta,Killam,killam
Canada,canada,CA,Alberta,alberta,Lac La Biche,lac-la-biche
Canada,canada,CA,Alberta,alberta,Lacombe,lacombe
Canada,canada,CA,Alberta,alberta,Lamont,lamont
Canada,canada,CA,Alberta,alberta,Larkspur,larkspur
Canada,canada,CA,Alberta,alberta,Laurel,laurel
Canada,canada,CA,Alberta,alberta,Leduc,leduc
