s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Congo Republic,congo-republic,CD,Bandundu Province,bandundu-province,Bandundu Province,bandundu-province
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Boma,boma
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Kasangulu,kasangulu
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Matadi,matadi
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Mbanza-Ngungu,mbanza-ngungu
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Moanda,moanda
Congo Republic,congo-republic,CD,Bas-Congo province,bas-congo-province,Tshela,tshela
Congo Republic,congo-republic,CD,Bas-Uele,bas-uele,Aketi,aketi
Congo Republic,congo-republic,CD,Bas-Uele,bas-uele,Bondo,bondo
Congo Republic,congo-republic,CD,Bas-Uele,bas-uele,Buta,buta
Congo Republic,congo-republic,CD,Equateur,equateur,Gemena,gemena
Congo Republic,congo-republic,CD,Equateur,equateur,Lisala,lisala
Congo Republic,congo-republic,CD,Equateur,equateur,Lukolela,lukolela
Congo Republic,congo-republic,CD,Equateur,equateur,Mbandaka,mbandaka
Congo Republic,congo-republic,CD,Haut-Katanga Province,haut-katanga-province,Haut Katanga,haut-katanga
Congo Republic,congo-republic,CD,Haut-Katanga Province,haut-katanga-province,Kambove,kambove
Congo Republic,congo-republic,CD,Haut-Katanga Province,haut-katanga-province,Kipushi,kipushi
Congo Republic,congo-republic,CD,Haut-Katanga Province,haut-katanga-province,Likasi,likasi
Congo Republic,congo-republic,CD,Haut-Katanga Province,haut-katanga-province,Lubumbashi,lubumbashi
Congo Republic,congo-republic,CD,Haut-Lomami District,haut-lomami-district,Bukama,bukama
Congo Republic,congo-republic,CD,Haut-Lomami District,haut-lomami-district,Kamina,kamina
Congo Republic,congo-republic,CD,Haut-Uele,haut-uele,Isiro,isiro
Congo Republic,congo-republic,CD,Haut-Uele,haut-uele,Wamba,wamba
Congo Republic,congo-republic,CD,Haut-Uele,haut-uele,Watsa,watsa
Congo Republic,congo-republic,CD,Ituri Interim Administration,ituri-interim-administration,Bunia,bunia
Congo Republic,congo-republic,CD,Kasai District,kasai-district,Ilebo,ilebo
Congo Republic,congo-republic,CD,Kasai District,kasai-district,Luebo,luebo
Congo Republic,congo-republic,CD,Kasai District,kasai-district,Mweka,mweka
Congo Republic,congo-republic,CD,Kasai District,kasai-district,Tshikapa,tshikapa
Congo Republic,congo-republic,CD,Kasai-Occidental,kasai-occidental,Kasai-Occidental,kasai-occidental
Congo Republic,congo-republic,CD,Kasai-Oriental,kasai-oriental,Gandajika,gandajika
Congo Republic,congo-republic,CD,Kasai-Oriental,kasai-oriental,Kabinda,kabinda
Congo Republic,congo-republic,CD,Kasai-Oriental,kasai-oriental,Mbuji-Mayi,mbuji-mayi
Congo Republic,congo-republic,CD,Katanga Province,katanga-province,Katanga Province,katanga-province
Congo Republic,congo-republic,CD,Kinshasa,kinshasa,Kinshasa,kinshasa
Congo Republic,congo-republic,CD,Kinshasa,kinshasa,Masina,masina
Congo Republic,congo-republic,CD,Kwango District,kwango-district,Kasongo-Lunda,kasongo-lunda
Congo Republic,congo-republic,CD,Kwilu District,kwilu-district,Bandundu,bandundu
Congo Republic,congo-republic,CD,Kwilu District,kwilu-district,Bulungu,bulungu
Congo Republic,congo-republic,CD,Kwilu District,kwilu-district,Kikwit,kikwit
Congo Republic,congo-republic,CD,Kwilu District,kwilu-district,Mangai,mangai
Congo Republic,congo-republic,CD,Lomami Province,lomami-province,Lubao,lubao
Congo Republic,congo-republic,CD,Lomami Province,lomami-province,Mwene-Ditu,mwene-ditu
Congo Republic,congo-republic,CD,Mai-Ndombe Province,mai-ndombe-province,Bolobo,bolobo
Congo Republic,congo-republic,CD,Mai-Ndombe Province,mai-ndombe-province,Inongo,inongo
Congo Republic,congo-republic,CD,Mai-Ndombe Province,mai-ndombe-province,Mushie,mushie
Congo Republic,congo-republic,CD,Mai-Ndombe Province,mai-ndombe-province,Nioki,nioki
Congo Republic,congo-republic,CD,Maniema,maniema,Kampene,kampene
Congo Republic,congo-republic,CD,Maniema,maniema,Kasongo,kasongo
Congo Republic,congo-republic,CD,Maniema,maniema,Kindu,kindu
Congo Republic,congo-republic,CD,Mongala District,mongala-district,Bumba,bumba
Congo Republic,congo-republic,CD,Nord-Ubangi District,nord-ubangi-district,Bosobolo,bosobolo
Congo Republic,congo-republic,CD,Nord-Ubangi District,nord-ubangi-district,Businga,businga
Congo Republic,congo-republic,CD,Nord-Ubangi District,nord-ubangi-district,Gbadolite,gbadolite
Congo Republic,congo-republic,CD,North Kivu,north-kivu,Beni,beni
Congo Republic,congo-republic,CD,North Kivu,north-kivu,Butembo,butembo
Congo Republic,congo-republic,CD,North Kivu,north-kivu,Goma,goma
Congo Republic,congo-republic,CD,North Kivu,north-kivu,Sake,sake
Congo Republic,congo-republic,CD,Orientale Province,orientale-province,Orientale Province,orientale-province
Congo Republic,congo-republic,CD,Sankuru District,sankuru-district,Lodja,lodja
Congo Republic,congo-republic,CD,Sankuru District,sankuru-district,Lusambo,lusambo
Congo Republic,congo-republic,CD,South Kivu,south-kivu,Bukavu,bukavu
Congo Republic,congo-republic,CD,South Kivu,south-kivu,Kabare,kabare
Congo Republic,congo-republic,CD,South Kivu,south-kivu,Uvira,uvira
Congo Republic,congo-republic,CD,Sud-Ubangi,sud-ubangi,Bongandanga,bongandanga
Congo Republic,congo-republic,CD,Sud-Ubangi,sud-ubangi,Libenge,libenge
Congo Republic,congo-republic,CD,Tanganyika Province,tanganyika-province,Kabalo,kabalo
Congo Republic,congo-republic,CD,Tanganyika Province,tanganyika-province,Kalemie,kalemie
Congo Republic,congo-republic,CD,Tanganyika Province,tanganyika-province,Kongolo,kongolo
Congo Republic,congo-republic,CD,Tshopo District,tshopo-district,Basoko,basoko
Congo Republic,congo-republic,CD,Tshopo District,tshopo-district,Kisangani,kisangani
Congo Republic,congo-republic,CD,Tshopo District,tshopo-district,Yangambi,yangambi
Congo Republic,congo-republic,CD,Tshuapa District,tshuapa-district,Boende,boende
