s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Switzerland,switzerland,CH,Aargau,aargau,Aarau,aarau
Switzerland,switzerland,CH,Aargau,aargau,Aarburg,aarburg
Switzerland,switzerland,CH,Aargau,aargau,Aristau,aristau
Switzerland,switzerland,CH,Aargau,aargau,Auw,auw
Switzerland,switzerland,CH,Aargau,aargau,Bad Zurzach,bad-zurzach
Switzerland,switzerland,CH,Aargau,aargau,Baden,baden
Switzerland,switzerland,CH,Aargau,aargau,Berikon,berikon
Switzerland,switzerland,CH,Aargau,aargau,Besenburen,besenburen
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Aarau,bezirk-aarau
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Baden,bezirk-baden
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Bremgarten,bezirk-bremgarten
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Brugg,bezirk-brugg
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Kulm,bezirk-kulm
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Laufenburg,bezirk-laufenburg
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Lenzburg,bezirk-lenzburg
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Muri,bezirk-muri
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Rheinfelden,bezirk-rheinfelden
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Zofingen,bezirk-zofingen
Switzerland,switzerland,CH,Aargau,aargau,Bezirk Zurzach,bezirk-zurzach
Switzerland,switzerland,CH,Aargau,aargau,Birmenstorf,birmenstorf
Switzerland,switzerland,CH,Aargau,aargau,Birr,birr
Switzerland,switzerland,CH,Aargau,aargau,Boniswil,boniswil
Switzerland,switzerland,CH,Aargau,aargau,Bremgarten,bremgarten
Switzerland,switzerland,CH,Aargau,aargau,Brittnau,brittnau
Switzerland,switzerland,CH,Aargau,aargau,Brugg,brugg
Switzerland,switzerland,CH,Aargau,aargau,Buchs,buchs
Switzerland,switzerland,CH,Aargau,aargau,Buttwil,buttwil
Switzerland,switzerland,CH,Aargau,aargau,Densburen,densburen
Switzerland,switzerland,CH,Aargau,aargau,Dottikon,dottikon
Switzerland,switzerland,CH,Aargau,aargau,Durrenasch,durrenasch
Switzerland,switzerland,CH,Aargau,aargau,Egliswil,egliswil
Switzerland,switzerland,CH,Aargau,aargau,Ehrendingen,ehrendingen
Switzerland,switzerland,CH,Aargau,aargau,Eiken,eiken
Switzerland,switzerland,CH,Aargau,aargau,Endingen,endingen
Switzerland,switzerland,CH,Aargau,aargau,Frick,frick
Switzerland,switzerland,CH,Aargau,aargau,Gebenstorf,gebenstorf
Switzerland,switzerland,CH,Aargau,aargau,Gipf-Oberfrick,gipf-oberfrick
Switzerland,switzerland,CH,Aargau,aargau,Gontenschwil,gontenschwil
Switzerland,switzerland,CH,Aargau,aargau,Granichen,granichen
Switzerland,switzerland,CH,Aargau,aargau,Hagglingen,hagglingen
Switzerland,switzerland,CH,Aargau,aargau,Hausen,hausen
Switzerland,switzerland,CH,Aargau,aargau,Jonen,jonen
Switzerland,switzerland,CH,Aargau,aargau,Kaiseraugst,kaiseraugst
