s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ivory Coast,ivory-coast,CI,Abidjan,abidjan,Abidjan,abidjan
Ivory Coast,ivory-coast,CI,Abidjan,abidjan,Abobo,abobo
Ivory Coast,ivory-coast,CI,Abidjan,abidjan,Anyama,anyama
Ivory Coast,ivory-coast,CI,Abidjan,abidjan,Bingerville,bingerville
Ivory Coast,ivory-coast,CI,Agneby,agneby,Agneby,agneby
Ivory Coast,ivory-coast,CI,Bafing Region,bafing-region,Bafing Region,bafing-region
Ivory Coast,ivory-coast,CI,Bas-Sassandra District,bas-sassandra-district,Gbokle,gbokle
Ivory Coast,ivory-coast,CI,Bas-Sassandra District,bas-sassandra-district,Nawa,nawa
Ivory Coast,ivory-coast,CI,Bas-Sassandra District,bas-sassandra-district,San-Pedro,san-pedro
Ivory Coast,ivory-coast,CI,Bas-Sassandra District,bas-sassandra-district,Sassandra,sassandra
Ivory Coast,ivory-coast,CI,Bas-Sassandra District,bas-sassandra-district,Tabou,tabou
Ivory Coast,ivory-coast,CI,Bas-Sassandra Region,bas-sassandra-region,Bas-Sassandra Region,bas-sassandra-region
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Abengourou,abengourou
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Aboisso,aboisso
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Adiake,adiake
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Agnibilekrou,agnibilekrou
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Ayame,ayame
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Bonoua,bonoua
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Grand-Bassam,grand-bassam
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Indenie-Djuablin,indenie-djuablin
Ivory Coast,ivory-coast,CI,Comoe District,comoe-district,Sud-Comoe,sud-comoe
Ivory Coast,ivory-coast,CI,Denguele District,denguele-district,Folon,folon
Ivory Coast,ivory-coast,CI,Denguele District,denguele-district,Kabadougou,kabadougou
Ivory Coast,ivory-coast,CI,Denguele District,denguele-district,Odienne,odienne
Ivory Coast,ivory-coast,CI,Denguele Region,denguele-region,Denguele Region,denguele-region
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Bangolo,bangolo
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Biankouma,biankouma
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Cavally,cavally
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Danane,danane
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Duekoue,duekoue
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Guemon,guemon
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Guiglo,guiglo
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Man,man
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Tonkpi,tonkpi
Ivory Coast,ivory-coast,CI,Dix-Huit Montagnes,dix-huit-montagnes,Toulepleu Guere,toulepleu-guere
Ivory Coast,ivory-coast,CI,Fromager,fromager,Fromager,fromager
Ivory Coast,ivory-coast,CI,Goh-Djiboua District,goh-djiboua-district,Divo,divo
