s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Chile,chile,CL,Antofagasta Region,antofagasta-region,Antofagasta,antofagasta
Chile,chile,CL,Antofagasta Region,antofagasta-region,Calama,calama
Chile,chile,CL,Antofagasta Region,antofagasta-region,Provincia de Antofagasta,provincia-de-antofagasta
Chile,chile,CL,Antofagasta Region,antofagasta-region,Provincia de El Loa,provincia-de-el-loa
Chile,chile,CL,Antofagasta Region,antofagasta-region,Provincia de Tocopilla,provincia-de-tocopilla
Chile,chile,CL,Antofagasta Region,antofagasta-region,San Pedro de Atacama,san-pedro-de-atacama
Chile,chile,CL,Antofagasta Region,antofagasta-region,Taltal,taltal
Chile,chile,CL,Antofagasta Region,antofagasta-region,Tocopilla,tocopilla
Chile,chile,CL,Araucania Region,araucania-region,Angol,angol
Chile,chile,CL,Araucania Region,araucania-region,Carahue,carahue
Chile,chile,CL,Araucania Region,araucania-region,Collipulli,collipulli
Chile,chile,CL,Araucania Region,araucania-region,Freire,freire
Chile,chile,CL,Araucania Region,araucania-region,Lautaro,lautaro
Chile,chile,CL,Araucania Region,araucania-region,Loncoche,loncoche
Chile,chile,CL,Araucania Region,araucania-region,Nueva Imperial,nueva-imperial
Chile,chile,CL,Araucania Region,araucania-region,Pitrufquen,pitrufquen
Chile,chile,CL,Araucania Region,araucania-region,Provincia de Cautin,provincia-de-cautin
Chile,chile,CL,Araucania Region,araucania-region,Provincia de Malleco,provincia-de-malleco
Chile,chile,CL,Araucania Region,araucania-region,Pucon,pucon
Chile,chile,CL,Araucania Region,araucania-region,Temuco,temuco
Chile,chile,CL,Araucania Region,araucania-region,Traiguen,traiguen
Chile,chile,CL,Araucania Region,araucania-region,Victoria,victoria
Chile,chile,CL,Araucania Region,araucania-region,Vilcun,vilcun
Chile,chile,CL,Araucania Region,araucania-region,Villarrica,villarrica
Chile,chile,CL,Arica y Parinacota Region,arica-y-parinacota-region,Arica,arica
Chile,chile,CL,Arica y Parinacota Region,arica-y-parinacota-region,Provincia de Arica,provincia-de-arica
Chile,chile,CL,Arica y Parinacota Region,arica-y-parinacota-region,Provincia de Parinacota,provincia-de-parinacota
Chile,chile,CL,Atacama Region,atacama-region,Copiapo,copiapo
Chile,chile,CL,Atacama Region,atacama-region,Diego de Almagro,diego-de-almagro
Chile,chile,CL,Atacama Region,atacama-region,Provincia de Chanaral,provincia-de-chanaral
Chile,chile,CL,Atacama Region,atacama-region,Provincia de Copiapo,provincia-de-copiapo
Chile,chile,CL,Atacama Region,atacama-region,Provincia de Huasco,provincia-de-huasco
Chile,chile,CL,Atacama Region,atacama-region,Vallenar,vallenar
Chile,chile,CL,Aysen Region,aysen-region,Chile Chico,chile-chico
Chile,chile,CL,Aysen Region,aysen-region,Cochrane,cochrane
Chile,chile,CL,Aysen Region,aysen-region,Coyhaique,coyhaique
Chile,chile,CL,Aysen Region,aysen-region,La Junta,la-junta
Chile,chile,CL,Aysen Region,aysen-region,Provincia Capitan Prat,provincia-capitan-prat
Chile,chile,CL,Aysen Region,aysen-region,Provincia de Aisen,provincia-de-aisen
Chile,chile,CL,Aysen Region,aysen-region,Provincia de Coyhaique,provincia-de-coyhaique
Chile,chile,CL,Aysen Region,aysen-region,Provincia General Carrera,provincia-general-carrera
Chile,chile,CL,Aysen Region,aysen-region,Puerto Aysen,puerto-aysen
Chile,chile,CL,Aysen Region,aysen-region,Puerto Chacabuco,puerto-chacabuco
Chile,chile,CL,Aysen Region,aysen-region,Puerto Cisnes,puerto-cisnes
Chile,chile,CL,Bio Bio Region,bio-bio-region,Arauco,arauco
Chile,chile,CL,Bio Bio Region,bio-bio-region,Cabrero,cabrero
Chile,chile,CL,Bio Bio Region,bio-bio-region,Canete,canete
Chile,chile,CL,Bio Bio Region,bio-bio-region,Chiguayante,chiguayante
Chile,chile,CL,Bio Bio Region,bio-bio-region,Concepcion,concepcion
Chile,chile,CL,Bio Bio Region,bio-bio-region,Coronel,coronel
Chile,chile,CL,Bio Bio Region,bio-bio-region,Curanilahue,curanilahue
Chile,chile,CL,Bio Bio Region,bio-bio-region,Laja,laja
Chile,chile,CL,Bio Bio Region,bio-bio-region,Lebu,lebu
Chile,chile,CL,Bio Bio Region,bio-bio-region,Los Angeles,los-angeles
Chile,chile,CL,Bio Bio Region,bio-bio-region,Lota,lota
Chile,chile,CL,Bio Bio Region,bio-bio-region,Mulchen,mulchen
Chile,chile,CL,Bio Bio Region,bio-bio-region,Nacimiento,nacimiento
Chile,chile,CL,Bio Bio Region,bio-bio-region,Penco,penco
Chile,chile,CL,Bio Bio Region,bio-bio-region,Provincia de Arauco,provincia-de-arauco
Chile,chile,CL,Bio Bio Region,bio-bio-region,Provincia de Biobio,provincia-de-biobio
Chile,chile,CL,Bio Bio Region,bio-bio-region,Provincia de Concepcion,provincia-de-concepcion
Chile,chile,CL,Bio Bio Region,bio-bio-region,Talcahuano,talcahuano
Chile,chile,CL,Bio Bio Region,bio-bio-region,Tome,tome
Chile,chile,CL,Bio Bio Region,bio-bio-region,Yumbel,yumbel
Chile,chile,CL,Coquimbo Region,coquimbo-region,Coquimbo,coquimbo
Chile,chile,CL,Coquimbo Region,coquimbo-region,Illapel,illapel
Chile,chile,CL,Coquimbo Region,coquimbo-region,La Serena,la-serena
Chile,chile,CL,Coquimbo Region,coquimbo-region,Monte Patria,monte-patria
Chile,chile,CL,Coquimbo Region,coquimbo-region,Ovalle,ovalle
Chile,chile,CL,Coquimbo Region,coquimbo-region,Provincia de Choapa,provincia-de-choapa
Chile,chile,CL,Coquimbo Region,coquimbo-region,Provincia de Elqui,provincia-de-elqui
Chile,chile,CL,Coquimbo Region,coquimbo-region,Provincia de Limari,provincia-de-limari
Chile,chile,CL,Coquimbo Region,coquimbo-region,Salamanca,salamanca
Chile,chile,CL,Coquimbo Region,coquimbo-region,Vicuna,vicuna
Chile,chile,CL,Los Lagos Region,los-lagos-region,Ancud,ancud
Chile,chile,CL,Los Lagos Region,los-lagos-region,Calbuco,calbuco
Chile,chile,CL,Los Lagos Region,los-lagos-region,Castro,castro
Chile,chile,CL,Los Lagos Region,los-lagos-region,Chaiten,chaiten
Chile,chile,CL,Los Lagos Region,los-lagos-region,Chonchi,chonchi
Chile,chile,CL,Los Lagos Region,los-lagos-region,Dalcahue,dalcahue
Chile,chile,CL,Los Lagos Region,los-lagos-region,Futaleufu,futaleufu
Chile,chile,CL,Los Lagos Region,los-lagos-region,La Ensenada,la-ensenada
Chile,chile,CL,Los Lagos Region,los-lagos-region,Osorno,osorno
Chile,chile,CL,Los Lagos Region,los-lagos-region,Palena,palena
Chile,chile,CL,Los Lagos Region,los-lagos-region,Provincia de Chiloe,provincia-de-chiloe
