s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Alajuela,alajuela
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Atenas,atenas
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Bijagua,bijagua
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Carrillos,carrillos
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Desamparados,desamparados
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Esquipulas,esquipulas
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Grecia,grecia
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Guatuso,guatuso
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,La Fortuna,la-fortuna
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Los Chiles,los-chiles
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Naranjo,naranjo
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Orotina,orotina
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Palmares,palmares
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Pital,pital
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Poas,poas
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Pocosol,pocosol
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Quesada,quesada
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Rio Segundo,rio-segundo
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Sabanilla,sabanilla
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Carlos,san-carlos
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Jose,san-jose
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Juan,san-juan
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Mateo,san-mateo
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Rafael,san-rafael
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,San Ramon,san-ramon
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Santiago,santiago
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Upala,upala
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Valverde Vega,valverde-vega
Costa Rica,costa-rica,CR,Alajuela Province,alajuela-province,Zarcero,zarcero
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Abangares,abangares
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Bagaces,bagaces
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Belen,belen
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Canas,canas
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Carrillo,carrillo
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Fortuna,fortuna
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Hojancha,hojancha
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Juntas,juntas
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,La Cruz,la-cruz
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Liberia,liberia
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Nandayure,nandayure
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Nicoya,nicoya
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Samara,samara
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Santa Cruz,santa-cruz
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Sardinal,sardinal
Costa Rica,costa-rica,CR,Guanacaste Province,guanacaste-province,Tilaran,tilaran
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Angeles,angeles
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Barva,barva
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Belen,belen
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Flores,flores
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Heredia,heredia
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,La Asuncion,la-asuncion
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Llorente,llorente
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Mercedes,mercedes
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Antonio,san-antonio
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Francisco,san-francisco
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Isidro,san-isidro
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Josecito,san-josecito
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Pablo,san-pablo
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,San Rafael,san-rafael
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Santa Barbara,santa-barbara
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Santo Domingo,santo-domingo
Costa Rica,costa-rica,CR,Heredia Province,heredia-province,Sarapiqui,sarapiqui
Costa Rica,costa-rica,CR,Limon Province,limon-province,Batan,batan
Costa Rica,costa-rica,CR,Limon Province,limon-province,Guacimo,guacimo
Costa Rica,costa-rica,CR,Limon Province,limon-province,Guapiles,guapiles
Costa Rica,costa-rica,CR,Limon Province,limon-province,Limon,limon
Costa Rica,costa-rica,CR,Limon Province,limon-province,Matina,matina
Costa Rica,costa-rica,CR,Limon Province,limon-province,Pococi,pococi
Costa Rica,costa-rica,CR,Limon Province,limon-province,Pocora,pocora
Costa Rica,costa-rica,CR,Limon Province,limon-province,Roxana,roxana
Costa Rica,costa-rica,CR,Limon Province,limon-province,Siquirres,siquirres
Costa Rica,costa-rica,CR,Limon Province,limon-province,Sixaola,sixaola
Costa Rica,costa-rica,CR,Limon Province,limon-province,Talamanca,talamanca
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Alvarado,alvarado
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Cartago,cartago
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Concepcion,concepcion
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Cot,cot
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,El Guarco,el-guarco
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Jimenez,jimenez
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,La Suiza,la-suiza
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,La Union,la-union
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Oreamuno,oreamuno
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Orosi,orosi
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Pacayas,pacayas
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Paraiso,paraiso
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Pejibaye,pejibaye
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,San Diego,san-diego
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Tobosi,tobosi
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Tres Rios,tres-rios
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Tucurrique,tucurrique
Costa Rica,costa-rica,CR,Provincia de Cartago,provincia-de-cartago,Turrialba,turrialba
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Buenos Aires,buenos-aires
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Canoas,canoas
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Chacarita,chacarita
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Ciudad Cortes,ciudad-cortes
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Corredor,corredor
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Corredores,corredores
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Coto Brus,coto-brus
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Esparza,esparza
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Garabito,garabito
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Golfito,golfito
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Jaco,jaco
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Miramar,miramar
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Montes de Oro,montes-de-oro
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Osa,osa
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Paquera,paquera
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Parrita,parrita
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Puntarenas,puntarenas
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,Quepos,quepos
Costa Rica,costa-rica,CR,Puntarenas Province,puntarenas-province,San Vito,san-vito
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Acosta,acosta
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Alajuelita,alajuelita
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Aserri,aserri
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Calle Blancos,calle-blancos
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Colima,colima
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Colon,colon
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Curridabat,curridabat
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Daniel Flores,daniel-flores
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Desamparados,desamparados
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Dota,dota
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Escazu,escazu
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Goicoechea,goicoechea
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Granadilla,granadilla
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Guadalupe,guadalupe
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Ipis,ipis
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Leon Cortes,leon-cortes
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Mercedes,mercedes
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Montes de Oca,montes-de-oca
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Mora,mora
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Moravia,moravia
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Palmichal,palmichal
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Patarra,patarra
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Perez Zeledon,perez-zeledon
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Puriscal,puriscal
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Purral,purral
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Sabanilla,sabanilla
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Salitral,salitral
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Salitrillos,salitrillos
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Felipe,san-felipe
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Ignacio,san-ignacio
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Isidro,san-isidro
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Jose,san-jose
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Juan,san-juan
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Juan de Dios,san-juan-de-dios
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Marcos,san-marcos
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Miguel,san-miguel
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Pedro,san-pedro
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Rafael,san-rafael
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Rafael Abajo,san-rafael-abajo
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Rafael Arriba,san-rafael-arriba
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Vicente,san-vicente
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,San Vicente de Moravia,san-vicente-de-moravia
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Santa Ana,santa-ana
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Santiago,santiago
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Tarrazu,tarrazu
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Tejar,tejar
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Tibas,tibas
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Turrubares,turrubares
Costa Rica,costa-rica,CR,San Jose Province,san-jose-province,Vazquez de Coronado,vazquez-de-coronado
