s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Cuba,cuba,CU,Artemisa Province,artemisa-province,Alquizar,alquizar
Cuba,cuba,CU,Artemisa Province,artemisa-province,Artemisa,artemisa
Cuba,cuba,CU,Artemisa Province,artemisa-province,Bahia Honda,bahia-honda
Cuba,cuba,CU,Artemisa Province,artemisa-province,Bauta,bauta
Cuba,cuba,CU,Artemisa Province,artemisa-province,Cabanas,cabanas
Cuba,cuba,CU,Artemisa Province,artemisa-province,Candelaria,candelaria
Cuba,cuba,CU,Artemisa Province,artemisa-province,Guanajay,guanajay
Cuba,cuba,CU,Artemisa Province,artemisa-province,Guira de Melena,guira-de-melena
Cuba,cuba,CU,Artemisa Province,artemisa-province,Mariel,mariel
Cuba,cuba,CU,Artemisa Province,artemisa-province,Municipio de Artemisa,municipio-de-artemisa
Cuba,cuba,CU,Artemisa Province,artemisa-province,Municipio de Bauta,municipio-de-bauta
Cuba,cuba,CU,Artemisa Province,artemisa-province,Municipio de Guanajay,municipio-de-guanajay
Cuba,cuba,CU,Artemisa Province,artemisa-province,Municipio de Mariel,municipio-de-mariel
Cuba,cuba,CU,Artemisa Province,artemisa-province,Municipio de San Cristobal,municipio-de-san-cristobal
Cuba,cuba,CU,Artemisa Province,artemisa-province,San Antonio de los Banos,san-antonio-de-los-banos
Cuba,cuba,CU,Artemisa Province,artemisa-province,San Cristobal,san-cristobal
Cuba,cuba,CU,Artemisa Province,artemisa-province,Soroa,soroa
Cuba,cuba,CU,Camaguey Province,camaguey-province,Camaguey,camaguey
Cuba,cuba,CU,Camaguey Province,camaguey-province,El Caney,el-caney
Cuba,cuba,CU,Camaguey Province,camaguey-province,Esmeralda,esmeralda
Cuba,cuba,CU,Camaguey Province,camaguey-province,Florida,florida
Cuba,cuba,CU,Camaguey Province,camaguey-province,Guaimaro,guaimaro
Cuba,cuba,CU,Camaguey Province,camaguey-province,Jimaguayu,jimaguayu
Cuba,cuba,CU,Camaguey Province,camaguey-province,Minas,minas
Cuba,cuba,CU,Camaguey Province,camaguey-province,Municipio de Florida,municipio-de-florida
Cuba,cuba,CU,Camaguey Province,camaguey-province,Municipio de Nuevitas,municipio-de-nuevitas
Cuba,cuba,CU,Camaguey Province,camaguey-province,Nuevitas,nuevitas
Cuba,cuba,CU,Camaguey Province,camaguey-province,Santa Cruz del Sur,santa-cruz-del-sur
Cuba,cuba,CU,Camaguey Province,camaguey-province,Sibanicu,sibanicu
Cuba,cuba,CU,Camaguey Province,camaguey-province,Vertientes,vertientes
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Baragua,baragua
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Chambas,chambas
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Ciego de Avila,ciego-de-avila
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Ciro Redondo,ciro-redondo
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Florencia,florencia
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Moron,moron
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Municipio de Ciego de Avila,municipio-de-ciego-de-avila
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Municipio de Moron,municipio-de-moron
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Primero de Enero,primero-de-enero
Cuba,cuba,CU,Ciego de Avila Province,ciego-de-avila-province,Venezuela,venezuela
Cuba,cuba,CU,Cienfuegos Province,cienfuegos-province,Abreus,abreus
Cuba,cuba,CU,Cienfuegos Province,cienfuegos-province,Aguada de Pasajeros,aguada-de-pasajeros
Cuba,cuba,CU,Cienfuegos Province,cienfuegos-province,Cienfuegos,cienfuegos
Cuba,cuba,CU,Cienfuegos Province,cienfuegos-province,Cruces,cruces
