s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Acheritou,acheritou
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Achna,achna
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Ammochostos Municipality,ammochostos-municipality
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Avgorou,avgorou
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Ayia Napa,ayia-napa
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Deryneia,deryneia
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Famagusta,famagusta
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Frenaros,frenaros
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Lefkonoiko,lefkonoiko
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Leonarisso,leonarisso
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Liopetri,liopetri
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Paralimni,paralimni
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Protaras,protaras
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Rizokarpaso,rizokarpaso
Cyprus,cyprus,CY,Famagusta District,famagusta-district,Trikomo,trikomo
Cyprus,cyprus,CY,Kyrenia District,kyrenia-district,Kyrenia,kyrenia
Cyprus,cyprus,CY,Kyrenia District,kyrenia-district,Kyrenia Municipality,kyrenia-municipality
Cyprus,cyprus,CY,Kyrenia District,kyrenia-district,Lapithos,lapithos
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Agios Tychon,agios-tychon
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Aradippou,aradippou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Athienou,athienou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Dhromolaxia,dhromolaxia
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Kiti,kiti
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Kofinou,kofinou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Kolossi,kolossi
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Kornos,kornos
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Larnaca,larnaca
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Livadia,livadia
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Meneou,meneou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Mosfiloti,mosfiloti
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Pergamos,pergamos
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Perivolia,perivolia
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Psevdas,psevdas
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Pyla,pyla
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Tersefanou,tersefanou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Troulloi,troulloi
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Voroklini,voroklini
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Xylofagou,xylofagou
Cyprus,cyprus,CY,Larnaca District,larnaca-district,Xylotymbou,xylotymbou
Cyprus,cyprus,CY,Limassol District,limassol-district,Agios Tomas,agios-tomas
Cyprus,cyprus,CY,Limassol District,limassol-district,Erimi,erimi
Cyprus,cyprus,CY,Limassol District,limassol-district,Germasogeia,germasogeia
Cyprus,cyprus,CY,Limassol District,limassol-district,Kyperounta,kyperounta
Cyprus,cyprus,CY,Limassol District,limassol-district,Lemesos,lemesos
Cyprus,cyprus,CY,Limassol District,limassol-district,Limassol,limassol
Cyprus,cyprus,CY,Limassol District,limassol-district,Mouttagiaka,mouttagiaka
Cyprus,cyprus,CY,Limassol District,limassol-district,Pachna,pachna
Cyprus,cyprus,CY,Limassol District,limassol-district,Pano Polemidia,pano-polemidia
Cyprus,cyprus,CY,Limassol District,limassol-district,Parekklisha,parekklisha
Cyprus,cyprus,CY,Limassol District,limassol-district,Pelendri,pelendri
Cyprus,cyprus,CY,Limassol District,limassol-district,Pissouri,pissouri
Cyprus,cyprus,CY,Limassol District,limassol-district,Pyrgos,pyrgos
Cyprus,cyprus,CY,Limassol District,limassol-district,Sotira,sotira
Cyprus,cyprus,CY,Limassol District,limassol-district,Souni-Zanakia,souni-zanakia
Cyprus,cyprus,CY,Limassol District,limassol-district,Ypsonas,ypsonas
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Akaki,akaki
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Alampra,alampra
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Arediou,arediou
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Astromeritis,astromeritis
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Dali,dali
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Ergates,ergates
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Geri,geri
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Kakopetria,kakopetria
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Kato Deftera,kato-deftera
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Kato Pyrgos,kato-pyrgos
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Klirou,klirou
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Kokkinotrimithia,kokkinotrimithia
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Lefka,lefka
Cyprus,cyprus,CY,Nicosia District,nicosia-district,Lympia,lympia
