s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Czech Republic,czech-republic,CZ,Benesov District,benesov-district,Benesov District,benesov-district
Czech Republic,czech-republic,CZ,Beroun District,beroun-district,Beroun District,beroun-district
Czech Republic,czech-republic,CZ,Blansko District,blansko-district,Blansko District,blansko-district
Czech Republic,czech-republic,CZ,Breclav District,breclav-district,Breclav District,breclav-district
Czech Republic,czech-republic,CZ,Brno-City District,brno-city-district,Brno-City District,brno-city-district
Czech Republic,czech-republic,CZ,Brno-Country District,brno-country-district,Brno-Country District,brno-country-district
Czech Republic,czech-republic,CZ,Bruntal District,bruntal-district,Bruntal District,bruntal-district
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bakov nad Jizerou,bakov-nad-jizerou
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bela pod Bezdezem,bela-pod-bezdezem
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Benatky nad Jizerou,benatky-nad-jizerou
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Benesov,benesov
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Beroun,beroun
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bohutin,bohutin
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Brandys nad Labem-Stara Boleslav,brandys-nad-labem-stara-boleslav
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Brandysek,brandysek
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Breznice,breznice
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bustehrad,bustehrad
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bysice,bysice
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Bystrice,bystrice
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Caslav,caslav
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Cechtice,cechtice
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Celakovice,celakovice
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Cercany,cercany
Czech Republic,czech-republic,CZ,Central Bohemian Region,central-bohemian-region,Cerhenice,cerhenice
