s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aach,aach
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aalen,aalen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Abstatt,abstatt
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Abtsgmund,abtsgmund
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Achern,achern
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Achstetten,achstetten
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Adelberg,adelberg
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Adelmannsfelden,adelmannsfelden
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Adelsheim,adelsheim
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Affalterbach,affalterbach
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aglasterhausen,aglasterhausen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aichelberg,aichelberg
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aichhalden,aichhalden
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aichstetten,aichstetten
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aidlingen,aidlingen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aitrach,aitrach
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Albbruck,albbruck
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Albershausen,albershausen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Albstadt,albstadt
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Aldingen,aldingen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Alfdorf,alfdorf
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Allensbach,allensbach
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Allmendingen,allmendingen
Germany,germany,DE,Baden-Wurttemberg,baden-wurttemberg,Allmersbach im Tal,allmersbach-im-tal
