s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Djibouti,djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,'Ali Sabieh,ali-sabieh
Djibouti,djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,Goubetto,goubetto
Djibouti,djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,Holhol,holhol
Djibouti,djibouti,DJ,Arta Region,arta-region,Arta,arta
Djibouti,djibouti,DJ,Dikhil Region,dikhil-region,Dikhil,dikhil
Djibouti,djibouti,DJ,Dikhil Region,dikhil-region,Galafi,galafi
Djibouti,djibouti,DJ,Djibouti,djibouti,Djibouti,djibouti
Djibouti,djibouti,DJ,Djibouti,djibouti,Loyada,loyada
Djibouti,djibouti,DJ,Obock Region,obock-region,Alaili Dadda,alaili-dadda
Djibouti,djibouti,DJ,Obock Region,obock-region,Obock,obock
Djibouti,djibouti,DJ,Tadjourah Region,tadjourah-region,Dorra,dorra
Djibouti,djibouti,DJ,Tadjourah Region,tadjourah-region,Tadjourah,tadjourah
