s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Akirkeby,akirkeby
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Albertslund,albertslund
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Albertslund Kommune,albertslund-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Allerd Kommune,allerd-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ballerup,ballerup
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ballerup Kommune,ballerup-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Birkerd,birkerd
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Blovstrd,blovstrd
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Bornholm Kommune,bornholm-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Brndby Kommune,brndby-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Charlottenlund,charlottenlund
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Christianshavn,christianshavn
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Christians,christians
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Copenhagen,copenhagen
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Dragr,dragr
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Dragr Kommune,dragr-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Egedal Kommune,egedal-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Espergrde,espergrde
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Farum,farum
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Flng,flng
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fredensborg,fredensborg
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fredensborg Kommune,fredensborg-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksberg,frederiksberg
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksberg Kommune,frederiksberg-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederikssund,frederikssund
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederikssund Kommune,frederikssund-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksvrk,frederiksvrk
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fures Kommune,fures-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ganlse,ganlse
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gentofte Kommune,gentofte-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gilleleje,gilleleje
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gladsaxe Municipality,gladsaxe-municipality
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Glostrup,glostrup
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Glostrup Kommune,glostrup-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Grsted,grsted
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gribskov Kommune,gribskov-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Halsns Kommune,halsns-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hellebk,hellebk
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsinge,helsinge
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsingr,helsingr
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsingr Kommune,helsingr-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Herlev Kommune,herlev-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hillerd,hillerd
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hillerd Kommune,hillerd-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hornbk,hornbk
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hje-Taastrup Kommune,hje-taastrup-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hrsholm,hrsholm
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hrsholm Kommune,hrsholm-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Humlebk,humlebk
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hundested,hundested
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hvidovre,hvidovre
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hvidovre Kommune,hvidovre-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ishj,ishj
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ishj Kommune,ishj-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Jgerspris,jgerspris
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kokkedal,kokkedal
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kongens Lyngby,kongens-lyngby
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kbenhavn,kbenhavn
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lillerd,lillerd
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Liseleje,liseleje
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lyngby-Tarbk Kommune,lyngby-tarbk-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lynge,lynge
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Malv,malv
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Nex,nex
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Niva,niva
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ndebo,ndebo
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,lstykke,lstykke
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rdovre,rdovre
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rdovre Kommune,rdovre-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rnne,rnne
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rudersdal Kommune,rudersdal-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Skvinge,skvinge
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Skibby,skibby
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Slangerup,slangerup
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Smrumnedre,smrumnedre
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Stavnsholt,stavnsholt
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Stenlse,stenlse
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Taastrup,taastrup
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Tarnby,tarnby
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Tarnby Kommune,tarnby-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Trrd,trrd
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vallensbk,vallensbk
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vallensbk Kommune,vallensbk-kommune
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vanlse,vanlse
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vrlse,vrlse
Denmark,denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Veks,veks
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Allingabro,allingabro
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Arhus,arhus
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Arhus Kommune,arhus-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Assentoft,assentoft
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Auning,auning
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Avlum,avlum
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Beder,beder
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Bjerringbro,bjerringbro
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Bording Kirkeby,bording-kirkeby
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Brande,brande
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Brdstrup,brdstrup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ebeltoft,ebeltoft
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Favrskov Kommune,favrskov-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Framlev,framlev
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Galten,galten
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Gjellerup,gjellerup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Grenaa,grenaa
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hadsten,hadsten
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hammel,hammel
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hammerum,hammerum
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Harbore,harbore
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hedensted,hedensted
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hedensted Kommune,hedensted-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Herning,herning
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Herning Kommune,herning-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hinnerup,hinnerup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hjortshj,hjortshj
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Holstebro,holstebro
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Holstebro Kommune,holstebro-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hornslet,hornslet
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hornsyld,hornsyld
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Horsens,horsens
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Horsens Kommune,horsens-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hrning,hrning
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Hvide Sande,hvide-sande
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ikast,ikast
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ikast-Brande Kommune,ikast-brande-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Juelsminde,juelsminde
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Karup,karup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Kibk,kibk
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Kjellerup,kjellerup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Kolt,kolt
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Langa,langa
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Lemvig,lemvig
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Lemvig Kommune,lemvig-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Lind,lind
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Lgten,lgten
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Lystrup,lystrup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Malling,malling
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Marslet,marslet
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Norddjurs Kommune,norddjurs-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Odder,odder
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Odder Kommune,odder-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Randers,randers
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Randers Kommune,randers-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ringkbing,ringkbing
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ringkbing-Skjern Kommune,ringkbing-skjern-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Rnde,rnde
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ry,ry
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ryomgard,ryomgard
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Sabro,sabro
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Sams Kommune,sams-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Silkeborg,silkeborg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Silkeborg Kommune,silkeborg-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skanderborg,skanderborg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skanderborg Kommune,skanderborg-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skive,skive
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skive Kommune,skive-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skjern,skjern
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Skovby,skovby
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Snejbjerg,snejbjerg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Solbjerg,solbjerg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Sften,sften
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Spentrup,spentrup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Stavtrup,stavtrup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Stilling,stilling
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Stoholm,stoholm
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Struer,struer
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Struer Kommune,struer-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Sunds,sunds
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Svejbk,svejbk
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Syddjurs Kommune,syddjurs-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Tarm,tarm
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Thyborn,thyborn
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Trring,trring
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Tranbjerg,tranbjerg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Trige,trige
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ulfborg,ulfborg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Ulstrup,ulstrup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Viborg,viborg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Viborg Kommune,viborg-kommune
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Videbk,videbk
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Vildbjerg,vildbjerg
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Vinderup,vinderup
Denmark,denmark,DK,Central Denmark Region,central-denmark-region,Virklund,virklund
Denmark,denmark,DK,North Denmark Region,north-denmark-region,Aalborg,aalborg
Denmark,denmark,DK,North Denmark Region,north-denmark-region,Aars,aars
Denmark,denmark,DK,North Denmark Region,north-denmark-region,Abybro,abybro
