s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Algeria,algeria,DZ,Adrar Province,adrar-province,Adrar,adrar
Algeria,algeria,DZ,Adrar Province,adrar-province,Aoulef,aoulef
Algeria,algeria,DZ,Adrar Province,adrar-province,Reggane,reggane
Algeria,algeria,DZ,Adrar Province,adrar-province,Timimoun,timimoun
Algeria,algeria,DZ,Ain Defla Province,ain-defla-province,Ain Defla,ain-defla
Algeria,algeria,DZ,Ain Defla Province,ain-defla-province,El Abadia,el-abadia
Algeria,algeria,DZ,Ain Defla Province,ain-defla-province,El Attaf,el-attaf
Algeria,algeria,DZ,Ain Defla Province,ain-defla-province,Khemis Miliana,khemis-miliana
Algeria,algeria,DZ,Ain Defla Province,ain-defla-province,Theniet el Had,theniet-el-had
Algeria,algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Ain Temouchent,ain-temouchent
Algeria,algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Beni Saf,beni-saf
Algeria,algeria,DZ,Ain Temouchent Province,ain-temouchent-province,El Amria,el-amria
Algeria,algeria,DZ,Ain Temouchent Province,ain-temouchent-province,El Malah,el-malah
Algeria,algeria,DZ,Ain Temouchent Province,ain-temouchent-province,Hammam Bou Hadjar,hammam-bou-hadjar
Algeria,algeria,DZ,Algiers Province,algiers-province,Ain Taya,ain-taya
Algeria,algeria,DZ,Algiers Province,algiers-province,Algiers,algiers
Algeria,algeria,DZ,Algiers Province,algiers-province,Bab Ezzouar,bab-ezzouar
Algeria,algeria,DZ,Algiers Province,algiers-province,Birkhadem,birkhadem
Algeria,algeria,DZ,Algiers Province,algiers-province,Bordj el Kiffan,bordj-el-kiffan
Algeria,algeria,DZ,Algiers Province,algiers-province,Dar el Beida,dar-el-beida
Algeria,algeria,DZ,Algiers Province,algiers-province,Rouiba,rouiba
Algeria,algeria,DZ,Annaba Province,annaba-province,Annaba,annaba
Algeria,algeria,DZ,Annaba Province,annaba-province,Berrahal,berrahal
Algeria,algeria,DZ,Annaba Province,annaba-province,Drean,drean
Algeria,algeria,DZ,Annaba Province,annaba-province,El Hadjar,el-hadjar
Algeria,algeria,DZ,Batna Province,batna-province,Ain Touta,ain-touta
Algeria,algeria,DZ,Batna Province,batna-province,Arris,arris
Algeria,algeria,DZ,Batna Province,batna-province,Barika,barika
Algeria,algeria,DZ,Batna Province,batna-province,Batna,batna
Algeria,algeria,DZ,Batna Province,batna-province,Boumagueur,boumagueur
Algeria,algeria,DZ,Batna Province,batna-province,Merouana,merouana
Algeria,algeria,DZ,Batna Province,batna-province,Ras el Aioun,ras-el-aioun
Algeria,algeria,DZ,Batna Province,batna-province,Tazoult-Lambese,tazoult-lambese
Algeria,algeria,DZ,Bechar Province,bechar-province,Bechar,bechar
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Akbou,akbou
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Amizour,amizour
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Barbacha,barbacha
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Bejaia,bejaia
Algeria,algeria,DZ,Bejaia Province,bejaia-province,el hed,el-hed
Algeria,algeria,DZ,Bejaia Province,bejaia-province,El Kseur,el-kseur
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Feraoun,feraoun
Algeria,algeria,DZ,Bejaia Province,bejaia-province,Seddouk,seddouk
Algeria,algeria,DZ,Biskra,biskra,Biskra,biskra
Algeria,algeria,DZ,Biskra,biskra,Oumache,oumache
Algeria,algeria,DZ,Biskra,biskra,Sidi Khaled,sidi-khaled
Algeria,algeria,DZ,Biskra,biskra,Sidi Okba,sidi-okba
Algeria,algeria,DZ,Biskra,biskra,Tolga,tolga
Algeria,algeria,DZ,Biskra,biskra,Zeribet el Oued,zeribet-el-oued
Algeria,algeria,DZ,Blida Province,blida-province,Beni Mered,beni-mered
Algeria,algeria,DZ,Blida Province,blida-province,Blida,blida
Algeria,algeria,DZ,Blida Province,blida-province,Bou Arfa,bou-arfa
Algeria,algeria,DZ,Blida Province,blida-province,Boufarik,boufarik
Algeria,algeria,DZ,Blida Province,blida-province,Bougara,bougara
Algeria,algeria,DZ,Blida Province,blida-province,Bouinan,bouinan
Algeria,algeria,DZ,Blida Province,blida-province,Chebli,chebli
Algeria,algeria,DZ,Blida Province,blida-province,Chiffa,chiffa
Algeria,algeria,DZ,Blida Province,blida-province,Larbaa,larbaa
Algeria,algeria,DZ,Blida Province,blida-province,Meftah,meftah
Algeria,algeria,DZ,Blida Province,blida-province,Sidi Moussa,sidi-moussa
Algeria,algeria,DZ,Blida Province,blida-province,Souma,souma
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Bordj Bou Arreridj,bordj-bou-arreridj
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Bordj Ghdir,bordj-ghdir
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Bordj Zemoura,bordj-zemoura
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,El Achir,el-achir
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Mansourah,mansourah
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Melouza,melouza
Algeria,algeria,DZ,Bordj Bou Arreridj Province,bordj-bou-arreridj-province,Ras el Oued,ras-el-oued
Algeria,algeria,DZ,Bouira Province,bouira-province,Ain Bessem,ain-bessem
Algeria,algeria,DZ,Bouira Province,bouira-province,Bouira,bouira
Algeria,algeria,DZ,Bouira Province,bouira-province,Chorfa,chorfa
Algeria,algeria,DZ,Bouira Province,bouira-province,Draa el Mizan,draa-el-mizan
Algeria,algeria,DZ,Bouira Province,bouira-province,Lakhdaria,lakhdaria
Algeria,algeria,DZ,Bouira Province,bouira-province,Sour el Ghozlane,sour-el-ghozlane
Algeria,algeria,DZ,Boumerdes Province,boumerdes-province,Arbatache,arbatache
Algeria,algeria,DZ,Boumerdes Province,boumerdes-province,Beni Amrane,beni-amrane
Algeria,algeria,DZ,Boumerdes Province,boumerdes-province,Boudouaou,boudouaou
Algeria,algeria,DZ,Boumerdes Province,boumerdes-province,Boumerdas,boumerdas
