s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Estonia,estonia,EE,Harju County,harju-county,Anija vald,anija-vald
Estonia,estonia,EE,Harju County,harju-county,Arukula,arukula
Estonia,estonia,EE,Harju County,harju-county,Haabneeme,haabneeme
Estonia,estonia,EE,Harju County,harju-county,Harku,harku
Estonia,estonia,EE,Harju County,harju-county,Harku vald,harku-vald
Estonia,estonia,EE,Harju County,harju-county,Joelahtme vald,joelahtme-vald
Estonia,estonia,EE,Harju County,harju-county,Juri,juri
Estonia,estonia,EE,Harju County,harju-county,Kehra,kehra
Estonia,estonia,EE,Harju County,harju-county,Keila,keila
Estonia,estonia,EE,Harju County,harju-county,Kiili,kiili
Estonia,estonia,EE,Harju County,harju-county,Kiili vald,kiili-vald
Estonia,estonia,EE,Harju County,harju-county,Kose,kose
Estonia,estonia,EE,Harju County,harju-county,Kuusalu,kuusalu
Estonia,estonia,EE,Harju County,harju-county,Laagri,laagri
Estonia,estonia,EE,Harju County,harju-county,Loksa,loksa
Estonia,estonia,EE,Harju County,harju-county,Loksa linn,loksa-linn
Estonia,estonia,EE,Harju County,harju-county,Loo,loo
Estonia,estonia,EE,Harju County,harju-county,Maardu,maardu
Estonia,estonia,EE,Harju County,harju-county,Maardu linn,maardu-linn
Estonia,estonia,EE,Harju County,harju-county,Paldiski,paldiski
Estonia,estonia,EE,Harju County,harju-county,Pringi,pringi
Estonia,estonia,EE,Harju County,harju-county,Raasiku,raasiku
Estonia,estonia,EE,Harju County,harju-county,Rae vald,rae-vald
Estonia,estonia,EE,Harju County,harju-county,Riisipere,riisipere
Estonia,estonia,EE,Harju County,harju-county,Rummu,rummu
Estonia,estonia,EE,Harju County,harju-county,Saku,saku
Estonia,estonia,EE,Harju County,harju-county,Saku vald,saku-vald
Estonia,estonia,EE,Harju County,harju-county,Saue,saue
Estonia,estonia,EE,Harju County,harju-county,Saue vald,saue-vald
Estonia,estonia,EE,Harju County,harju-county,Tabasalu,tabasalu
Estonia,estonia,EE,Harju County,harju-county,Tallinn,tallinn
Estonia,estonia,EE,Harju County,harju-county,Turba,turba
Estonia,estonia,EE,Harju County,harju-county,Vaida,vaida
Estonia,estonia,EE,Harju County,harju-county,Viimsi,viimsi
Estonia,estonia,EE,Harju County,harju-county,Viimsi vald,viimsi-vald
Estonia,estonia,EE,Hiiu County,hiiu-county,Kardla,kardla
Estonia,estonia,EE,Ida-Viru County,ida-viru-county,Iisaku,iisaku
Estonia,estonia,EE,Ida-Viru County,ida-viru-county,Johvi,johvi
Estonia,estonia,EE,Ida-Viru County,ida-viru-county,Johvi vald,johvi-vald
Estonia,estonia,EE,Ida-Viru County,ida-viru-county,Kivioli,kivioli
Estonia,estonia,EE,Ida-Viru County,ida-viru-county,Kohtla-Jarve,kohtla-jarve
