s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Equatorial Guinea,equatorial-guinea,GQ,Annobon Province,annobon-province,San Antonio de Pale,san-antonio-de-pale
Equatorial Guinea,equatorial-guinea,GQ,Bioko Norte Province,bioko-norte-province,Malabo,malabo
Equatorial Guinea,equatorial-guinea,GQ,Bioko Norte Province,bioko-norte-province,Rebola,rebola
Equatorial Guinea,equatorial-guinea,GQ,Bioko Norte Province,bioko-norte-province,Santiago de Baney,santiago-de-baney
Equatorial Guinea,equatorial-guinea,GQ,Bioko Sur Province,bioko-sur-province,Luba,luba
Equatorial Guinea,equatorial-guinea,GQ,Centro Sur Province,centro-sur-province,Acurenam,acurenam
Equatorial Guinea,equatorial-guinea,GQ,Centro Sur Province,centro-sur-province,Bicurga,bicurga
Equatorial Guinea,equatorial-guinea,GQ,Centro Sur Province,centro-sur-province,Evinayong,evinayong
Equatorial Guinea,equatorial-guinea,GQ,Insular Region,insular-region,Insular Region,insular-region
Equatorial Guinea,equatorial-guinea,GQ,Kie-Ntem Province,kie-ntem-province,Ebebiyin,ebebiyin
Equatorial Guinea,equatorial-guinea,GQ,Kie-Ntem Province,kie-ntem-province,Mikomeseng,mikomeseng
Equatorial Guinea,equatorial-guinea,GQ,Kie-Ntem Province,kie-ntem-province,Ncue,ncue
Equatorial Guinea,equatorial-guinea,GQ,Kie-Ntem Province,kie-ntem-province,Nsang,nsang
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Bata,bata
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Bitica,bitica
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Cogo,cogo
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Machinda,machinda
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Mbini,mbini
Equatorial Guinea,equatorial-guinea,GQ,Litoral Province,litoral-province,Rio Campo,rio-campo
Equatorial Guinea,equatorial-guinea,GQ,Rio Muni,rio-muni,Rio Muni,rio-muni
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Aconibe,aconibe
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Anisoc,anisoc
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Ayene,ayene
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Mengomeyen,mengomeyen
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Mongomo,mongomo
Equatorial Guinea,equatorial-guinea,GQ,Wele-Nzas Province,wele-nzas-province,Nsok,nsok
