s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Cahabon,cahabon
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Chahal Guatemala,chahal-guatemala
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Chisec,chisec
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Coban,coban
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,La Tinta,la-tinta
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Lanquin,lanquin
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Panzos,panzos
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Cristobal Verapaz,san-cristobal-verapaz
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Juan Chamelco,san-juan-chamelco
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Pedro Carcha,san-pedro-carcha
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Santa Cruz Verapaz,santa-cruz-verapaz
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Senahu,senahu
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tactic,tactic
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tamahu,tamahu
Guatemala,guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tucuru,tucuru
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Cubulco,cubulco
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,El Chol,el-chol
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Granados,granados
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Purulha,purulha
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Rabinal,rabinal
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Salama,salama
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,San Jeronimo,san-jeronimo
Guatemala,guatemala,GT,Baja Verapaz Department,baja-verapaz-department,San Miguel Chicaj,san-miguel-chicaj
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Acatenango,acatenango
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Chimaltenango,chimaltenango
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Comalapa,comalapa
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,El Tejar,el-tejar
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Parramos,parramos
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Patzicia,patzicia
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Patzun,patzun
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Pochuta,pochuta
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,San Andres Itzapa,san-andres-itzapa
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,San Jose Poaquil,san-jose-poaquil
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,San Martin Jilotepeque,san-martin-jilotepeque
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Santa Apolonia,santa-apolonia
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Santa Cruz Balanya,santa-cruz-balanya
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Tecpan Guatemala,tecpan-guatemala
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Yepocapa,yepocapa
Guatemala,guatemala,GT,Chimaltenango Department,chimaltenango-department,Zaragoza,zaragoza
Guatemala,guatemala,GT,Chiquimula Department,chiquimula-department,Camotan,camotan
Guatemala,guatemala,GT,Chiquimula Department,chiquimula-department,Chiquimula,chiquimula
Guatemala,guatemala,GT,Chiquimula Department,chiquimula-department,Concepcion Las Minas,concepcion-las-minas
Guatemala,guatemala,GT,Chiquimula Department,chiquimula-department,Esquipulas,esquipulas
