s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Haiti,haiti,HT,Artibonite,artibonite,Anse Rouge,anse-rouge
Haiti,haiti,HT,Artibonite,artibonite,Arrondissement de Saint-Marc,arrondissement-de-saint-marc
Haiti,haiti,HT,Artibonite,artibonite,Desarmes,desarmes
Haiti,haiti,HT,Artibonite,artibonite,Dessalines,dessalines
Haiti,haiti,HT,Artibonite,artibonite,Ennery,ennery
Haiti,haiti,HT,Artibonite,artibonite,Gonaives,gonaives
Haiti,haiti,HT,Artibonite,artibonite,Grande Saline,grande-saline
Haiti,haiti,HT,Artibonite,artibonite,Gros Morne,gros-morne
Haiti,haiti,HT,Artibonite,artibonite,Marmelade,marmelade
Haiti,haiti,HT,Artibonite,artibonite,Saint-Marc,saint-marc
Haiti,haiti,HT,Artibonite,artibonite,Verrettes,verrettes
Haiti,haiti,HT,Centre,centre,Arrondissement de Cerca La Source,arrondissement-de-cerca-la-source
Haiti,haiti,HT,Centre,centre,Cerca la Source,cerca-la-source
Haiti,haiti,HT,Centre,centre,Hinche,hinche
Haiti,haiti,HT,Centre,centre,Lascahobas,lascahobas
Haiti,haiti,HT,Centre,centre,Mayisad,mayisad
Haiti,haiti,HT,Centre,centre,Mirebalais,mirebalais
Haiti,haiti,HT,Centre,centre,Thomassique,thomassique
Haiti,haiti,HT,Centre,centre,Thomonde,thomonde
Haiti,haiti,HT,Grand'Anse,grandanse,Anse-a-Veau,anse-a-veau
Haiti,haiti,HT,Grand'Anse,grandanse,Chambellan,chambellan
Haiti,haiti,HT,Grand'Anse,grandanse,Corail,corail
Haiti,haiti,HT,Grand'Anse,grandanse,Dame-Marie,dame-marie
Haiti,haiti,HT,Grand'Anse,grandanse,Jeremi,jeremi
Haiti,haiti,HT,Grand'Anse,grandanse,Jeremie,jeremie
Haiti,haiti,HT,Grand'Anse,grandanse,Les Abricots,les-abricots
Haiti,haiti,HT,Grand'Anse,grandanse,Les Irois,les-irois
Haiti,haiti,HT,Grand'Anse,grandanse,Moron,moron
Haiti,haiti,HT,Grand'Anse,grandanse,Petite Riviere de Nippes,petite-riviere-de-nippes
Haiti,haiti,HT,Nippes,nippes,Ansavo,ansavo
Haiti,haiti,HT,Nippes,nippes,Baraderes,baraderes
Haiti,haiti,HT,Nippes,nippes,Miragoane,miragoane
Haiti,haiti,HT,Nippes,nippes,Petit Trou de Nippes,petit-trou-de-nippes
