s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Agasegyhaza,agasegyhaza
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Akaszto,akaszto
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Apostag,apostag
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsalmas,bacsalmas
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsalmasi Jaras,bacsalmasi-jaras
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bacsbokod,bacsbokod
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Baja,baja
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bajai Jaras,bajai-jaras
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Balloszog,balloszog
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Batya,batya
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Bugac,bugac
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csaszartoltes,csaszartoltes
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csavoly,csavoly
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Csengod,csengod
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Davod,davod
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dunapataj,dunapataj
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dunavecse,dunavecse
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Dusnok,dusnok
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Ersekcsanad,ersekcsanad
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Felsoszentivan,felsoszentivan
Hungary,hungary,HU,Bacs-Kiskun County,bacs-kiskun-county,Fulopjakab,fulopjakab
