s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ireland,ireland,IE,Connacht,connacht,Athenry,athenry
Ireland,ireland,IE,Connacht,connacht,Ballaghaderreen,ballaghaderreen
Ireland,ireland,IE,Connacht,connacht,Ballina,ballina
Ireland,ireland,IE,Connacht,connacht,Ballinasloe,ballinasloe
Ireland,ireland,IE,Connacht,connacht,Ballinrobe,ballinrobe
Ireland,ireland,IE,Connacht,connacht,Ballisodare,ballisodare
Ireland,ireland,IE,Connacht,connacht,Ballyhaunis,ballyhaunis
Ireland,ireland,IE,Connacht,connacht,Ballymote,ballymote
Ireland,ireland,IE,Connacht,connacht,Bearna,bearna
Ireland,ireland,IE,Connacht,connacht,Belmullet,belmullet
Ireland,ireland,IE,Connacht,connacht,Boyle,boyle
Ireland,ireland,IE,Connacht,connacht,Carrick-on-Shannon,carrick-on-shannon
Ireland,ireland,IE,Connacht,connacht,Castlebar,castlebar
Ireland,ireland,IE,Connacht,connacht,Castlerea,castlerea
Ireland,ireland,IE,Connacht,connacht,Claregalway,claregalway
Ireland,ireland,IE,Connacht,connacht,Claremorris,claremorris
Ireland,ireland,IE,Connacht,connacht,Clifden,clifden
Ireland,ireland,IE,Connacht,connacht,Collooney,collooney
Ireland,ireland,IE,Connacht,connacht,County Galway,county-galway
Ireland,ireland,IE,Connacht,connacht,County Leitrim,county-leitrim
Ireland,ireland,IE,Connacht,connacht,Crossmolina,crossmolina
Ireland,ireland,IE,Connacht,connacht,Foxford,foxford
Ireland,ireland,IE,Connacht,connacht,Gaillimh,gaillimh
Ireland,ireland,IE,Connacht,connacht,Galway City,galway-city
Ireland,ireland,IE,Connacht,connacht,Gort,gort
Ireland,ireland,IE,Connacht,connacht,Inishcrone,inishcrone
Ireland,ireland,IE,Connacht,connacht,Kiltamagh,kiltamagh
Ireland,ireland,IE,Connacht,connacht,Kinlough,kinlough
Ireland,ireland,IE,Connacht,connacht,Loughrea,loughrea
Ireland,ireland,IE,Connacht,connacht,Manorhamilton,manorhamilton
Ireland,ireland,IE,Connacht,connacht,Mayo County,mayo-county
Ireland,ireland,IE,Connacht,connacht,Moycullen,moycullen
Ireland,ireland,IE,Connacht,connacht,Oranmore,oranmore
Ireland,ireland,IE,Connacht,connacht,Oughterard,oughterard
Ireland,ireland,IE,Connacht,connacht,Portumna,portumna
Ireland,ireland,IE,Connacht,connacht,Roscommon,roscommon
Ireland,ireland,IE,Connacht,connacht,Sligo,sligo
Ireland,ireland,IE,Connacht,connacht,Strandhill,strandhill
Ireland,ireland,IE,Connacht,connacht,Swinford,swinford
Ireland,ireland,IE,Connacht,connacht,Tobercurry,tobercurry
Ireland,ireland,IE,Connacht,connacht,Tuam,tuam
Ireland,ireland,IE,Connacht,connacht,Westport,westport
Ireland,ireland,IE,County Carlow,county-carlow,County Carlow,county-carlow
Ireland,ireland,IE,County Cavan,county-cavan,County Cavan,county-cavan
Ireland,ireland,IE,County Clare,county-clare,County Clare,county-clare
Ireland,ireland,IE,County Cork,county-cork,County Cork,county-cork
Ireland,ireland,IE,County Donegal,county-donegal,County Donegal,county-donegal
Ireland,ireland,IE,County Dublin,county-dublin,County Dublin,county-dublin
Ireland,ireland,IE,County Galway,county-galway,County Galway,county-galway
Ireland,ireland,IE,County Kerry,county-kerry,County Kerry,county-kerry
Ireland,ireland,IE,County Kildare,county-kildare,County Kildare,county-kildare
Ireland,ireland,IE,County Kilkenny,county-kilkenny,County Kilkenny,county-kilkenny
Ireland,ireland,IE,County Laois,county-laois,County Laois,county-laois
Ireland,ireland,IE,County Limerick,county-limerick,County Limerick,county-limerick
Ireland,ireland,IE,County Longford,county-longford,County Longford,county-longford
Ireland,ireland,IE,County Louth,county-louth,County Louth,county-louth
Ireland,ireland,IE,County Mayo,county-mayo,County Mayo,county-mayo
Ireland,ireland,IE,County Meath,county-meath,County Meath,county-meath
Ireland,ireland,IE,County Monaghan,county-monaghan,County Monaghan,county-monaghan
Ireland,ireland,IE,County Offaly,county-offaly,County Offaly,county-offaly
Ireland,ireland,IE,County Roscommon,county-roscommon,County Roscommon,county-roscommon
Ireland,ireland,IE,County Sligo,county-sligo,County Sligo,county-sligo
Ireland,ireland,IE,County Tipperary,county-tipperary,County Tipperary,county-tipperary
Ireland,ireland,IE,County Waterford,county-waterford,County Waterford,county-waterford
Ireland,ireland,IE,County Westmeath,county-westmeath,County Westmeath,county-westmeath
Ireland,ireland,IE,County Wexford,county-wexford,County Wexford,county-wexford
Ireland,ireland,IE,County Wicklow,county-wicklow,County Wicklow,county-wicklow
Ireland,ireland,IE,Leinster,leinster,Abbeyleix,abbeyleix
Ireland,ireland,IE,Leinster,leinster,An Iarmhi,an-iarmhi
Ireland,ireland,IE,Leinster,leinster,An Longfort,an-longfort
Ireland,ireland,IE,Leinster,leinster,An Mhi,an-mhi
Ireland,ireland,IE,Leinster,leinster,An Muileann gCearr,an-muileann-gcearr
Ireland,ireland,IE,Leinster,leinster,An Ros,an-ros
Ireland,ireland,IE,Leinster,leinster,Ardee,ardee
Ireland,ireland,IE,Leinster,leinster,Arklow,arklow
Ireland,ireland,IE,Leinster,leinster,Artane,artane
Ireland,ireland,IE,Leinster,leinster,Ashbourne,ashbourne
Ireland,ireland,IE,Leinster,leinster,Ashford,ashford
Ireland,ireland,IE,Leinster,leinster,Athboy,athboy
Ireland,ireland,IE,Leinster,leinster,Athgarvan,athgarvan
Ireland,ireland,IE,Leinster,leinster,Athlone,athlone
Ireland,ireland,IE,Leinster,leinster,Athy,athy
Ireland,ireland,IE,Leinster,leinster,Aughrim,aughrim
Ireland,ireland,IE,Leinster,leinster,Bagenalstown,bagenalstown
Ireland,ireland,IE,Leinster,leinster,Balally,balally
Ireland,ireland,IE,Leinster,leinster,Balbriggan,balbriggan
Ireland,ireland,IE,Leinster,leinster,Baldoyle,baldoyle
Ireland,ireland,IE,Leinster,leinster,Ballinroad,ballinroad
Ireland,ireland,IE,Leinster,leinster,Ballinteer,ballinteer
Ireland,ireland,IE,Leinster,leinster,Ballivor,ballivor
Ireland,ireland,IE,Leinster,leinster,Ballyboden,ballyboden
Ireland,ireland,IE,Leinster,leinster,Ballyfermot,ballyfermot
Ireland,ireland,IE,Leinster,leinster,Ballygerry,ballygerry
Ireland,ireland,IE,Leinster,leinster,Ballylinan,ballylinan
Ireland,ireland,IE,Leinster,leinster,Ballymahon,ballymahon
Ireland,ireland,IE,Leinster,leinster,Ballymun,ballymun
Ireland,ireland,IE,Leinster,leinster,Ballyragget,ballyragget
Ireland,ireland,IE,Leinster,leinster,Balrothery,balrothery
