s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Israel,israel,IL,Central District,central-district,Bet Dagan,bet-dagan
Israel,israel,IL,Central District,central-district,Bet Yizhaq,bet-yizhaq
Israel,israel,IL,Central District,central-district,Bnei Ayish,bnei-ayish
Israel,israel,IL,Central District,central-district,Elyakhin,elyakhin
Israel,israel,IL,Central District,central-district,Et Taiyiba,et-taiyiba
Israel,israel,IL,Central District,central-district,Even Yehuda,even-yehuda
Israel,israel,IL,Central District,central-district,Gan Yavne,gan-yavne
Israel,israel,IL,Central District,central-district,Ganei Tikva,ganei-tikva
Israel,israel,IL,Central District,central-district,Gedera,gedera
Israel,israel,IL,Central District,central-district,Hod HaSharon,hod-hasharon
Israel,israel,IL,Central District,central-district,Jaljulya,jaljulya
Israel,israel,IL,Central District,central-district,Kafr Qasim,kafr-qasim
Israel,israel,IL,Central District,central-district,Kefar Habad,kefar-habad
Israel,israel,IL,Central District,central-district,Kefar Yona,kefar-yona
Israel,israel,IL,Central District,central-district,Kfar Saba,kfar-saba
Israel,israel,IL,Central District,central-district,Lapid,lapid
Israel,israel,IL,Central District,central-district,Lod,lod
Israel,israel,IL,Central District,central-district,Mazkeret Batya,mazkeret-batya
Israel,israel,IL,Central District,central-district,Modiin Makkabbim Reut,modiin-makkabbim-reut
Israel,israel,IL,Central District,central-district,Nehalim,nehalim
Israel,israel,IL,Central District,central-district,Ness Ziona,ness-ziona
Israel,israel,IL,Central District,central-district,Netanya,netanya
Israel,israel,IL,Central District,central-district,Nirit,nirit
Israel,israel,IL,Central District,central-district,Nof Ayalon,nof-ayalon
Israel,israel,IL,Central District,central-district,Nordiyya,nordiyya
Israel,israel,IL,Central District,central-district,Pardesiyya,pardesiyya
Israel,israel,IL,Central District,central-district,Petah Tiqwa,petah-tiqwa
Israel,israel,IL,Central District,central-district,Qalansuwa,qalansuwa
Israel,israel,IL,Central District,central-district,Ra'anana,raanana
Israel,israel,IL,Central District,central-district,Ramla,ramla
Israel,israel,IL,Central District,central-district,Rehovot,rehovot
Israel,israel,IL,Central District,central-district,Rishon LeZiyyon,rishon-leziyyon
Israel,israel,IL,Central District,central-district,Rosh HaAyin,rosh-haayin
Israel,israel,IL,Central District,central-district,Savyon,savyon
Israel,israel,IL,Central District,central-district,Shoham,shoham
Israel,israel,IL,Central District,central-district,Tel Mond,tel-mond
Israel,israel,IL,Central District,central-district,Tirah,tirah
Israel,israel,IL,Central District,central-district,Yavne,yavne
Israel,israel,IL,Central District,central-district,Yehud,yehud
Israel,israel,IL,Central District,central-district,Zur Moshe,zur-moshe
Israel,israel,IL,Haifa District,haifa-district,Atlit,atlit
Israel,israel,IL,Haifa District,haifa-district,Caesarea,caesarea
Israel,israel,IL,Haifa District,haifa-district,Daliyat al Karmel,daliyat-al-karmel
Israel,israel,IL,Haifa District,haifa-district,El Fureidis,el-fureidis
Israel,israel,IL,Haifa District,haifa-district,Hadera,hadera
Israel,israel,IL,Haifa District,haifa-district,Haifa,haifa
Israel,israel,IL,Haifa District,haifa-district,Ibtin,ibtin
Israel,israel,IL,Haifa District,haifa-district,Nesher,nesher
Israel,israel,IL,Haifa District,haifa-district,Qiryat Ata,qiryat-ata
Israel,israel,IL,Haifa District,haifa-district,Qiryat Bialik,qiryat-bialik
Israel,israel,IL,Haifa District,haifa-district,Qiryat Mozqin,qiryat-mozqin
Israel,israel,IL,Haifa District,haifa-district,Qiryat Yam,qiryat-yam
Israel,israel,IL,Haifa District,haifa-district,Rekhasim,rekhasim
Israel,israel,IL,Haifa District,haifa-district,Tirat Karmel,tirat-karmel
Israel,israel,IL,Haifa District,haifa-district,Umm el Fahm,umm-el-fahm
Israel,israel,IL,Jerusalem District,jerusalem-district,Abu Ghaush,abu-ghaush
Israel,israel,IL,Jerusalem District,jerusalem-district,Bet Shemesh,bet-shemesh
Israel,israel,IL,Jerusalem District,jerusalem-district,Har Adar,har-adar
Israel,israel,IL,Jerusalem District,jerusalem-district,Jerusalem,jerusalem
Israel,israel,IL,Jerusalem District,jerusalem-district,Mevasseret Ziyyon,mevasseret-ziyyon
Israel,israel,IL,Jerusalem District,jerusalem-district,Modiin Ilit,modiin-ilit
Israel,israel,IL,Jerusalem District,jerusalem-district,West Jerusalem,west-jerusalem
Israel,israel,IL,Jerusalem District,jerusalem-district,Zur Hadassa,zur-hadassa
Israel,israel,IL,Northern District,northern-district,Eilabun,eilabun
Israel,israel,IL,Northern District,northern-district,Uzeir,uzeir
Israel,israel,IL,Northern District,northern-district,Acre,acre
Israel,israel,IL,Northern District,northern-district,Afula,afula
Israel,israel,IL,Northern District,northern-district,Basmat Tabun,basmat-tabun
Israel,israel,IL,Northern District,northern-district,Beit Jann,beit-jann
Israel,israel,IL,Northern District,northern-district,Bet Shean,bet-shean
Israel,israel,IL,Northern District,northern-district,Bir el Maksur,bir-el-maksur
Israel,israel,IL,Northern District,northern-district,Bueina,bueina
Israel,israel,IL,Northern District,northern-district,Buqeia,buqeia
Israel,israel,IL,Northern District,northern-district,Dabburiya,dabburiya
Israel,israel,IL,Northern District,northern-district,Deir Hanna,deir-hanna
Israel,israel,IL,Northern District,northern-district,El Mazraa,el-mazraa
Israel,israel,IL,Northern District,northern-district,Er Reina,er-reina
Israel,israel,IL,Northern District,northern-district,Esh Sheikh Dannun,esh-sheikh-dannun
Israel,israel,IL,Northern District,northern-district,Hurfeish,hurfeish
Israel,israel,IL,Northern District,northern-district,Iksal,iksal
Israel,israel,IL,Northern District,northern-district,Jish,jish
Israel,israel,IL,Northern District,northern-district,Judeida Makr,judeida-makr
Israel,israel,IL,Northern District,northern-district,Kabul,kabul
Israel,israel,IL,Northern District,northern-district,Kafr Kamma,kafr-kamma
Israel,israel,IL,Northern District,northern-district,Kafr Kanna,kafr-kanna
Israel,israel,IL,Northern District,northern-district,Kafr Manda,kafr-manda
Israel,israel,IL,Northern District,northern-district,Kafr Misr,kafr-misr
Israel,israel,IL,Northern District,northern-district,Karmiel,karmiel
Israel,israel,IL,Northern District,northern-district,Kaukab Abu el Hija,kaukab-abu-el-hija
Israel,israel,IL,Northern District,northern-district,Kefar Rosh HaNiqra,kefar-rosh-haniqra
Israel,israel,IL,Northern District,northern-district,Kefar Tavor,kefar-tavor
Israel,israel,IL,Northern District,northern-district,Kefar Weradim,kefar-weradim
Israel,israel,IL,Northern District,northern-district,Kfar Yasif,kfar-yasif
Israel,israel,IL,Northern District,northern-district,maalot Tarshiha,maalot-tarshiha
Israel,israel,IL,Northern District,northern-district,Maghar,maghar
Israel,israel,IL,Northern District,northern-district,Metulla,metulla
Israel,israel,IL,Northern District,northern-district,Miilya,miilya
Israel,israel,IL,Northern District,northern-district,Migdal HaEmeq,migdal-haemeq
Israel,israel,IL,Northern District,northern-district,Nahariyya,nahariyya
Israel,israel,IL,Northern District,northern-district,Nahf,nahf
Israel,israel,IL,Northern District,northern-district,Nazareth,nazareth
Israel,israel,IL,Northern District,northern-district,Nefat Akko,nefat-akko
Israel,israel,IL,Northern District,northern-district,Nein,nein
Israel,israel,IL,Northern District,northern-district,Pasuta,pasuta
Israel,israel,IL,Northern District,northern-district,Qiryat Shemona,qiryat-shemona
Israel,israel,IL,Northern District,northern-district,Ramat Yishay,ramat-yishay
Israel,israel,IL,Northern District,northern-district,Rosh Pinna,rosh-pinna
Israel,israel,IL,Northern District,northern-district,Rumat Heib,rumat-heib
Israel,israel,IL,Northern District,northern-district,Safed,safed
Israel,israel,IL,Northern District,northern-district,Sajur,sajur
Israel,israel,IL,Northern District,northern-district,Sakhnin,sakhnin
Israel,israel,IL,Northern District,northern-district,Sallama,sallama
Israel,israel,IL,Northern District,northern-district,Shelomi,shelomi
Israel,israel,IL,Northern District,northern-district,Shibli,shibli
Israel,israel,IL,Northern District,northern-district,Sulam,sulam
Israel,israel,IL,Northern District,northern-district,Tamra,tamra
Israel,israel,IL,Northern District,northern-district,Tiberias,tiberias
Israel,israel,IL,Northern District,northern-district,Timrat,timrat
Israel,israel,IL,Northern District,northern-district,Yavneel,yavneel
Israel,israel,IL,Southern District,southern-district,En Boqeq,en-boqeq
Israel,israel,IL,Southern District,southern-district,Arad,arad
Israel,israel,IL,Southern District,southern-district,Ashdod,ashdod
Israel,israel,IL,Southern District,southern-district,Ashkelon,ashkelon
Israel,israel,IL,Southern District,southern-district,Beersheba,beersheba
Israel,israel,IL,Southern District,southern-district,Dimona,dimona
Israel,israel,IL,Southern District,southern-district,Eilat,eilat
Israel,israel,IL,Southern District,southern-district,Lehavim,lehavim
Israel,israel,IL,Southern District,southern-district,Midreshet Ben-Gurion,midreshet-ben-gurion
Israel,israel,IL,Southern District,southern-district,Mitzpe Ramon,mitzpe-ramon
Israel,israel,IL,Southern District,southern-district,Netivot,netivot
Israel,israel,IL,Southern District,southern-district,Ofaqim,ofaqim
Israel,israel,IL,Southern District,southern-district,Qiryat Gat,qiryat-gat
Israel,israel,IL,Southern District,southern-district,Rahat,rahat
Israel,israel,IL,Southern District,southern-district,Sederot,sederot
Israel,israel,IL,Southern District,southern-district,Yeroham,yeroham
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Azor,azor
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Bat Yam,bat-yam
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Bnei Brak,bnei-brak
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Giv'at Shmuel,givat-shmuel
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Givatayim,givatayim
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Herzliya,herzliya
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Herzliya Pituah,herzliya-pituah
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Holon,holon
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Jaffa,jaffa
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Kefar Shemaryahu,kefar-shemaryahu
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Or Yehuda,or-yehuda
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Ramat Gan,ramat-gan
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Ramat HaSharon,ramat-hasharon
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Tel Aviv,tel-aviv
Israel,israel,IL,Tel Aviv District,tel-aviv-district,Yehud-Monosson,yehud-monosson
