s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Iran,iran,IR,Alborz Province,alborz-province,Fardis,fardis
Iran,iran,IR,Alborz Province,alborz-province,Karaj,karaj
Iran,iran,IR,Alborz Province,alborz-province,Nazarabad,nazarabad
Iran,iran,IR,Alborz Province,alborz-province,Shahrestan-e Eshtehard,shahrestan-e-eshtehard
Iran,iran,IR,Alborz Province,alborz-province,Shahrestan-e Nazarabad,shahrestan-e-nazarabad
Iran,iran,IR,Alborz Province,alborz-province,Shahrestan-e Savojbolagh,shahrestan-e-savojbolagh
Iran,iran,IR,Alborz Province,alborz-province,Shahrestan-e Taleqan,shahrestan-e-taleqan
Iran,iran,IR,Ardabil Province,ardabil-province,Ardabil,ardabil
Iran,iran,IR,Ardabil Province,ardabil-province,Bileh Savar,bileh-savar
Iran,iran,IR,Ardabil Province,ardabil-province,Khalkhal,khalkhal
Iran,iran,IR,Ardabil Province,ardabil-province,Omidcheh,omidcheh
Iran,iran,IR,Ardabil Province,ardabil-province,Parsabad,parsabad
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Ardabil,shahrestan-e-ardabil
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Bileh Savar,shahrestan-e-bileh-savar
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Germi,shahrestan-e-germi
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Khalkhal,shahrestan-e-khalkhal
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Kowsar,shahrestan-e-kowsar
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Meshgin Shahr,shahrestan-e-meshgin-shahr
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Namin,shahrestan-e-namin
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Nir,shahrestan-e-nir
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Parsabad,shahrestan-e-parsabad
Iran,iran,IR,Ardabil Province,ardabil-province,Shahrestan-e Sareyn,shahrestan-e-sareyn
Iran,iran,IR,Bushehr Province,bushehr-province,Ahram,ahram
Iran,iran,IR,Bushehr Province,bushehr-province,Bandar-e Genaveh,bandar-e-genaveh
Iran,iran,IR,Bushehr Province,bushehr-province,Borazjan,borazjan
Iran,iran,IR,Bushehr Province,bushehr-province,Bushehr,bushehr
Iran,iran,IR,Bushehr Province,bushehr-province,Deylam,deylam
Iran,iran,IR,Bushehr Province,bushehr-province,Khark,khark
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Asaluyeh,shahrestan-e-asaluyeh
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Bushehr,shahrestan-e-bushehr
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Dashtestan,shahrestan-e-dashtestan
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Dashti,shahrestan-e-dashti
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Genaveh,shahrestan-e-genaveh
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Kangan,shahrestan-e-kangan
Iran,iran,IR,Bushehr Province,bushehr-province,Shahrestan-e Tangestan,shahrestan-e-tangestan
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Ben,ben
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Borujen,borujen
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Chelgard,chelgard
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Farrokh Shahr,farrokh-shahr
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Farsan,farsan
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Saman,saman
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahr-e Kord,shahr-e-kord
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrekord,shahrekord
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrestan-e Borujen,shahrestan-e-borujen
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrestan-e Farsan,shahrestan-e-farsan
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrestan-e Kiar,shahrestan-e-kiar
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrestan-e Kuhrang,shahrestan-e-kuhrang
Iran,iran,IR,Chaharmahal and Bakhtiari Province,chaharmahal-and-bakhtiari-province,Shahrestan-e Lordegan,shahrestan-e-lordegan
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Ajab Shir,ajab-shir
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Ahar,ahar
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Bonab,bonab
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Hashtrud,hashtrud
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Marand,marand
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Sarab,sarab
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Ajab Shir,shahrestan-e-ajab-shir
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Azarshahr,shahrestan-e-azarshahr
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Bonab,shahrestan-e-bonab
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Bostanabad,shahrestan-e-bostanabad
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Charavimaq,shahrestan-e-charavimaq
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Hashtrud,shahrestan-e-hashtrud
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Heris,shahrestan-e-heris
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Jolfa,shahrestan-e-jolfa
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Khoda Afarin,shahrestan-e-khoda-afarin
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Malekan,shahrestan-e-malekan
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Maragheh,shahrestan-e-maragheh
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Mianeh,shahrestan-e-mianeh
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Osku,shahrestan-e-osku
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Sarab,shahrestan-e-sarab
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Tabriz,shahrestan-e-tabriz
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Shahrestan-e Varzaqan,shahrestan-e-varzaqan
Iran,iran,IR,East Azerbaijan Province,east-azerbaijan-province,Tabriz,tabriz
Iran,iran,IR,Fars Province,fars-province,Abadeh,abadeh
Iran,iran,IR,Fars Province,fars-province,Akbarabad,akbarabad
