s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Iceland,iceland,IS,Capital Region,capital-region,Alftanes,alftanes
Iceland,iceland,IS,Capital Region,capital-region,Garabr,garabr
Iceland,iceland,IS,Capital Region,capital-region,Hafnarfjorur,hafnarfjorur
Iceland,iceland,IS,Capital Region,capital-region,Kjosarhreppur,kjosarhreppur
Iceland,iceland,IS,Capital Region,capital-region,Kopavogur,kopavogur
Iceland,iceland,IS,Capital Region,capital-region,Mosfellsbaer,mosfellsbaer
Iceland,iceland,IS,Capital Region,capital-region,Mosfellsbr,mosfellsbr
Iceland,iceland,IS,Capital Region,capital-region,Reykjavik,reykjavik
Iceland,iceland,IS,Capital Region,capital-region,Seltjarnarnes,seltjarnarnes
Iceland,iceland,IS,Eastern Region,eastern-region,Borgarfjararhreppur,borgarfjararhreppur
Iceland,iceland,IS,Eastern Region,eastern-region,Breidalshreppur,breidalshreppur
Iceland,iceland,IS,Eastern Region,eastern-region,Egilsstair,egilsstair
Iceland,iceland,IS,Eastern Region,eastern-region,Eskifjorur,eskifjorur
Iceland,iceland,IS,Eastern Region,eastern-region,Fjarabygg,fjarabygg
Iceland,iceland,IS,Eastern Region,eastern-region,Fljotsdalshera,fljotsdalshera
Iceland,iceland,IS,Eastern Region,eastern-region,Fljotsdalshreppur,fljotsdalshreppur
Iceland,iceland,IS,Eastern Region,eastern-region,Hofn,hofn
Iceland,iceland,IS,Eastern Region,eastern-region,Neskaupstaur,neskaupstaur
Iceland,iceland,IS,Eastern Region,eastern-region,Reyarfjorur,reyarfjorur
Iceland,iceland,IS,Northeastern Region,northeastern-region,Akureyri,akureyri
Iceland,iceland,IS,Northeastern Region,northeastern-region,Dalvik,dalvik
Iceland,iceland,IS,Northeastern Region,northeastern-region,Dalvikurbygg,dalvikurbygg
Iceland,iceland,IS,Northeastern Region,northeastern-region,Eyjafjararsveit,eyjafjararsveit
Iceland,iceland,IS,Northeastern Region,northeastern-region,Fjallabygg,fjallabygg
Iceland,iceland,IS,Northeastern Region,northeastern-region,Grytubakkahreppur,grytubakkahreppur
Iceland,iceland,IS,Northeastern Region,northeastern-region,Horgarsveit,horgarsveit
Iceland,iceland,IS,Northeastern Region,northeastern-region,Husavik,husavik
Iceland,iceland,IS,Northeastern Region,northeastern-region,Langanesbygg,langanesbygg
