s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Jordan,jordan,JO,Ajloun Governorate,ajloun-governorate,Ajlun,ajlun
Jordan,jordan,JO,Ajloun Governorate,ajloun-governorate,Anjarah,anjarah
Jordan,jordan,JO,Ajloun Governorate,ajloun-governorate,Ayn Jannah,ayn-jannah
Jordan,jordan,JO,Ajloun Governorate,ajloun-governorate,Halawah,halawah
Jordan,jordan,JO,Ajloun Governorate,ajloun-governorate,Sakhrah,sakhrah
Jordan,jordan,JO,Amman Governorate,amman-governorate,Al Jizah,al-jizah
Jordan,jordan,JO,Amman Governorate,amman-governorate,Al Jubayhah,al-jubayhah
Jordan,jordan,JO,Amman Governorate,amman-governorate,Amman,amman
Jordan,jordan,JO,Amman Governorate,amman-governorate,Hayy al Bunayyat,hayy-al-bunayyat
Jordan,jordan,JO,Amman Governorate,amman-governorate,Hayy al Quwaysimah,hayy-al-quwaysimah
Jordan,jordan,JO,Amman Governorate,amman-governorate,Jawa,jawa
Jordan,jordan,JO,Amman Governorate,amman-governorate,Sahab,sahab
Jordan,jordan,JO,Amman Governorate,amman-governorate,Umm as Summaq,umm-as-summaq
Jordan,jordan,JO,Amman Governorate,amman-governorate,Wadi as Sir,wadi-as-sir
Jordan,jordan,JO,Aqaba Governorate,aqaba-governorate,Aqaba,aqaba
Jordan,jordan,JO,Aqaba Governorate,aqaba-governorate,Tala Bay,tala-bay
Jordan,jordan,JO,Balqa Governorate,balqa-governorate,Al Karamah,al-karamah
Jordan,jordan,JO,Balqa Governorate,balqa-governorate,As Salt,as-salt
Jordan,jordan,JO,Balqa Governorate,balqa-governorate,Yarqa,yarqa
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Ar Ramtha,ar-ramtha
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Ash Shajarah,ash-shajarah
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,At Tayyibah,at-tayyibah
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,At Turrah,at-turrah
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Aydun,aydun
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Bayt Idis,bayt-idis
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Bayt Yafa,bayt-yafa
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Dayr Yusuf,dayr-yusuf
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Hakama,hakama
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Hatim,hatim
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Irbid,irbid
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Judita,judita
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kafr Abil,kafr-abil
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kafr Asad,kafr-asad
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kafr Sawm,kafr-sawm
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kharja,kharja
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kitim,kitim
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Kurayyimah,kurayyimah
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Malka,malka
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Qumaym,qumaym
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Saham al Kaffarat,saham-al-kaffarat
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Sal,sal
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Samma,samma
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Tibnah,tibnah
Jordan,jordan,JO,Irbid Governorate,irbid-governorate,Umm Qays,umm-qays
