s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kenya,kenya,KE,Baringo County,baringo-county,Baringo,baringo
Kenya,kenya,KE,Baringo County,baringo-county,Eldama Ravine,eldama-ravine
Kenya,kenya,KE,Baringo County,baringo-county,Kabarnet,kabarnet
Kenya,kenya,KE,Bomet County,bomet-county,Sotik,sotik
Kenya,kenya,KE,Bomet County,bomet-county,Sotik Post,sotik-post
Kenya,kenya,KE,Bungoma County,bungoma-county,Bungoma,bungoma
Kenya,kenya,KE,Bungoma County,bungoma-county,Malikisi,malikisi
Kenya,kenya,KE,Bungoma County,bungoma-county,Webuye,webuye
Kenya,kenya,KE,Busia County,busia-county,Busia,busia
Kenya,kenya,KE,Busia County,busia-county,Luanda,luanda
Kenya,kenya,KE,Busia County,busia-county,Lugulu,lugulu
Kenya,kenya,KE,Busia County,busia-county,Malaba,malaba
Kenya,kenya,KE,Busia County,busia-county,Nambare,nambare
Kenya,kenya,KE,Busia County,busia-county,Port Victoria,port-victoria
Kenya,kenya,KE,Central Province,central-province,Central Province,central-province
Kenya,kenya,KE,Coast Province,coast-province,Coast Province,coast-province
Kenya,kenya,KE,Eastern Province,eastern-province,Eastern Province,eastern-province
Kenya,kenya,KE,Elgeyo-Marakwet County,elgeyo-marakwet-county,Elgeyo-Marakwet County,elgeyo-marakwet-county
Kenya,kenya,KE,Embu County,embu-county,Embu,embu
Kenya,kenya,KE,Garissa County,garissa-county,Garissa,garissa
Kenya,kenya,KE,Homa Bay County,homa-bay-county,Homa Bay,homa-bay
Kenya,kenya,KE,Homa Bay County,homa-bay-county,Oyugis,oyugis
Kenya,kenya,KE,Homa Bay County,homa-bay-county,Rachuonyo District,rachuonyo-district
Kenya,kenya,KE,Isiolo County,isiolo-county,Isiolo,isiolo
Kenya,kenya,KE,Kajiado County,kajiado-county,Kajiado,kajiado
Kenya,kenya,KE,Kajiado County,kajiado-county,Magadi,magadi
Kenya,kenya,KE,Kajiado County,kajiado-county,Ngong,ngong
Kenya,kenya,KE,Kakamega County,kakamega-county,Butere,butere
Kenya,kenya,KE,Kakamega County,kakamega-county,Kakamega,kakamega
Kenya,kenya,KE,Kakamega County,kakamega-county,Mumias,mumias
Kenya,kenya,KE,Kericho County,kericho-county,Kericho,kericho
Kenya,kenya,KE,Kericho County,kericho-county,Kipkelion,kipkelion
Kenya,kenya,KE,Kericho County,kericho-county,Litein,litein
Kenya,kenya,KE,Kericho County,kericho-county,Londiani,londiani
Kenya,kenya,KE,Kiambu County,kiambu-county,Kiambu,kiambu
Kenya,kenya,KE,Kiambu County,kiambu-county,Kikuyu,kikuyu
Kenya,kenya,KE,Kiambu County,kiambu-county,Limuru,limuru
Kenya,kenya,KE,Kilifi County,kilifi-county,Iten,iten
Kenya,kenya,KE,Kilifi County,kilifi-county,Kapsowar,kapsowar
Kenya,kenya,KE,Kilifi County,kilifi-county,Kilifi,kilifi
Kenya,kenya,KE,Kilifi County,kilifi-county,Malindi,malindi
Kenya,kenya,KE,Kilifi County,kilifi-county,Mariakani,mariakani
Kenya,kenya,KE,Kilifi County,kilifi-county,Takaungu,takaungu
