s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Ahmadi,al-ahmadi
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Fahahil,al-fahahil
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Fintas,al-fintas
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Mahbulah,al-mahbulah
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Manqaf,al-manqaf
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Al Wafrah,al-wafrah
Kuwait,kuwait,KW,Al Ahmadi Governorate,al-ahmadi-governorate,Ar Riqqah,ar-riqqah
Kuwait,kuwait,KW,Al Farwaniyah Governorate,al-farwaniyah-governorate,Al Farwaniyah,al-farwaniyah
Kuwait,kuwait,KW,Al Farwaniyah Governorate,al-farwaniyah-governorate,Janub as Surrah,janub-as-surrah
Kuwait,kuwait,KW,Al Jahra Governorate,al-jahra-governorate,Al Jahra,al-jahra
Kuwait,kuwait,KW,Capital Governorate,capital-governorate,Ad Dasmah,ad-dasmah
Kuwait,kuwait,KW,Capital Governorate,capital-governorate,Ar Rabiyah,ar-rabiyah
Kuwait,kuwait,KW,Capital Governorate,capital-governorate,Ash Shamiyah,ash-shamiyah
Kuwait,kuwait,KW,Capital Governorate,capital-governorate,Az Zawr,az-zawr
Kuwait,kuwait,KW,Capital Governorate,capital-governorate,Kuwait City,kuwait-city
Kuwait,kuwait,KW,Hawalli Governorate,hawalli-governorate,Ar Rumaythiyah,ar-rumaythiyah
Kuwait,kuwait,KW,Hawalli Governorate,hawalli-governorate,As Salimiyah,as-salimiyah
Kuwait,kuwait,KW,Hawalli Governorate,hawalli-governorate,Bayan,bayan
Kuwait,kuwait,KW,Hawalli Governorate,hawalli-governorate,Hawalli,hawalli
Kuwait,kuwait,KW,Hawalli Governorate,hawalli-governorate,Salwa,salwa
Kuwait,kuwait,KW,Mubarak Al-Kabeer Governorate,mubarak-al-kabeer-governorate,Abu Al Hasaniya,abu-al-hasaniya
Kuwait,kuwait,KW,Mubarak Al-Kabeer Governorate,mubarak-al-kabeer-governorate,Abu Fatira,abu-fatira
Kuwait,kuwait,KW,Mubarak Al-Kabeer Governorate,mubarak-al-kabeer-governorate,Al Funaytis,al-funaytis
Kuwait,kuwait,KW,Mubarak Al-Kabeer Governorate,mubarak-al-kabeer-governorate,Al-Masayel,al-masayel
Kuwait,kuwait,KW,Mubarak Al-Kabeer Governorate,mubarak-al-kabeer-governorate,Sabah as Salim,sabah-as-salim
