s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Liechtenstein,liechtenstein,LI,Balzers,balzers,Balzers,balzers
Liechtenstein,liechtenstein,LI,Eschen,eschen,Eschen,eschen
Liechtenstein,liechtenstein,LI,Gamprin,gamprin,Gamprin,gamprin
Liechtenstein,liechtenstein,LI,Mauren,mauren,Mauren,mauren
Liechtenstein,liechtenstein,LI,Planken,planken,Planken,planken
Liechtenstein,liechtenstein,LI,Ruggell,ruggell,Ruggell,ruggell
Liechtenstein,liechtenstein,LI,Schaan,schaan,Schaan,schaan
Liechtenstein,liechtenstein,LI,Schellenberg,schellenberg,Schellenberg,schellenberg
Liechtenstein,liechtenstein,LI,Triesen,triesen,Triesen,triesen
Liechtenstein,liechtenstein,LI,Triesenberg,triesenberg,Triesenberg,triesenberg
Liechtenstein,liechtenstein,LI,Vaduz,vaduz,Vaduz,vaduz
