s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Sri Lanka,sri-lanka,LK,Ampara District,ampara-district,Ampara District,ampara-district
Sri Lanka,sri-lanka,LK,Anuradhapura District,anuradhapura-district,Anuradhapura District,anuradhapura-district
Sri Lanka,sri-lanka,LK,Badulla District,badulla-district,Badulla District,badulla-district
Sri Lanka,sri-lanka,LK,Batticaloa District,batticaloa-district,Batticaloa District,batticaloa-district
Sri Lanka,sri-lanka,LK,Central Province,central-province,Dambulla,dambulla
Sri Lanka,sri-lanka,LK,Central Province,central-province,Gampola,gampola
Sri Lanka,sri-lanka,LK,Central Province,central-province,Hatton,hatton
Sri Lanka,sri-lanka,LK,Central Province,central-province,Kadugannawa,kadugannawa
Sri Lanka,sri-lanka,LK,Central Province,central-province,Kandy,kandy
Sri Lanka,sri-lanka,LK,Central Province,central-province,Kandy District,kandy-district
Sri Lanka,sri-lanka,LK,Central Province,central-province,Matale,matale
Sri Lanka,sri-lanka,LK,Central Province,central-province,Matale District,matale-district
Sri Lanka,sri-lanka,LK,Central Province,central-province,Nuwara Eliya,nuwara-eliya
Sri Lanka,sri-lanka,LK,Central Province,central-province,Nuwara Eliya District,nuwara-eliya-district
Sri Lanka,sri-lanka,LK,Central Province,central-province,Sigiriya,sigiriya
Sri Lanka,sri-lanka,LK,Central Province,central-province,Talawakele,talawakele
Sri Lanka,sri-lanka,LK,Colombo District,colombo-district,Colombo District,colombo-district
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Ampara,ampara
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Ampara District,ampara-district
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Batticaloa,batticaloa
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Batticaloa District,batticaloa-district
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Eravur Town,eravur-town
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Kalmunai,kalmunai
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Trincomalee,trincomalee
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Trincomalee District,trincomalee-district
Sri Lanka,sri-lanka,LK,Eastern Province,eastern-province,Vakarai,vakarai
Sri Lanka,sri-lanka,LK,Galle District,galle-district,Galle District,galle-district
Sri Lanka,sri-lanka,LK,Gampaha District,gampaha-district,Gampaha District,gampaha-district
Sri Lanka,sri-lanka,LK,Hambantota District,hambantota-district,Hambantota District,hambantota-district
Sri Lanka,sri-lanka,LK,Jaffna District,jaffna-district,Jaffna District,jaffna-district
Sri Lanka,sri-lanka,LK,Kalutara District,kalutara-district,Kalutara District,kalutara-district
Sri Lanka,sri-lanka,LK,Kandy District,kandy-district,Kandy District,kandy-district
Sri Lanka,sri-lanka,LK,Kegalle District,kegalle-district,Kegalle District,kegalle-district
Sri Lanka,sri-lanka,LK,Kilinochchi District,kilinochchi-district,Kilinochchi District,kilinochchi-district
Sri Lanka,sri-lanka,LK,Mannar District,mannar-district,Mannar District,mannar-district
Sri Lanka,sri-lanka,LK,Matale District,matale-district,Matale District,matale-district
Sri Lanka,sri-lanka,LK,Matara District,matara-district,Matara District,matara-district
Sri Lanka,sri-lanka,LK,Monaragala District,monaragala-district,Monaragala District,monaragala-district
Sri Lanka,sri-lanka,LK,Mullaitivu District,mullaitivu-district,Mullaitivu District,mullaitivu-district
Sri Lanka,sri-lanka,LK,North Central Province,north-central-province,Anuradhapura,anuradhapura
Sri Lanka,sri-lanka,LK,North Central Province,north-central-province,Anuradhapura District,anuradhapura-district
Sri Lanka,sri-lanka,LK,North Central Province,north-central-province,Mihintale,mihintale
Sri Lanka,sri-lanka,LK,North Central Province,north-central-province,Polonnaruwa,polonnaruwa
Sri Lanka,sri-lanka,LK,North Central Province,north-central-province,Polonnaruwa District,polonnaruwa-district
Sri Lanka,sri-lanka,LK,North Western Province,north-western-province,Chilaw,chilaw
Sri Lanka,sri-lanka,LK,North Western Province,north-western-province,Kuliyapitiya,kuliyapitiya
