s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Latvia,latvia,LV,Aglona Municipality,aglona-municipality,Aglona,aglona
Latvia,latvia,LV,Aizkraukle Municipality,aizkraukle-municipality,Aizkraukle,aizkraukle
Latvia,latvia,LV,Aizpute Municipality,aizpute-municipality,Aizpute,aizpute
Latvia,latvia,LV,Akniste Municipality,akniste-municipality,Akniste,akniste
Latvia,latvia,LV,Aloja Municipality,aloja-municipality,Aloja,aloja
Latvia,latvia,LV,Aloja Municipality,aloja-municipality,Staicele,staicele
Latvia,latvia,LV,Alsunga Municipality,alsunga-municipality,Alsunga,alsunga
Latvia,latvia,LV,Aluksne Municipality,aluksne-municipality,Aluksne,aluksne
Latvia,latvia,LV,Amata Municipality,amata-municipality,Amata Municipality,amata-municipality
Latvia,latvia,LV,Ape Municipality,ape-municipality,Ape,ape
Latvia,latvia,LV,Auce Municipality,auce-municipality,Auce,auce
Latvia,latvia,LV,Babite Municipality,babite-municipality,Pinki,pinki
Latvia,latvia,LV,Baldone Municipality,baldone-municipality,Baldone,baldone
Latvia,latvia,LV,Baltinava Municipality,baltinava-municipality,Baltinava,baltinava
Latvia,latvia,LV,Balvi Municipality,balvi-municipality,Balvi,balvi
Latvia,latvia,LV,Bauska Municipality,bauska-municipality,Bauska,bauska
Latvia,latvia,LV,Beverina Municipality,beverina-municipality,Murmuiza,murmuiza
Latvia,latvia,LV,Broceni Municipality,broceni-municipality,Broceni,broceni
Latvia,latvia,LV,Burtnieki Municipality,burtnieki-municipality,Burtnieki Municipality,burtnieki-municipality
Latvia,latvia,LV,Carnikava Municipality,carnikava-municipality,Carnikava,carnikava
Latvia,latvia,LV,Cesis Municipality,cesis-municipality,Cesis,cesis
Latvia,latvia,LV,Cesvaine Municipality,cesvaine-municipality,Cesvaine,cesvaine
Latvia,latvia,LV,Cibla Municipality,cibla-municipality,Cibla,cibla
Latvia,latvia,LV,Dagda Municipality,dagda-municipality,Dagda,dagda
Latvia,latvia,LV,Daugavpils,daugavpils,Daugavpils,daugavpils
Latvia,latvia,LV,Daugavpils Municipality,daugavpils-municipality,Daugavpils,daugavpils
Latvia,latvia,LV,Dobele Municipality,dobele-municipality,Dobele,dobele
Latvia,latvia,LV,Dundaga Municipality,dundaga-municipality,Dundaga,dundaga
Latvia,latvia,LV,Durbe Municipality,durbe-municipality,Liegi,liegi
Latvia,latvia,LV,Engure Municipality,engure-municipality,Smarde,smarde
Latvia,latvia,LV,Ergli Municipality,ergli-municipality,Ergli,ergli
Latvia,latvia,LV,Garkalne Municipality,garkalne-municipality,Garkalne,garkalne
Latvia,latvia,LV,Grobina Municipality,grobina-municipality,Grobina,grobina
Latvia,latvia,LV,Gulbene Municipality,gulbene-municipality,Gulbene,gulbene
Latvia,latvia,LV,Iecava Municipality,iecava-municipality,Iecava,iecava
Latvia,latvia,LV,Ikskile Municipality,ikskile-municipality,Ikskile,ikskile
Latvia,latvia,LV,Ilukste Municipality,ilukste-municipality,Ilukste,ilukste
Latvia,latvia,LV,Incukalns Municipality,incukalns-municipality,Incukalns,incukalns
Latvia,latvia,LV,Incukalns Municipality,incukalns-municipality,Vangazi,vangazi
Latvia,latvia,LV,Jaunjelgava Municipality,jaunjelgava-municipality,Jaunjelgava,jaunjelgava
Latvia,latvia,LV,Jaunpiebalga Municipality,jaunpiebalga-municipality,Jaunpiebalga Municipality,jaunpiebalga-municipality
Latvia,latvia,LV,Jaunpils Municipality,jaunpils-municipality,Jaunpils,jaunpils
Latvia,latvia,LV,Jekabpils,jekabpils,Jekabpils,jekabpils
Latvia,latvia,LV,Jekabpils Municipality,jekabpils-municipality,Jekabpils,jekabpils
Latvia,latvia,LV,Jekabpils Municipality,jekabpils-municipality,Krustpils,krustpils
Latvia,latvia,LV,Jelgava,jelgava,Jelgava,jelgava
Latvia,latvia,LV,Jelgava Municipality,jelgava-municipality,Tireli,tireli
Latvia,latvia,LV,Jurmala,jurmala,Jurmala,jurmala
Latvia,latvia,LV,Kandava Municipality,kandava-municipality,Kandava,kandava
Latvia,latvia,LV,Karsava Municipality,karsava-municipality,Karsava,karsava
Latvia,latvia,LV,Kegums Municipality,kegums-municipality,Kegums,kegums
Latvia,latvia,LV,Kekava Municipality,kekava-municipality,Balozi,balozi
Latvia,latvia,LV,Kekava Municipality,kekava-municipality,Kekava,kekava
Latvia,latvia,LV,Koceni Municipality,koceni-municipality,Koceni,koceni
Latvia,latvia,LV,Koknese Municipality,koknese-municipality,Koknese,koknese
Latvia,latvia,LV,Kraslava Municipality,kraslava-municipality,Kraslava,kraslava
Latvia,latvia,LV,Krimulda Municipality,krimulda-municipality,Krimulda Municipality,krimulda-municipality
Latvia,latvia,LV,Krustpils Municipality,krustpils-municipality,Krustpils Municipality,krustpils-municipality
Latvia,latvia,LV,Kuldiga Municipality,kuldiga-municipality,Kuldiga,kuldiga
Latvia,latvia,LV,Lielvarde Municipality,lielvarde-municipality,Lielvarde,lielvarde
Latvia,latvia,LV,Liepaja,liepaja,Karosta,karosta
Latvia,latvia,LV,Liepaja,liepaja,Liepaja,liepaja
Latvia,latvia,LV,Ligatne Municipality,ligatne-municipality,Ligatne,ligatne
Latvia,latvia,LV,Limbazi Municipality,limbazi-municipality,Limbazi,limbazi
Latvia,latvia,LV,Livani Municipality,livani-municipality,Livani,livani
Latvia,latvia,LV,Lubana Municipality,lubana-municipality,Lubana,lubana
Latvia,latvia,LV,Ludza Municipality,ludza-municipality,Ludza,ludza
Latvia,latvia,LV,Madona Municipality,madona-municipality,Madona,madona
Latvia,latvia,LV,Malpils Municipality,malpils-municipality,Malpils,malpils
Latvia,latvia,LV,Marupe Municipality,marupe-municipality,Marupe,marupe
Latvia,latvia,LV,Mazsalaca Municipality,mazsalaca-municipality,Mazsalaca,mazsalaca
Latvia,latvia,LV,Mersrags Municipality,mersrags-municipality,Mersrags Municipality,mersrags-municipality
Latvia,latvia,LV,Naukseni Municipality,naukseni-municipality,Naukseni,naukseni
Latvia,latvia,LV,Nereta Municipality,nereta-municipality,Nereta,nereta
Latvia,latvia,LV,Nica Municipality,nica-municipality,Nica,nica
Latvia,latvia,LV,Ogre Municipality,ogre-municipality,Jumprava,jumprava
Latvia,latvia,LV,Ogre Municipality,ogre-municipality,Ogre,ogre
Latvia,latvia,LV,Olaine Municipality,olaine-municipality,Olaine,olaine
Latvia,latvia,LV,Ozolnieki Municipality,ozolnieki-municipality,Ozolnieki,ozolnieki
Latvia,latvia,LV,Pargauja Municipality,pargauja-municipality,Stalbe,stalbe
Latvia,latvia,LV,Pavilosta Municipality,pavilosta-municipality,Pavilosta,pavilosta
Latvia,latvia,LV,Plavinas Municipality,plavinas-municipality,Plavinas,plavinas
Latvia,latvia,LV,Preili Municipality,preili-municipality,Jaunaglona,jaunaglona
Latvia,latvia,LV,Preili Municipality,preili-municipality,Preili,preili
Latvia,latvia,LV,Priekule Municipality,priekule-municipality,Priekule,priekule
Latvia,latvia,LV,Priekuli Municipality,priekuli-municipality,Priekuli,priekuli
Latvia,latvia,LV,Rauna Municipality,rauna-municipality,Rauna,rauna
Latvia,latvia,LV,Rezekne,rezekne,Rezekne,rezekne
Latvia,latvia,LV,Rezekne Municipality,rezekne-municipality,Rezekne Municipality,rezekne-municipality
Latvia,latvia,LV,Riebini Municipality,riebini-municipality,Riebini,riebini
Latvia,latvia,LV,Riga,riga,Bolderaja,bolderaja
Latvia,latvia,LV,Riga,riga,Daugavgriva,daugavgriva
Latvia,latvia,LV,Riga,riga,Jaunciems,jaunciems
Latvia,latvia,LV,Riga,riga,Mezaparks,mezaparks
Latvia,latvia,LV,Riga,riga,Riga,riga
Latvia,latvia,LV,Roja Municipality,roja-municipality,Roja,roja
Latvia,latvia,LV,Ropazi Municipality,ropazi-municipality,Ropazi,ropazi
Latvia,latvia,LV,Rucava Municipality,rucava-municipality,Rucava,rucava
Latvia,latvia,LV,Rugaji Municipality,rugaji-municipality,Rugaji,rugaji
Latvia,latvia,LV,Rujiena Municipality,rujiena-municipality,Rujiena,rujiena
Latvia,latvia,LV,Rundale Municipality,rundale-municipality,Pilsrundale,pilsrundale
Latvia,latvia,LV,Sala Municipality,sala-municipality,Sala Municipality,sala-municipality
Latvia,latvia,LV,Salacgriva Municipality,salacgriva-municipality,Ainazi,ainazi
Latvia,latvia,LV,Salacgriva Municipality,salacgriva-municipality,Salacgriva,salacgriva
Latvia,latvia,LV,Salaspils Municipality,salaspils-municipality,Salaspils,salaspils
Latvia,latvia,LV,Saldus Municipality,saldus-municipality,Saldus,saldus
Latvia,latvia,LV,Saulkrasti Municipality,saulkrasti-municipality,Saulkrasti,saulkrasti
Latvia,latvia,LV,Seja Municipality,seja-municipality,Engure,engure
Latvia,latvia,LV,Seja Municipality,seja-municipality,Tukums,tukums
Latvia,latvia,LV,Sigulda Municipality,sigulda-municipality,Sigulda,sigulda
Latvia,latvia,LV,Skriveri Municipality,skriveri-municipality,Skriveri,skriveri
Latvia,latvia,LV,Skrunda Municipality,skrunda-municipality,Skrunda,skrunda
Latvia,latvia,LV,Smiltene Municipality,smiltene-municipality,Smiltene,smiltene
Latvia,latvia,LV,Stopini Municipality,stopini-municipality,Ulbroka,ulbroka
Latvia,latvia,LV,Strenci Municipality,strenci-municipality,Seda,seda
Latvia,latvia,LV,Strenci Municipality,strenci-municipality,Strenci,strenci
Latvia,latvia,LV,Talsi Municipality,talsi-municipality,Sabile,sabile
Latvia,latvia,LV,Talsi Municipality,talsi-municipality,Stende,stende
Latvia,latvia,LV,Talsi Municipality,talsi-municipality,Talsi,talsi
Latvia,latvia,LV,Talsi Municipality,talsi-municipality,Valdemarpils,valdemarpils
Latvia,latvia,LV,Tervete Municipality,tervete-municipality,Tervete,tervete
Latvia,latvia,LV,Tervete Municipality,tervete-municipality,Zelmeni,zelmeni
Latvia,latvia,LV,Tukums Municipality,tukums-municipality,Tukums Municipality,tukums-municipality
Latvia,latvia,LV,Vainode Municipality,vainode-municipality,Vainode,vainode
Latvia,latvia,LV,Valka Municipality,valka-municipality,Valka,valka
Latvia,latvia,LV,Valmiera,valmiera,Valmiera,valmiera
Latvia,latvia,LV,Varaklani Municipality,varaklani-municipality,Varaklani,varaklani
Latvia,latvia,LV,Varkava Municipality,varkava-municipality,Vecvarkava,vecvarkava
Latvia,latvia,LV,Vecpiebalga Municipality,vecpiebalga-municipality,Vecpiebalga,vecpiebalga
Latvia,latvia,LV,Vecumnieki Municipality,vecumnieki-municipality,Vecumnieki,vecumnieki
Latvia,latvia,LV,Ventspils,ventspils,Ventspils,ventspils
Latvia,latvia,LV,Ventspils Municipality,ventspils-municipality,Piltene,piltene
Latvia,latvia,LV,Viesite Municipality,viesite-municipality,Viesite,viesite
Latvia,latvia,LV,Vilaka Municipality,vilaka-municipality,Vilaka,vilaka
Latvia,latvia,LV,Vilani Municipality,vilani-municipality,Vilani,vilani
Latvia,latvia,LV,Zilupe Municipality,zilupe-municipality,Zilupe,zilupe
