s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Libya,libya,LY,Al Wahat District,al-wahat-district,Ajdabiya,ajdabiya
Libya,libya,LY,Al Wahat District,al-wahat-district,Al Burayqah,al-burayqah
Libya,libya,LY,Al Wahat District,al-wahat-district,Awjilah,awjilah
Libya,libya,LY,Al Wahat District,al-wahat-district,Az Zuwaytinah,az-zuwaytinah
Libya,libya,LY,Al Wahat District,al-wahat-district,Gialo,gialo
Libya,libya,LY,Al Wahat District,al-wahat-district,Maradah,maradah
Libya,libya,LY,Benghazi,benghazi,Benghazi,benghazi
Libya,libya,LY,Benghazi,benghazi,Qaryat Suluq,qaryat-suluq
Libya,libya,LY,Derna District,derna-district,Al Qubbah,al-qubbah
Libya,libya,LY,Derna District,derna-district,Darnah,darnah
Libya,libya,LY,Ghat District,ghat-district,Ghat,ghat
Libya,libya,LY,Jabal al Akhdar,jabal-al-akhdar,Al Bayda,al-bayda
Libya,libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Gharyan,gharyan
Libya,libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Giado,giado
Libya,libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Mizdah,mizdah
Libya,libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Yafran,yafran
Libya,libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Zintan,zintan
Libya,libya,LY,Jafara,jafara,Al Aziziyah,al-aziziyah
Libya,libya,LY,Jufra,jufra,Hun,hun
Libya,libya,LY,Jufra,jufra,Waddan,waddan
Libya,libya,LY,Kufra District,kufra-district,Al Jawf,al-jawf
Libya,libya,LY,Kufra District,kufra-district,At Taj,at-taj
Libya,libya,LY,Marj District,marj-district,Al Abyar,al-abyar
Libya,libya,LY,Marj District,marj-district,Al Marj,al-marj
Libya,libya,LY,Marj District,marj-district,Tukrah,tukrah
Libya,libya,LY,Misrata District,misrata-district,Bani Walid,bani-walid
Libya,libya,LY,Misrata District,misrata-district,Misratah,misratah
Libya,libya,LY,Misrata District,misrata-district,Zliten,zliten
Libya,libya,LY,Murqub,murqub,Al Khums,al-khums
Libya,libya,LY,Murqub,murqub,Masallatah,masallatah
Libya,libya,LY,Murqub,murqub,Tarhuna,tarhuna
Libya,libya,LY,Murzuq District,murzuq-district,Al Qatrun,al-qatrun
Libya,libya,LY,Murzuq District,murzuq-district,Murzuq,murzuq
Libya,libya,LY,Nalut District,nalut-district,Ghadamis,ghadamis
Libya,libya,LY,Nalut District,nalut-district,Nalut,nalut
Libya,libya,LY,Nuqat al Khams,nuqat-al-khams,Al Ajaylat,al-ajaylat
Libya,libya,LY,Nuqat al Khams,nuqat-al-khams,Zaltan,zaltan
Libya,libya,LY,Nuqat al Khams,nuqat-al-khams,Zuwarah,zuwarah
Libya,libya,LY,Sabha District,sabha-district,Al Jadid,al-jadid
Libya,libya,LY,Sabha District,sabha-district,Sabha,sabha
Libya,libya,LY,Sirte District,sirte-district,Qasr Abu Hadi,qasr-abu-hadi
Libya,libya,LY,Sirte District,sirte-district,Sirte,sirte
Libya,libya,LY,Tripoli District,tripoli-district,Tagiura,tagiura
Libya,libya,LY,Tripoli District,tripoli-district,Tripoli,tripoli
Libya,libya,LY,Wadi al Hayaa District,wadi-al-hayaa-district,Ubari,ubari
Libya,libya,LY,Wadi al Shatii District,wadi-al-shatii-district,Brak,brak
Libya,libya,LY,Wadi al Shatii District,wadi-al-shatii-district,Idri,idri
Libya,libya,LY,Zawiya District,zawiya-district,Az Zawiyah,az-zawiyah
Libya,libya,LY,Zawiya District,zawiya-district,Sabratah,sabratah
Libya,libya,LY,Zawiya District,zawiya-district,Surman,surman
Libya,libya,LY,Zawiya District,zawiya-district,Zawiya,zawiya
