s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mali,mali,ML,Bamako,bamako,Bamako,bamako
Mali,mali,ML,Gao Region,gao-region,Ansongo,ansongo
Mali,mali,ML,Gao Region,gao-region,Cercle de Bourem,cercle-de-bourem
Mali,mali,ML,Gao Region,gao-region,Gao,gao
Mali,mali,ML,Gao Region,gao-region,Gao Cercle,gao-cercle
Mali,mali,ML,Gao Region,gao-region,Inekar,inekar
Mali,mali,ML,Kayes Region,kayes-region,Bafoulabe,bafoulabe
Mali,mali,ML,Kayes Region,kayes-region,Kayes,kayes
Mali,mali,ML,Kayes Region,kayes-region,Kita,kita
Mali,mali,ML,Kayes Region,kayes-region,Kokofata,kokofata
Mali,mali,ML,Kayes Region,kayes-region,Sagalo,sagalo
Mali,mali,ML,Kidal Region,kidal-region,Abeibara,abeibara
Mali,mali,ML,Kidal Region,kidal-region,Cercle dAbeibara,cercle-dabeibara
Mali,mali,ML,Kidal Region,kidal-region,Kidal,kidal
Mali,mali,ML,Koulikoro Region,koulikoro-region,Banamba,banamba
Mali,mali,ML,Koulikoro Region,koulikoro-region,Kangaba,kangaba
Mali,mali,ML,Koulikoro Region,koulikoro-region,Kati,kati
Mali,mali,ML,Koulikoro Region,koulikoro-region,Kolokani,kolokani
Mali,mali,ML,Koulikoro Region,koulikoro-region,Koulikoro,koulikoro
Mali,mali,ML,Menaka Region,menaka-region,Menaka Region,menaka-region
Mali,mali,ML,Mopti Region,mopti-region,Bandiagara,bandiagara
Mali,mali,ML,Mopti Region,mopti-region,Djenne,djenne
Mali,mali,ML,Mopti Region,mopti-region,Douentza,douentza
Mali,mali,ML,Mopti Region,mopti-region,Douentza Cercle,douentza-cercle
Mali,mali,ML,Mopti Region,mopti-region,Mopti,mopti
Mali,mali,ML,Mopti Region,mopti-region,Tenenkou,tenenkou
Mali,mali,ML,Segou Region,segou-region,Baroueli,baroueli
Mali,mali,ML,Segou Region,segou-region,Cercle de San,cercle-de-san
Mali,mali,ML,Segou Region,segou-region,Ke-Macina,ke-macina
Mali,mali,ML,Segou Region,segou-region,Kinmparana,kinmparana
Mali,mali,ML,Segou Region,segou-region,Markala,markala
Mali,mali,ML,Segou Region,segou-region,San,san
Mali,mali,ML,Segou Region,segou-region,Segou,segou
Mali,mali,ML,Segou Region,segou-region,Sokolo,sokolo
Mali,mali,ML,Sikasso Region,sikasso-region,Bougouni,bougouni
Mali,mali,ML,Sikasso Region,sikasso-region,Kolondieba,kolondieba
Mali,mali,ML,Sikasso Region,sikasso-region,Koutiala,koutiala
Mali,mali,ML,Sikasso Region,sikasso-region,Koutiala Cercle,koutiala-cercle
Mali,mali,ML,Sikasso Region,sikasso-region,Ntossoni,ntossoni
Mali,mali,ML,Sikasso Region,sikasso-region,Sikasso,sikasso
Mali,mali,ML,Sikasso Region,sikasso-region,Yorosso,yorosso
Mali,mali,ML,Taoudenit Region,taoudenit-region,Taoudenit Region,taoudenit-region
Mali,mali,ML,Tombouctou Region,tombouctou-region,Araouane,araouane
Mali,mali,ML,Tombouctou Region,tombouctou-region,Cercle de Goundam,cercle-de-goundam
Mali,mali,ML,Tombouctou Region,tombouctou-region,Dire,dire
Mali,mali,ML,Tombouctou Region,tombouctou-region,Dire,dire
Mali,mali,ML,Tombouctou Region,tombouctou-region,Goundam,goundam
Mali,mali,ML,Tombouctou Region,tombouctou-region,Gourma-Rharous Cercle,gourma-rharous-cercle
Mali,mali,ML,Tombouctou Region,tombouctou-region,Niafunke,niafunke
Mali,mali,ML,Tombouctou Region,tombouctou-region,Timbuktu,timbuktu
