s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mongolia,mongolia,MN,Arkhangai Province,arkhangai-province,Tsetserleg,tsetserleg
Mongolia,mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Altay,altay
Mongolia,mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Olgii,olgii
Mongolia,mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Tsengel,tsengel
Mongolia,mongolia,MN,Bayankhongor Province,bayankhongor-province,Bayanhongor,bayanhongor
Mongolia,mongolia,MN,Bulgan Province,bulgan-province,Bulgan,bulgan
Mongolia,mongolia,MN,Darkhan-Uul Province,darkhan-uul-province,Darhan,darhan
Mongolia,mongolia,MN,Dornod Province,dornod-province,Choibalsan,choibalsan
Mongolia,mongolia,MN,Dornod Province,dornod-province,Ereencav,ereencav
Mongolia,mongolia,MN,Dornogovi Province,dornogovi-province,Dornogovi Province,dornogovi-province
Mongolia,mongolia,MN,Dundgovi Province,dundgovi-province,Mandalgovi,mandalgovi
Mongolia,mongolia,MN,Govi-Altai Province,govi-altai-province,Altai,altai
Mongolia,mongolia,MN,Govisumber Province,govisumber-province,Choyr,choyr
Mongolia,mongolia,MN,Khentii Province,khentii-province,Undurkhaan,undurkhaan
Mongolia,mongolia,MN,Khovd Province,khovd-province,Khovd,khovd
Mongolia,mongolia,MN,Khovd Province,khovd-province,Most,most
Mongolia,mongolia,MN,Khovd Province,khovd-province,Uyonch,uyonch
Mongolia,mongolia,MN,Khovsgol Province,khovsgol-province,Hanh,hanh
Mongolia,mongolia,MN,Khovsgol Province,khovsgol-province,Murun-kuren,murun-kuren
Mongolia,mongolia,MN,Khovsgol Province,khovsgol-province,Tsengel,tsengel
Mongolia,mongolia,MN,Khovsgol Province,khovsgol-province,Turt,turt
Mongolia,mongolia,MN,Omnogovi Province,omnogovi-province,Dalandzadgad,dalandzadgad
Mongolia,mongolia,MN,Omnogovi Province,omnogovi-province,Hanhongor,hanhongor
Mongolia,mongolia,MN,Omnogovi Province,omnogovi-province,Nomgon Sum,nomgon-sum
Mongolia,mongolia,MN,Orkhon Province,orkhon-province,Erdenet,erdenet
Mongolia,mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Arvayheer,arvayheer
Mongolia,mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Harhorin,harhorin
Mongolia,mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Hovd,hovd
Mongolia,mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Kharkhorin,kharkhorin
Mongolia,mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Nariynteel,nariynteel
Mongolia,mongolia,MN,Selenge Province,selenge-province,Dzuunharaa,dzuunharaa
Mongolia,mongolia,MN,Selenge Province,selenge-province,Suhbaatar,suhbaatar
Mongolia,mongolia,MN,Sukhbaatar Province,sukhbaatar-province,Baruun-Urt,baruun-urt
Mongolia,mongolia,MN,Tov Province,tov-province,Dzuunmod,dzuunmod
Mongolia,mongolia,MN,Tov Province,tov-province,Mongonmorit,mongonmorit
Mongolia,mongolia,MN,Tov Province,tov-province,Ulaanhudag,ulaanhudag
Mongolia,mongolia,MN,Tov Province,tov-province,Zuunmod,zuunmod
Mongolia,mongolia,MN,Uvs Province,uvs-province,Ulaangom,ulaangom
Mongolia,mongolia,MN,Zavkhan Province,zavkhan-province,Uliastay,uliastay
