s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mozambique,mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Chiure,chiure
Mozambique,mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Mocimboa,mocimboa
Mozambique,mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Montepuez,montepuez
Mozambique,mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Pemba,pemba
Mozambique,mozambique,MZ,Gaza Province,gaza-province,Chibuto,chibuto
Mozambique,mozambique,MZ,Gaza Province,gaza-province,Chokwe,chokwe
Mozambique,mozambique,MZ,Gaza Province,gaza-province,Macia,macia
Mozambique,mozambique,MZ,Gaza Province,gaza-province,Xai-Xai,xai-xai
Mozambique,mozambique,MZ,Inhambane Province,inhambane-province,Inhambane,inhambane
Mozambique,mozambique,MZ,Inhambane Province,inhambane-province,Maxixe,maxixe
Mozambique,mozambique,MZ,Manica Province,manica-province,Chimoio,chimoio
Mozambique,mozambique,MZ,Maputo,maputo,KaTembe,katembe
Mozambique,mozambique,MZ,Maputo,maputo,Maputo,maputo
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Boane District,boane-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Concelho de Matola,concelho-de-matola
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Magude District,magude-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Manhica,manhica
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Marracuene District,marracuene-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Matola,matola
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Matutiune District,matutiune-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Moamba District,moamba-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Namaacha District,namaacha-district
Mozambique,mozambique,MZ,Maputo Province,maputo-province,Ressano Garcia,ressano-garcia
Mozambique,mozambique,MZ,Nampula Province,nampula-province,Antonio Enes,antonio-enes
Mozambique,mozambique,MZ,Nampula Province,nampula-province,Ilha de Mocambique,ilha-de-mocambique
Mozambique,mozambique,MZ,Nampula Province,nampula-province,Mutuali,mutuali
Mozambique,mozambique,MZ,Nampula Province,nampula-province,Nacala,nacala
Mozambique,mozambique,MZ,Nampula Province,nampula-province,Nampula,nampula
Mozambique,mozambique,MZ,Niassa Province,niassa-province,Cuamba,cuamba
Mozambique,mozambique,MZ,Niassa Province,niassa-province,Lichinga,lichinga
Mozambique,mozambique,MZ,Niassa Province,niassa-province,Mandimba,mandimba
Mozambique,mozambique,MZ,Sofala Province,sofala-province,Beira,beira
Mozambique,mozambique,MZ,Sofala Province,sofala-province,Dondo,dondo
Mozambique,mozambique,MZ,Sofala Province,sofala-province,Nhamatanda District,nhamatanda-district
Mozambique,mozambique,MZ,Tete Province,tete-province,Tete,tete
Mozambique,mozambique,MZ,Zambezia Province,zambezia-province,Alto Molocue,alto-molocue
Mozambique,mozambique,MZ,Zambezia Province,zambezia-province,Chinde,chinde
Mozambique,mozambique,MZ,Zambezia Province,zambezia-province,Quelimane,quelimane
