s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Niger,niger,NE,Agadez Region,agadez-region,Agadez,agadez
Niger,niger,NE,Agadez Region,agadez-region,Alaghsas,alaghsas
Niger,niger,NE,Agadez Region,agadez-region,Arlit,arlit
Niger,niger,NE,Agadez Region,agadez-region,Bilma,bilma
Niger,niger,NE,Agadez Region,agadez-region,Departement de Bilma,departement-de-bilma
Niger,niger,NE,Agadez Region,agadez-region,Departement de Tchirozerine,departement-de-tchirozerine
Niger,niger,NE,Diffa Region,diffa-region,Departement de Diffa,departement-de-diffa
Niger,niger,NE,Diffa Region,diffa-region,Departement de Maine-Soroa,departement-de-maine-soroa
Niger,niger,NE,Diffa Region,diffa-region,Departement de Nguigmi,departement-de-nguigmi
Niger,niger,NE,Diffa Region,diffa-region,Diffa,diffa
Niger,niger,NE,Diffa Region,diffa-region,Maine Soroa,maine-soroa
Niger,niger,NE,Diffa Region,diffa-region,Nguigmi,nguigmi
Niger,niger,NE,Dosso Region,dosso-region,Boboye Department,boboye-department
Niger,niger,NE,Dosso Region,dosso-region,Departement de Dogondoutchi,departement-de-dogondoutchi
Niger,niger,NE,Dosso Region,dosso-region,Departement de Dosso,departement-de-dosso
Niger,niger,NE,Dosso Region,dosso-region,Departement de Gaya,departement-de-gaya
Niger,niger,NE,Dosso Region,dosso-region,Departement de Loga,departement-de-loga
Niger,niger,NE,Dosso Region,dosso-region,Dogondoutchi,dogondoutchi
Niger,niger,NE,Dosso Region,dosso-region,Dosso,dosso
Niger,niger,NE,Dosso Region,dosso-region,Gaya,gaya
Niger,niger,NE,Maradi Region,maradi-region,Aguie,aguie
Niger,niger,NE,Maradi Region,maradi-region,Dakoro,dakoro
Niger,niger,NE,Maradi Region,maradi-region,Departement dAguie,departement-daguie
Niger,niger,NE,Maradi Region,maradi-region,Departement de Dakoro,departement-de-dakoro
Niger,niger,NE,Maradi Region,maradi-region,Departement de Mayahi,departement-de-mayahi
Niger,niger,NE,Maradi Region,maradi-region,Departement de Tessaoua,departement-de-tessaoua
Niger,niger,NE,Maradi Region,maradi-region,Guidan Roumdji Department,guidan-roumdji-department
Niger,niger,NE,Maradi Region,maradi-region,Madarounfa,madarounfa
Niger,niger,NE,Maradi Region,maradi-region,Maradi,maradi
Niger,niger,NE,Maradi Region,maradi-region,Mayahi,mayahi
Niger,niger,NE,Maradi Region,maradi-region,Tessaoua,tessaoua
Niger,niger,NE,Maradi Region,maradi-region,Tibiri,tibiri
Niger,niger,NE,Tahoua Region,tahoua-region,Abalak,abalak
Niger,niger,NE,Tahoua Region,tahoua-region,Birni N Konni,birni-n-konni
Niger,niger,NE,Tahoua Region,tahoua-region,Bouza,bouza
Niger,niger,NE,Tahoua Region,tahoua-region,Departement d' Illela,departement-d-illela
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Birni Nkonni,departement-de-birni-nkonni
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Bouza,departement-de-bouza
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Keita,departement-de-keita
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Madaoua,departement-de-madaoua
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Tahoua,departement-de-tahoua
Niger,niger,NE,Tahoua Region,tahoua-region,Departement de Tchin-Tabaraden,departement-de-tchin-tabaraden
Niger,niger,NE,Tahoua Region,tahoua-region,Illela,illela
Niger,niger,NE,Tahoua Region,tahoua-region,Keita,keita
Niger,niger,NE,Tahoua Region,tahoua-region,Madaoua,madaoua
Niger,niger,NE,Tahoua Region,tahoua-region,Tahoua,tahoua
Niger,niger,NE,Tahoua Region,tahoua-region,Tchintabaraden,tchintabaraden
Niger,niger,NE,Tillaberi Region,tillaberi-region,Ayorou,ayorou
Niger,niger,NE,Tillaberi Region,tillaberi-region,Balleyara,balleyara
Niger,niger,NE,Tillaberi Region,tillaberi-region,Departement de Filingue,departement-de-filingue
Niger,niger,NE,Tillaberi Region,tillaberi-region,Departement de Ouallam,departement-de-ouallam
Niger,niger,NE,Tillaberi Region,tillaberi-region,Departement de Say,departement-de-say
Niger,niger,NE,Tillaberi Region,tillaberi-region,Filingue,filingue
Niger,niger,NE,Tillaberi Region,tillaberi-region,Kollo,kollo
Niger,niger,NE,Tillaberi Region,tillaberi-region,Kollo Department,kollo-department
Niger,niger,NE,Tillaberi Region,tillaberi-region,Ouallam,ouallam
Niger,niger,NE,Tillaberi Region,tillaberi-region,Say,say
Niger,niger,NE,Tillaberi Region,tillaberi-region,Tera,tera
Niger,niger,NE,Tillaberi Region,tillaberi-region,Tera Department,tera-department
Niger,niger,NE,Tillaberi Region,tillaberi-region,Tillaberi,tillaberi
Niger,niger,NE,Tillaberi Region,tillaberi-region,Tillaberi Department,tillaberi-department
Niger,niger,NE,Zinder Region,zinder-region,Departement de Goure,departement-de-goure
Niger,niger,NE,Zinder Region,zinder-region,Departement de Kantche,departement-de-kantche
Niger,niger,NE,Zinder Region,zinder-region,Departement de Tanout,departement-de-tanout
Niger,niger,NE,Zinder Region,zinder-region,Goure,goure
Niger,niger,NE,Zinder Region,zinder-region,Magaria,magaria
Niger,niger,NE,Zinder Region,zinder-region,Matamey,matamey
Niger,niger,NE,Zinder Region,zinder-region,Mirriah,mirriah
Niger,niger,NE,Zinder Region,zinder-region,Tanout,tanout
Niger,niger,NE,Zinder Region,zinder-region,Zinder,zinder
