s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Nigeria,nigeria,NG,Abia State,abia-state,Aba,aba
Nigeria,nigeria,NG,Abia State,abia-state,Amaigbo,amaigbo
Nigeria,nigeria,NG,Abia State,abia-state,Arochukwu,arochukwu
Nigeria,nigeria,NG,Abia State,abia-state,Bende,bende
Nigeria,nigeria,NG,Abia State,abia-state,Ohafia-Ifigh,ohafia-ifigh
Nigeria,nigeria,NG,Abia State,abia-state,Umuahia,umuahia
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Ganye,ganye
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Gombi,gombi
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Holma,holma
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Jimeta,jimeta
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Madagali,madagali
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Mayo-Belwa,mayo-belwa
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Mubi,mubi
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Ngurore,ngurore
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Numan,numan
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Toungo,toungo
Nigeria,nigeria,NG,Adamawa State,adamawa-state,Yola,yola
Nigeria,nigeria,NG,Akwa Ibom State,akwa-ibom-state,Eket,eket
Nigeria,nigeria,NG,Akwa Ibom State,akwa-ibom-state,Esuk Oron,esuk-oron
Nigeria,nigeria,NG,Akwa Ibom State,akwa-ibom-state,Ikot Ekpene,ikot-ekpene
Nigeria,nigeria,NG,Akwa Ibom State,akwa-ibom-state,Itu,itu
Nigeria,nigeria,NG,Akwa Ibom State,akwa-ibom-state,Uyo,uyo
Nigeria,nigeria,NG,Anambra State,anambra-state,Agulu,agulu
Nigeria,nigeria,NG,Anambra State,anambra-state,Atani,atani
Nigeria,nigeria,NG,Anambra State,anambra-state,Awka,awka
Nigeria,nigeria,NG,Anambra State,anambra-state,Enugu-Ukwu,enugu-ukwu
Nigeria,nigeria,NG,Anambra State,anambra-state,Igbo-Ukwu,igbo-ukwu
Nigeria,nigeria,NG,Anambra State,anambra-state,Ihiala,ihiala
