s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Auckland,auckland
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Mangere,mangere
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Manukau City,manukau-city
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Muriwai Beach,muriwai-beach
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Murrays Bay,murrays-bay
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,North Shore,north-shore
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Pakuranga,pakuranga
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Papakura,papakura
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Parakai,parakai
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Pukekohe East,pukekohe-east
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Red Hill,red-hill
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Rosebank,rosebank
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Rothesay Bay,rothesay-bay
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Takanini,takanini
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Tamaki,tamaki
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Titirangi,titirangi
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Waitakere,waitakere
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Waiuku,waiuku
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Warkworth,warkworth
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Wellsford,wellsford
New Zealand,new-zealand,NZ,Auckland Region,auckland-region,Wiri,wiri
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Edgecumbe,edgecumbe
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Katikati,katikati
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Kawerau,kawerau
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Maketu,maketu
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Murupara,murupara
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Opotiki,opotiki
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Rotorua,rotorua
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Tauranga,tauranga
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Waihi Beach,waihi-beach
New Zealand,new-zealand,NZ,Bay of Plenty Region,bay-of-plenty-region,Whakatane,whakatane
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Amberley,amberley
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Ashburton,ashburton
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Ashburton District,ashburton-district
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Burnham,burnham
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Christchurch,christchurch
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Christchurch City,christchurch-city
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Darfield,darfield
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Geraldine,geraldine
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Kaiapoi,kaiapoi
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Leeston,leeston
New Zealand,new-zealand,NZ,Canterbury Region,canterbury-region,Lincoln,lincoln
