s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Peru,peru,PE,Amazonas,amazonas,Bagua Grande,bagua-grande
Peru,peru,PE,Amazonas,amazonas,Cajaruro,cajaruro
Peru,peru,PE,Amazonas,amazonas,Chachapoyas,chachapoyas
Peru,peru,PE,Amazonas,amazonas,Condorcanqui,condorcanqui
Peru,peru,PE,Amazonas,amazonas,La Peca,la-peca
Peru,peru,PE,Amazonas,amazonas,Provincia de Bagua,provincia-de-bagua
Peru,peru,PE,Amazonas,amazonas,Provincia de Bongara,provincia-de-bongara
Peru,peru,PE,Amazonas,amazonas,Provincia de Chachapoyas,provincia-de-chachapoyas
Peru,peru,PE,Amazonas,amazonas,Provincia de Luya,provincia-de-luya
Peru,peru,PE,Amazonas,amazonas,Provincia de Rodriguez de Mendoza,provincia-de-rodriguez-de-mendoza
Peru,peru,PE,Amazonas,amazonas,Utcubamba,utcubamba
Peru,peru,PE,Ancash,ancash,Asuncion,asuncion
Peru,peru,PE,Ancash,ancash,Caras,caras
Peru,peru,PE,Ancash,ancash,Carhuaz,carhuaz
Peru,peru,PE,Ancash,ancash,Carlos Fermin Fitzcarrald,carlos-fermin-fitzcarrald
Peru,peru,PE,Ancash,ancash,Chimbote,chimbote
Peru,peru,PE,Ancash,ancash,Coishco,coishco
Peru,peru,PE,Ancash,ancash,Huaraz,huaraz
Peru,peru,PE,Ancash,ancash,Huarmey,huarmey
Peru,peru,PE,Ancash,ancash,Pomabamba,pomabamba
Peru,peru,PE,Ancash,ancash,Provincia de Aija,provincia-de-aija
Peru,peru,PE,Ancash,ancash,Provincia de Antonio Raymondi,provincia-de-antonio-raymondi
Peru,peru,PE,Ancash,ancash,Provincia de Bolognesi,provincia-de-bolognesi
Peru,peru,PE,Ancash,ancash,Provincia de Carhuaz,provincia-de-carhuaz
Peru,peru,PE,Ancash,ancash,Provincia de Casma,provincia-de-casma
Peru,peru,PE,Ancash,ancash,Provincia de Corongo,provincia-de-corongo
Peru,peru,PE,Ancash,ancash,Provincia de Huaraz,provincia-de-huaraz
Peru,peru,PE,Ancash,ancash,Provincia de Huari,provincia-de-huari
Peru,peru,PE,Ancash,ancash,Provincia de Huarmey,provincia-de-huarmey
Peru,peru,PE,Ancash,ancash,Provincia de Huaylas,provincia-de-huaylas
Peru,peru,PE,Ancash,ancash,Provincia de Mariscal Luzuriaga,provincia-de-mariscal-luzuriaga
Peru,peru,PE,Ancash,ancash,Provincia de Pallasca,provincia-de-pallasca
Peru,peru,PE,Ancash,ancash,Provincia de Pomabamba,provincia-de-pomabamba
Peru,peru,PE,Ancash,ancash,Provincia de Recuay,provincia-de-recuay
Peru,peru,PE,Ancash,ancash,Provincia de Santa,provincia-de-santa
Peru,peru,PE,Ancash,ancash,Provincia de Sihuas,provincia-de-sihuas
Peru,peru,PE,Ancash,ancash,Provincia de Yungay,provincia-de-yungay
Peru,peru,PE,Ancash,ancash,Puerto Santa,puerto-santa
Peru,peru,PE,Ancash,ancash,Yauya,yauya
Peru,peru,PE,Ancash,ancash,Yungay,yungay
Peru,peru,PE,Apurimac,apurimac,Abancay,abancay
Peru,peru,PE,Apurimac,apurimac,Andahuaylas,andahuaylas
Peru,peru,PE,Apurimac,apurimac,Provincia de Abancay,provincia-de-abancay
Peru,peru,PE,Apurimac,apurimac,Provincia de Andahuaylas,provincia-de-andahuaylas
Peru,peru,PE,Apurimac,apurimac,Provincia de Antabamba,provincia-de-antabamba
Peru,peru,PE,Apurimac,apurimac,Provincia de Aymaraes,provincia-de-aymaraes
Peru,peru,PE,Apurimac,apurimac,Provincia de Cotabambas,provincia-de-cotabambas
Peru,peru,PE,Apurimac,apurimac,Provincia de Grau,provincia-de-grau
Peru,peru,PE,Apurimac,apurimac,San Jeronimo,san-jeronimo
Peru,peru,PE,Apurimac,apurimac,Talavera,talavera
Peru,peru,PE,Arequipa,arequipa,Acari,acari
Peru,peru,PE,Arequipa,arequipa,Arequipa,arequipa
Peru,peru,PE,Arequipa,arequipa,Camana,camana
Peru,peru,PE,Arequipa,arequipa,Ccolo,ccolo
Peru,peru,PE,Arequipa,arequipa,Chivay,chivay
Peru,peru,PE,Arequipa,arequipa,Cocachacra,cocachacra
Peru,peru,PE,Arequipa,arequipa,Cotahuasi,cotahuasi
Peru,peru,PE,Arequipa,arequipa,Huarancante,huarancante
Peru,peru,PE,Arequipa,arequipa,Huarichancara,huarichancara
Peru,peru,PE,Arequipa,arequipa,Jatun Orcochiri,jatun-orcochiri
Peru,peru,PE,Arequipa,arequipa,Jayune,jayune
Peru,peru,PE,Arequipa,arequipa,Llongasora,llongasora
Peru,peru,PE,Arequipa,arequipa,Lluta,lluta
Peru,peru,PE,Arequipa,arequipa,Mollendo,mollendo
Peru,peru,PE,Arequipa,arequipa,Orcopampa,orcopampa
Peru,peru,PE,Arequipa,arequipa,Provincia de Arequipa,provincia-de-arequipa
Peru,peru,PE,Arequipa,arequipa,Provincia de Camana,provincia-de-camana
Peru,peru,PE,Arequipa,arequipa,Provincia de Caraveli,provincia-de-caraveli
Peru,peru,PE,Arequipa,arequipa,Provincia de Castilla,provincia-de-castilla
Peru,peru,PE,Arequipa,arequipa,Provincia de Caylloma,provincia-de-caylloma
Peru,peru,PE,Arequipa,arequipa,Provincia de Condesuyos,provincia-de-condesuyos
Peru,peru,PE,Arequipa,arequipa,Provincia de Islay,provincia-de-islay
Peru,peru,PE,Arequipa,arequipa,Provincia de La Union,provincia-de-la-union
Peru,peru,PE,Arequipa,arequipa,Pucara,pucara
Peru,peru,PE,Arequipa,arequipa,Punta de Bombon,punta-de-bombon
Peru,peru,PE,Arequipa,arequipa,Vizcachane,vizcachane
Peru,peru,PE,Arequipa,arequipa,Yura,yura
Peru,peru,PE,Ayacucho,ayacucho,Ayacucho,ayacucho
Peru,peru,PE,Ayacucho,ayacucho,Ayna,ayna
Peru,peru,PE,Ayacucho,ayacucho,Coracora,coracora
Peru,peru,PE,Ayacucho,ayacucho,Huanta,huanta
Peru,peru,PE,Ayacucho,ayacucho,Paucar Del Sara Sara,paucar-del-sara-sara
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Cangallo,provincia-de-cangallo
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Huamanga,provincia-de-huamanga
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Huanca Sancos,provincia-de-huanca-sancos
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Huanta,provincia-de-huanta
Peru,peru,PE,Ayacucho,ayacucho,Provincia de La Mar,provincia-de-la-mar
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Lucanas,provincia-de-lucanas
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Parinacochas,provincia-de-parinacochas
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Sucre,provincia-de-sucre
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Victor Fajardo,provincia-de-victor-fajardo
Peru,peru,PE,Ayacucho,ayacucho,Provincia de Vilcas Huaman,provincia-de-vilcas-huaman
Peru,peru,PE,Ayacucho,ayacucho,Puquio,puquio
Peru,peru,PE,Ayacucho,ayacucho,San Miguel,san-miguel
Peru,peru,PE,Ayacucho,ayacucho,Tambo,tambo
Peru,peru,PE,Cajamarca,cajamarca,Bambamarca,bambamarca
Peru,peru,PE,Cajamarca,cajamarca,Bellavista,bellavista
Peru,peru,PE,Cajamarca,cajamarca,Cajabamba,cajabamba
Peru,peru,PE,Cajamarca,cajamarca,Cajamarca,cajamarca
Peru,peru,PE,Cajamarca,cajamarca,Celendin,celendin
Peru,peru,PE,Cajamarca,cajamarca,Chota,chota
Peru,peru,PE,Cajamarca,cajamarca,Jaen,jaen
Peru,peru,PE,Cajamarca,cajamarca,Provincia de Cajabamba,provincia-de-cajabamba
