s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Paraguay,paraguay,PY,Alto Paraguay Department,alto-paraguay-department,Capitan Pablo Lagerenza,capitan-pablo-lagerenza
Paraguay,paraguay,PY,Alto Paraguay Department,alto-paraguay-department,Fuerte Olimpo,fuerte-olimpo
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Cedrales,cedrales
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Ciudad del Este,ciudad-del-este
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Colonia Minga Pora,colonia-minga-pora
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Doctor Juan Leon Mallorquin,doctor-juan-leon-mallorquin
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Itakyry,itakyry
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Naranjal,naranjal
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Presidente Franco,presidente-franco
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,San Alberto,san-alberto
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Santa Rita,santa-rita
Paraguay,paraguay,PY,Alto Parana Department,alto-parana-department,Yguazu,yguazu
Paraguay,paraguay,PY,Amambay Department,amambay-department,Bella Vista,bella-vista
Paraguay,paraguay,PY,Amambay Department,amambay-department,Capitan Bado,capitan-bado
Paraguay,paraguay,PY,Amambay Department,amambay-department,Pedro Juan Caballero,pedro-juan-caballero
Paraguay,paraguay,PY,Boqueron Department,boqueron-department,Colonia Menno,colonia-menno
Paraguay,paraguay,PY,Boqueron Department,boqueron-department,Colonia Neuland,colonia-neuland
Paraguay,paraguay,PY,Boqueron Department,boqueron-department,Filadelfia,filadelfia
Paraguay,paraguay,PY,Caaguazu,caaguazu,Caaguazu,caaguazu
Paraguay,paraguay,PY,Caaguazu,caaguazu,Carayao,carayao
Paraguay,paraguay,PY,Caaguazu,caaguazu,Cecilio Baez,cecilio-baez
Paraguay,paraguay,PY,Caaguazu,caaguazu,Colonia General Alfredo Stroessner,colonia-general-alfredo-stroessner
Paraguay,paraguay,PY,Caaguazu,caaguazu,Coronel Oviedo,coronel-oviedo
Paraguay,paraguay,PY,Caaguazu,caaguazu,Doctor Juan Manuel Frutos,doctor-juan-manuel-frutos
Paraguay,paraguay,PY,Caaguazu,caaguazu,Mbutuy,mbutuy
Paraguay,paraguay,PY,Caaguazu,caaguazu,Repatriacion,repatriacion
Paraguay,paraguay,PY,Caaguazu,caaguazu,San Joaquin,san-joaquin
Paraguay,paraguay,PY,Caaguazu,caaguazu,San Jose,san-jose
Paraguay,paraguay,PY,Caaguazu,caaguazu,Yhu,yhu
Paraguay,paraguay,PY,Caazapa,caazapa,Abai,abai
Paraguay,paraguay,PY,Caazapa,caazapa,Buena Vista,buena-vista
Paraguay,paraguay,PY,Caazapa,caazapa,Caazapa,caazapa
Paraguay,paraguay,PY,Caazapa,caazapa,General Higinio Morinigo,general-higinio-morinigo
Paraguay,paraguay,PY,Caazapa,caazapa,San Juan Nepomuceno,san-juan-nepomuceno
Paraguay,paraguay,PY,Caazapa,caazapa,Yegros,yegros
Paraguay,paraguay,PY,Caazapa,caazapa,Yuty,yuty
Paraguay,paraguay,PY,Canindeyu,canindeyu,Colonia Catuete,colonia-catuete
Paraguay,paraguay,PY,Canindeyu,canindeyu,Corpus Christi,corpus-christi
Paraguay,paraguay,PY,Canindeyu,canindeyu,La Paloma,la-paloma
Paraguay,paraguay,PY,Canindeyu,canindeyu,Nueva Esperanza,nueva-esperanza
Paraguay,paraguay,PY,Canindeyu,canindeyu,Salto del Guaira,salto-del-guaira
Paraguay,paraguay,PY,Canindeyu,canindeyu,San Isidro de Curuguaty,san-isidro-de-curuguaty
Paraguay,paraguay,PY,Canindeyu,canindeyu,Ygatimi,ygatimi
Paraguay,paraguay,PY,Central Department,central-department,Aregua,aregua
Paraguay,paraguay,PY,Central Department,central-department,Capiata,capiata
Paraguay,paraguay,PY,Central Department,central-department,Fernando de la Mora,fernando-de-la-mora
Paraguay,paraguay,PY,Central Department,central-department,Guarambare,guarambare
Paraguay,paraguay,PY,Central Department,central-department,Ita,ita
Paraguay,paraguay,PY,Central Department,central-department,Itaugua,itaugua
