s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Serbia,serbia,RS,Autonomous Province of Kosovo and Metohija,autonomous-province-of-kosovo-and-metohija,Autonomous Province of Kosovo and Metohija,autonomous-province-of-kosovo-and-metohija
Serbia,serbia,RS,Belgrade,belgrade,Belgrade,belgrade
Serbia,serbia,RS,Bor District,bor-district,Bor District,bor-district
Serbia,serbia,RS,Branicevo District,branicevo-district,Branicevo District,branicevo-district
Serbia,serbia,RS,Central Banat District,central-banat-district,Aranelovac,aranelovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Arilje,arilje
Serbia,serbia,RS,Central Banat District,central-banat-district,Badovinci,badovinci
Serbia,serbia,RS,Central Banat District,central-banat-district,Bajina Basta,bajina-basta
Serbia,serbia,RS,Central Banat District,central-banat-district,Banovo Polje,banovo-polje
Serbia,serbia,RS,Central Banat District,central-banat-district,Baric,baric
Serbia,serbia,RS,Central Banat District,central-banat-district,Becmen,becmen
Serbia,serbia,RS,Central Banat District,central-banat-district,Belgrade,belgrade
Serbia,serbia,RS,Central Banat District,central-banat-district,Belotic,belotic
Serbia,serbia,RS,Central Banat District,central-banat-district,Biljaca,biljaca
Serbia,serbia,RS,Central Banat District,central-banat-district,Bogatic,bogatic
Serbia,serbia,RS,Central Banat District,central-banat-district,Bogosavac,bogosavac
Serbia,serbia,RS,Central Banat District,central-banat-district,Boljevci,boljevci
Serbia,serbia,RS,Central Banat District,central-banat-district,Bor,bor
Serbia,serbia,RS,Central Banat District,central-banat-district,Brdarica,brdarica
Serbia,serbia,RS,Central Banat District,central-banat-district,Bukor,bukor
Serbia,serbia,RS,Central Banat District,central-banat-district,Cacak,cacak
Serbia,serbia,RS,Central Banat District,central-banat-district,Cajetina,cajetina
Serbia,serbia,RS,Central Banat District,central-banat-district,Cicevac,cicevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Cokesina,cokesina
Serbia,serbia,RS,Central Banat District,central-banat-district,Crna Bara,crna-bara
Serbia,serbia,RS,Central Banat District,central-banat-district,Cuprija,cuprija
Serbia,serbia,RS,Central Banat District,central-banat-district,Dobanovci,dobanovci
Serbia,serbia,RS,Central Banat District,central-banat-district,Dobric,dobric
Serbia,serbia,RS,Central Banat District,central-banat-district,Donji Dobric,donji-dobric
Serbia,serbia,RS,Central Banat District,central-banat-district,Donji Milanovac,donji-milanovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Draginje,draginje
Serbia,serbia,RS,Central Banat District,central-banat-district,Drenovac,drenovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Dublje,dublje
Serbia,serbia,RS,Central Banat District,central-banat-district,Duboka,duboka
Serbia,serbia,RS,Central Banat District,central-banat-district,urici,urici
Serbia,serbia,RS,Central Banat District,central-banat-district,Glusci,glusci
Serbia,serbia,RS,Central Banat District,central-banat-district,Golubac,golubac
Serbia,serbia,RS,Central Banat District,central-banat-district,Gornja Bukovica,gornja-bukovica
Serbia,serbia,RS,Central Banat District,central-banat-district,Gornji Milanovac,gornji-milanovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Grabovac,grabovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Jablanica,jablanica
Serbia,serbia,RS,Central Banat District,central-banat-district,Jadranska Lesnica,jadranska-lesnica
Serbia,serbia,RS,Central Banat District,central-banat-district,Jagodina,jagodina
Serbia,serbia,RS,Central Banat District,central-banat-district,Jarebice,jarebice
Serbia,serbia,RS,Central Banat District,central-banat-district,Jelenca,jelenca
Serbia,serbia,RS,Central Banat District,central-banat-district,Jevremovac,jevremovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Joseva,joseva
Serbia,serbia,RS,Central Banat District,central-banat-district,Kamenica,kamenica
Serbia,serbia,RS,Central Banat District,central-banat-district,Klenje,klenje
Serbia,serbia,RS,Central Banat District,central-banat-district,Knjazevac,knjazevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Kolubara,kolubara
Serbia,serbia,RS,Central Banat District,central-banat-district,Kozjak,kozjak
Serbia,serbia,RS,Central Banat District,central-banat-district,Kragujevac,kragujevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Kraljevo,kraljevo
Serbia,serbia,RS,Central Banat District,central-banat-district,Krivaja,krivaja
Serbia,serbia,RS,Central Banat District,central-banat-district,Krupanj,krupanj
Serbia,serbia,RS,Central Banat District,central-banat-district,Krusevac,krusevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Lagja e Poshtme,lagja-e-poshtme
Serbia,serbia,RS,Central Banat District,central-banat-district,Lapovo,lapovo
Serbia,serbia,RS,Central Banat District,central-banat-district,Lazarevac,lazarevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Leskovac,leskovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Lesnica,lesnica
Serbia,serbia,RS,Central Banat District,central-banat-district,Lipnicki Sor,lipnicki-sor
Serbia,serbia,RS,Central Banat District,central-banat-district,Lipolist,lipolist
Serbia,serbia,RS,Central Banat District,central-banat-district,Ljig,ljig
Serbia,serbia,RS,Central Banat District,central-banat-district,Ljubovija,ljubovija
Serbia,serbia,RS,Central Banat District,central-banat-district,Lugavcina,lugavcina
Serbia,serbia,RS,Central Banat District,central-banat-district,Macva,macva
Serbia,serbia,RS,Central Banat District,central-banat-district,Majdanpek,majdanpek
Serbia,serbia,RS,Central Banat District,central-banat-district,Majur,majur
Serbia,serbia,RS,Central Banat District,central-banat-district,Mala Mostanica,mala-mostanica
Serbia,serbia,RS,Central Banat District,central-banat-district,Mali Zvornik,mali-zvornik
Serbia,serbia,RS,Central Banat District,central-banat-district,Metkovic,metkovic
Serbia,serbia,RS,Central Banat District,central-banat-district,Miratovac,miratovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Morava,morava
Serbia,serbia,RS,Central Banat District,central-banat-district,Negotin,negotin
Serbia,serbia,RS,Central Banat District,central-banat-district,Nis,nis
Serbia,serbia,RS,Central Banat District,central-banat-district,Nisava,nisava
Serbia,serbia,RS,Central Banat District,central-banat-district,Novi Pazar,novi-pazar
Serbia,serbia,RS,Central Banat District,central-banat-district,Novo Selo,novo-selo
Serbia,serbia,RS,Central Banat District,central-banat-district,Obrenovac,obrenovac
Serbia,serbia,RS,Central Banat District,central-banat-district,Osecina,osecina
Serbia,serbia,RS,Central Banat District,central-banat-district,Osjecenik,osjecenik
Serbia,serbia,RS,Central Banat District,central-banat-district,Ostruznica,ostruznica
Serbia,serbia,RS,Central Banat District,central-banat-district,Ovca,ovca
Serbia,serbia,RS,Central Banat District,central-banat-district,Paracin,paracin
Serbia,serbia,RS,Central Banat District,central-banat-district,Pcinja,pcinja
Serbia,serbia,RS,Central Banat District,central-banat-district,Petkovica,petkovica
Serbia,serbia,RS,Central Banat District,central-banat-district,Pirot,pirot
Serbia,serbia,RS,Central Banat District,central-banat-district,Pocerski Pricinovic,pocerski-pricinovic
Serbia,serbia,RS,Central Banat District,central-banat-district,Podunavlje District,podunavlje-district
Serbia,serbia,RS,Central Banat District,central-banat-district,Pomoravlje,pomoravlje
Serbia,serbia,RS,Central Banat District,central-banat-district,Pozarevac,pozarevac
Serbia,serbia,RS,Central Banat District,central-banat-district,Priboj,priboj
Serbia,serbia,RS,Central Banat District,central-banat-district,Prijepolje,prijepolje
