s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Solomon Islands,solomon-islands,SB,Central Province,central-province,Tulagi,tulagi
Solomon Islands,solomon-islands,SB,Choiseul Province,choiseul-province,Choiseul Province,choiseul-province
Solomon Islands,solomon-islands,SB,Guadalcanal Province,guadalcanal-province,Honiara,honiara
Solomon Islands,solomon-islands,SB,Honiara,honiara,Honiara,honiara
Solomon Islands,solomon-islands,SB,Isabel Province,isabel-province,Buala,buala
Solomon Islands,solomon-islands,SB,Makira-Ulawa Province,makira-ulawa-province,Kirakira,kirakira
Solomon Islands,solomon-islands,SB,Malaita Province,malaita-province,Auki,auki
Solomon Islands,solomon-islands,SB,Rennell and Bellona Province,rennell-and-bellona-province,Rennell and Bellona Province,rennell-and-bellona-province
Solomon Islands,solomon-islands,SB,Temotu Province,temotu-province,Lata,lata
Solomon Islands,solomon-islands,SB,Western Province,western-province,Gizo,gizo
