s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Slovenia,slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Ajdovscina,ajdovscina
Slovenia,slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Cirkulane,cirkulane
Slovenia,slovenia,SI,Ajdovscina Municipality,ajdovscina-municipality,Lokavec,lokavec
Slovenia,slovenia,SI,Ankaran Municipality,ankaran-municipality,Ankaran,ankaran
Slovenia,slovenia,SI,Beltinci Municipality,beltinci-municipality,Beltinci,beltinci
Slovenia,slovenia,SI,Beltinci Municipality,beltinci-municipality,Gancani,gancani
Slovenia,slovenia,SI,Beltinci Municipality,beltinci-municipality,Lipovci,lipovci
Slovenia,slovenia,SI,Beltinci Municipality,beltinci-municipality,Zgornje Gorje,zgornje-gorje
Slovenia,slovenia,SI,Benedikt Municipality,benedikt-municipality,Benedikt,benedikt
Slovenia,slovenia,SI,Bistrica ob Sotli Municipality,bistrica-ob-sotli-municipality,Bistrica ob Sotli,bistrica-ob-sotli
Slovenia,slovenia,SI,Bled Municipality,bled-municipality,Bled,bled
Slovenia,slovenia,SI,Bled Municipality,bled-municipality,Kostanjevica na Krki,kostanjevica-na-krki
Slovenia,slovenia,SI,Bled Municipality,bled-municipality,Zasip,zasip
Slovenia,slovenia,SI,Bloke Municipality,bloke-municipality,Nova Vas,nova-vas
Slovenia,slovenia,SI,Bohinj Municipality,bohinj-municipality,Bohinjska Bistrica,bohinjska-bistrica
Slovenia,slovenia,SI,Bohinj Municipality,bohinj-municipality,Dragomer,dragomer
Slovenia,slovenia,SI,Bohinj Municipality,bohinj-municipality,Log pri Brezovici,log-pri-brezovici
Slovenia,slovenia,SI,Borovnica Municipality,borovnica-municipality,Borovnica,borovnica
Slovenia,slovenia,SI,Borovnica Municipality,borovnica-municipality,Makole,makole
Slovenia,slovenia,SI,Bovec Municipality,bovec-municipality,Bovec,bovec
Slovenia,slovenia,SI,Bovec Municipality,bovec-municipality,Mirna,mirna
Slovenia,slovenia,SI,Braslovce Municipality,braslovce-municipality,Braslovce,braslovce
Slovenia,slovenia,SI,Brda Municipality,brda-municipality,Dobrovo,dobrovo
Slovenia,slovenia,SI,Brda Municipality,brda-municipality,Mokronog,mokronog
Slovenia,slovenia,SI,Brezice Municipality,brezice-municipality,Brezice,brezice
Slovenia,slovenia,SI,Brezice Municipality,brezice-municipality,Poljcane,poljcane
Slovenia,slovenia,SI,Brezovica Municipality,brezovica-municipality,Brezovica pri Ljubljani,brezovica-pri-ljubljani
Slovenia,slovenia,SI,Brezovica Municipality,brezovica-municipality,Notranje Gorice,notranje-gorice
Slovenia,slovenia,SI,Brezovica Municipality,brezovica-municipality,Opstina Ljubljana-Vic-Rudnik,opstina-ljubljana-vic-rudnik
Slovenia,slovenia,SI,Brezovica Municipality,brezovica-municipality,Recica ob Savinji,recica-ob-savinji
Slovenia,slovenia,SI,Brezovica Municipality,brezovica-municipality,Vnanje Gorice,vnanje-gorice
Slovenia,slovenia,SI,Cankova Municipality,cankova-municipality,Cankova,cankova
Slovenia,slovenia,SI,Cerklje na Gorenjskem Municipality,cerklje-na-gorenjskem-municipality,Cerklje na Gorenjskem,cerklje-na-gorenjskem
Slovenia,slovenia,SI,Cerknica Municipality,cerknica-municipality,Cerknica,cerknica
Slovenia,slovenia,SI,Cerknica Municipality,cerknica-municipality,Rakek,rakek
Slovenia,slovenia,SI,Cerkno Municipality,cerkno-municipality,Cerkno,cerkno
Slovenia,slovenia,SI,Cerkvenjak Municipality,cerkvenjak-municipality,Cerkvenjak,cerkvenjak
Slovenia,slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Celje,celje
Slovenia,slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Ljubecna,ljubecna
Slovenia,slovenia,SI,City Municipality of Celje,city-municipality-of-celje,Trnovlje pri Celju,trnovlje-pri-celju
Slovenia,slovenia,SI,City Municipality of Novo Mesto,city-municipality-of-novo-mesto,Novo Mesto,novo-mesto
Slovenia,slovenia,SI,Crensovci Municipality,crensovci-municipality,Crensovci,crensovci
Slovenia,slovenia,SI,Crna na Koroskem Municipality,crna-na-koroskem-municipality,Crna na Koroskem,crna-na-koroskem
Slovenia,slovenia,SI,Crnomelj Municipality,crnomelj-municipality,Crnomelj,crnomelj
Slovenia,slovenia,SI,Destrnik Municipality,destrnik-municipality,Destrnik,destrnik
Slovenia,slovenia,SI,Divaca Municipality,divaca-municipality,Divaca,divaca
Slovenia,slovenia,SI,Dobje Municipality,dobje-municipality,Dobje pri Planini,dobje-pri-planini
Slovenia,slovenia,SI,Dobrepolje Municipality,dobrepolje-municipality,Videm,videm
Slovenia,slovenia,SI,Dobrna Municipality,dobrna-municipality,Dobrna,dobrna
Slovenia,slovenia,SI,DobrovaPolhov Gradec Municipality,dobrovapolhov-gradec-municipality,Dobrova,dobrova
Slovenia,slovenia,SI,Dobrovnik Municipality,dobrovnik-municipality,Dobrovnik,dobrovnik
Slovenia,slovenia,SI,Dol pri Ljubljani Municipality,dol-pri-ljubljani-municipality,Dol pri Ljubljani,dol-pri-ljubljani
Slovenia,slovenia,SI,Dolenjske Toplice Municipality,dolenjske-toplice-municipality,Dolenjske Toplice,dolenjske-toplice
Slovenia,slovenia,SI,Domzale Municipality,domzale-municipality,Dob,dob
Slovenia,slovenia,SI,Domzale Municipality,domzale-municipality,Domzale,domzale
Slovenia,slovenia,SI,Domzale Municipality,domzale-municipality,Radomlje,radomlje
Slovenia,slovenia,SI,Domzale Municipality,domzale-municipality,Vir,vir
Slovenia,slovenia,SI,Dornava Municipality,dornava-municipality,Dornava,dornava
Slovenia,slovenia,SI,Dravograd Municipality,dravograd-municipality,Dravograd,dravograd
Slovenia,slovenia,SI,Duplek Municipality,duplek-municipality,Spodnji Duplek,spodnji-duplek
Slovenia,slovenia,SI,Duplek Municipality,duplek-municipality,Zgornji Duplek,zgornji-duplek
Slovenia,slovenia,SI,Gorenja VasPoljane Municipality,gorenja-vaspoljane-municipality,Gorenja Vas,gorenja-vas
Slovenia,slovenia,SI,Gorisnica Municipality,gorisnica-municipality,Gorisnica,gorisnica
Slovenia,slovenia,SI,Gorje Municipality,gorje-municipality,Gorje Municipality,gorje-municipality
Slovenia,slovenia,SI,Gornja Radgona Municipality,gornja-radgona-municipality,Gornja Radgona,gornja-radgona
Slovenia,slovenia,SI,Gornji Grad Municipality,gornji-grad-municipality,Gornji Grad,gornji-grad
Slovenia,slovenia,SI,Gornji Petrovci Municipality,gornji-petrovci-municipality,Gornji Petrovci,gornji-petrovci
Slovenia,slovenia,SI,Grad Municipality,grad-municipality,Grad,grad
Slovenia,slovenia,SI,Grosuplje Municipality,grosuplje-municipality,Grosuplje,grosuplje
Slovenia,slovenia,SI,Grosuplje Municipality,grosuplje-municipality,Smarje-Sap,smarje-sap
Slovenia,slovenia,SI,Hajdina Municipality,hajdina-municipality,Spodnja Hajdina,spodnja-hajdina
Slovenia,slovenia,SI,HoceSlivnica Municipality,hoceslivnica-municipality,Hotinja Vas,hotinja-vas
Slovenia,slovenia,SI,HoceSlivnica Municipality,hoceslivnica-municipality,Radizel,radizel
Slovenia,slovenia,SI,HoceSlivnica Municipality,hoceslivnica-municipality,Rogoza,rogoza
Slovenia,slovenia,SI,HoceSlivnica Municipality,hoceslivnica-municipality,Spodnje Hoce,spodnje-hoce
Slovenia,slovenia,SI,Hodos Municipality,hodos-municipality,Hodos,hodos
Slovenia,slovenia,SI,Horjul Municipality,horjul-municipality,Horjul,horjul
