s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Banska Bystrica,banska-bystrica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Banska Stiavnica,banska-stiavnica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Brezno,brezno
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Cierny Balog,cierny-balog
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Detva,detva
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Dudince,dudince
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Filakovo,filakovo
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Hrinova,hrinova
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,"Hrochot,Slovakia",hrochotslovakia
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Kovacova,kovacova
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Kremnica,kremnica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Krupina,krupina
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Lucenec,lucenec
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Nova Bana,nova-bana
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Banska Bystrica,okres-banska-bystrica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Banska Stiavnica,okres-banska-stiavnica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Brezno,okres-brezno
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Detva,okres-detva
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Krupina,okres-krupina
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Lucenec,okres-lucenec
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Poltar,okres-poltar
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Revuca,okres-revuca
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Velky Krtis,okres-velky-krtis
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Zarnovica,okres-zarnovica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Ziar nad Hronom,okres-ziar-nad-hronom
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Zvolen,okres-zvolen
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Poltar,poltar
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Revuca,revuca
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Rimavska Sobota,rimavska-sobota
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Svaty Anton,svaty-anton
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Tisovec,tisovec
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Velky Krtis,velky-krtis
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Zarnovica,zarnovica
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Ziar nad Hronom,ziar-nad-hronom
Slovakia,slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Zvolen,zvolen
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Bratislava,bratislava
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Bratislava - Vajnory,bratislava-vajnory
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Dunajska Luzna,dunajska-luzna
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Ivanka pri Dunaji,ivanka-pri-dunaji
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Malacky,malacky
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Marianka,marianka
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Modra,modra
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava I,okres-bratislava-i
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava II,okres-bratislava-ii
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava III,okres-bratislava-iii
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava IV,okres-bratislava-iv
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava V,okres-bratislava-v
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Malacky,okres-malacky
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Pezinok,okres-pezinok
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Okres Senec,okres-senec
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Pezinok,pezinok
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Senec,senec
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Stupava,stupava
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Svaty Jur,svaty-jur
Slovakia,slovakia,SK,Bratislava Region,bratislava-region,Vinosady,vinosady
Slovakia,slovakia,SK,Kosice Region,kosice-region,Cierna nad Tisou,cierna-nad-tisou
Slovakia,slovakia,SK,Kosice Region,kosice-region,Dobsina,dobsina
Slovakia,slovakia,SK,Kosice Region,kosice-region,Gelnica,gelnica
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kavecany,kavecany
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kosice,kosice
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kosice I,kosice-i
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kosice II,kosice-ii
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kosice III,kosice-iii
Slovakia,slovakia,SK,Kosice Region,kosice-region,Kosice IV,kosice-iv
Slovakia,slovakia,SK,Kosice Region,kosice-region,Krompachy,krompachy
Slovakia,slovakia,SK,Kosice Region,kosice-region,Medzev,medzev
Slovakia,slovakia,SK,Kosice Region,kosice-region,Michalovce,michalovce
Slovakia,slovakia,SK,Kosice Region,kosice-region,Moldava nad Bodvou,moldava-nad-bodvou
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Gelnica,okres-gelnica
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Kosice-okolie,okres-kosice-okolie
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Michalovce,okres-michalovce
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Roznava,okres-roznava
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Sobrance,okres-sobrance
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Spisska Nova Ves,okres-spisska-nova-ves
Slovakia,slovakia,SK,Kosice Region,kosice-region,Okres Trebisov,okres-trebisov
Slovakia,slovakia,SK,Kosice Region,kosice-region,Roznava,roznava
Slovakia,slovakia,SK,Kosice Region,kosice-region,Secovce,secovce
Slovakia,slovakia,SK,Kosice Region,kosice-region,Sobrance,sobrance
Slovakia,slovakia,SK,Kosice Region,kosice-region,Spisska Nova Ves,spisska-nova-ves
Slovakia,slovakia,SK,Kosice Region,kosice-region,Strazske,strazske
Slovakia,slovakia,SK,Kosice Region,kosice-region,Trebisov,trebisov
Slovakia,slovakia,SK,Kosice Region,kosice-region,Vinne,vinne
Slovakia,slovakia,SK,Kosice Region,kosice-region,Zehra,zehra
Slovakia,slovakia,SK,Nitra Region,nitra-region,Hurbanovo,hurbanovo
Slovakia,slovakia,SK,Nitra Region,nitra-region,Kolarovo,kolarovo
Slovakia,slovakia,SK,Nitra Region,nitra-region,Komarno,komarno
Slovakia,slovakia,SK,Nitra Region,nitra-region,Levice,levice
Slovakia,slovakia,SK,Nitra Region,nitra-region,Nitra,nitra
Slovakia,slovakia,SK,Nitra Region,nitra-region,Nove Zamky,nove-zamky
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Komarno,okres-komarno
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Levice,okres-levice
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Nitra,okres-nitra
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Nove Zamky,okres-nove-zamky
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Sala,okres-sala
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Topolcany,okres-topolcany
Slovakia,slovakia,SK,Nitra Region,nitra-region,Okres Zlate Moravce,okres-zlate-moravce
Slovakia,slovakia,SK,Nitra Region,nitra-region,Sahy,sahy
Slovakia,slovakia,SK,Nitra Region,nitra-region,Sala,sala
Slovakia,slovakia,SK,Nitra Region,nitra-region,Sturovo,sturovo
Slovakia,slovakia,SK,Nitra Region,nitra-region,Surany,surany
Slovakia,slovakia,SK,Nitra Region,nitra-region,Svodin,svodin
Slovakia,slovakia,SK,Nitra Region,nitra-region,Tlmace,tlmace
Slovakia,slovakia,SK,Nitra Region,nitra-region,Topolcany,topolcany
Slovakia,slovakia,SK,Nitra Region,nitra-region,Vrable,vrable
Slovakia,slovakia,SK,Nitra Region,nitra-region,Zeliezovce,zeliezovce
Slovakia,slovakia,SK,Nitra Region,nitra-region,Zlate Moravce,zlate-moravce
Slovakia,slovakia,SK,Presov Region,presov-region,Bardejov,bardejov
Slovakia,slovakia,SK,Presov Region,presov-region,Chlmec,chlmec
Slovakia,slovakia,SK,Presov Region,presov-region,Giraltovce,giraltovce
Slovakia,slovakia,SK,Presov Region,presov-region,Humenne,humenne
Slovakia,slovakia,SK,Presov Region,presov-region,Kezmarok,kezmarok
Slovakia,slovakia,SK,Presov Region,presov-region,Levoca,levoca
Slovakia,slovakia,SK,Presov Region,presov-region,Lipany,lipany
Slovakia,slovakia,SK,Presov Region,presov-region,Lubica,lubica
Slovakia,slovakia,SK,Presov Region,presov-region,Medzilaborce,medzilaborce
Slovakia,slovakia,SK,Presov Region,presov-region,Nova Lesna,nova-lesna
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Bardejov,okres-bardejov
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Humenne,okres-humenne
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Kezmarok,okres-kezmarok
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Levoca,okres-levoca
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Medzilaborce,okres-medzilaborce
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Poprad,okres-poprad
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Presov,okres-presov
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Sabinov,okres-sabinov
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Snina,okres-snina
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Stara Lubovna,okres-stara-lubovna
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Stropkov,okres-stropkov
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Svidnik,okres-svidnik
Slovakia,slovakia,SK,Presov Region,presov-region,Okres Vranov nad Toplou,okres-vranov-nad-toplou
Slovakia,slovakia,SK,Presov Region,presov-region,Podolinec,podolinec
