s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Barma,barma
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Blama,blama
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Boajibu,boajibu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Buedu,buedu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Bunumbu,bunumbu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Daru,daru
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Giehun,giehun
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Gorahun,gorahun
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Hangha,hangha
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Jojoima,jojoima
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kailahun,kailahun
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kailahun District,kailahun-district
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kayima,kayima
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kenema,kenema
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kenema District,kenema-district
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Koidu,koidu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Kono District,kono-district
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Koyima,koyima
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Manowa,manowa
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Mobai,mobai
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Motema,motema
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Panguma,panguma
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Pendembu,pendembu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Segbwema,segbwema
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Simbakoro,simbakoro
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Tefeya,tefeya
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Tombodu,tombodu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Tombu,tombu
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Wima,wima
Sierra Leone,sierra-leone,SL,Eastern Province,eastern-province,Yengema,yengema
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Alikalia,alikalia
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Bindi,bindi
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Binkolo,binkolo
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Bombali District,bombali-district
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Bumbuna,bumbuna
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Gberia Fotombu,gberia-fotombu
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Kabala,kabala
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Kamakwie,kamakwie
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Kambia,kambia
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Kassiri,kassiri
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Koinadugu District,koinadugu-district
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Konakridee,konakridee
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Kukuna,kukuna
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Loma,loma
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Lunsar,lunsar
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Magburaka,magburaka
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Makali,makali
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Makeni,makeni
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Mambolo,mambolo
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Mange,mange
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Masaka,masaka
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Masingbi,masingbi
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Masoyila,masoyila
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Pepel,pepel
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Rokupr,rokupr
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Sawkta,sawkta
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Seidu,seidu
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Tintafor,tintafor
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Tonkolili District,tonkolili-district
Sierra Leone,sierra-leone,SL,Northern Province,northern-province,Yonibana,yonibana
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Baiima,baiima
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Baoma,baoma
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Bo,bo
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Bo District,bo-district
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Bomi,bomi
Sierra Leone,sierra-leone,SL,Southern Province,southern-province,Bonthe,bonthe
